gr,freq
B70,2
B84,2
C03,2
C35,1
C45,3
C46,1
C64,1
C73,2
C83,5
C84,3
C94,2
D04,3
D00,2
D14,2
D10,2
D24,1
D22,2
D31,3
D30,1
D40,2
D50,1
F52,1
F62,2
F61,1
F63,2
F84,1
G04,1
G43,1
G53,1
G62,1
G65,1
G69,1
G75,1
G79,1
G97,1
H37,1
H47,2
H58,1
H57,1
H65,1
H76,3
H77,1
H86,5
H87,4
H85,2
H88,1
H84,1
H89,1
H95,3
H96,2
H99,2
H94,2
H91,1
HU15,1
HU27,1
HU37,2
HU35,1
HU36,1
HU40,1
HU44,2
HU42,2
J05,8
J08,2
J09,2
J00,2
J04,1
J06,3
J02,5
J01,1
J03,4
J13,1
J14,8
J16,5
J12,2
J11,8
J18,1
J15,4
J21,7
J23,2
J25,5
J26,11
J28,4
J20,1
J27,1
J29,1
J36,10
J37,17
J31,5
J38,4
J35,2
J32,6
J33,3
J34,2
J43,5
J44,5
J45,3
J47,11
J48,12
J49,1
J46,9
J53,10
J57,10
J58,10
J54,5
J55,6
J59,1
J56,6
J64,7
J65,10
J66,8
J67,4
J68,1
L67,1
L66,1
L93,1
L98,1
M00,1
M12,1
M20,1
M22,1
M31,1
M32,2
N00,1
N50,1
N60,1
N81,1
NB35,1
NB56,1
NC02,1
NC51,1
NC80,1
NC90,1
ND01,1
ND12,1
ND23,1
ND34,1
ND35,1
NF60,1
NF70,2
NF77,4
NF72,1
NF75,1
NF71,1
NF83,1
NF87,1
NF86,3
NF84,1
NF89,1
NG09,1
NG24,1
NG25,1
NG35,2
NG47,1
NG56,1
NG52,1
NG53,1
NG60,2
NG62,1
NG72,1
NG82,1
NH09,1
NH19,1
NH55,3
NH54,1
NH56,2
NH65,1
NH69,1
NH64,7
NH66,3
NH74,5
NH75,3
NH77,2
NH73,1
NH76,1
NH78,1
NH79,1
NH86,1
NH89,2
NH82,2
NH85,6
NH95,4
NH98,2
NH96,1
NJ02,2
NJ05,6
NJ06,6
NJ03,1
NJ16,16
NJ17,3
NJ15,1
NJ26,16
NJ27,2
NJ25,5
NJ24,2
NJ36,6
NJ35,5
NJ45,1
NJ46,3
NJ44,2
NJ56,5
NJ54,1
NJ53,1
NJ66,4
NJ61,2
NJ63,2
NJ62,2
NJ76,3
NJ86,3
NJ90,3
NK06,2
NK02,1
NK03,2
NK13,2
NK14,1
NL69,2
NL94,6
NL93,3
NM04,4
NM15,1
NM26,1
NM21,1
NM32,1
NM35,1
NM48,2
NM56,1
NM57,2
NM55,1
NM54,1
NM64,1
NM65,3
NM67,1
NM66,1
NM74,1
NM76,1
NM75,1
NM86,1
NM84,1
NM85,1
NM83,1
NN17,2
NN48,1
NN60,1
NN69,1
NN79,1
NN70,4
NN80,7
NN86,3
NN90,1
NN96,2
NN93,1
NN95,1
NO00,1
NO02,3
NO12,2
NO28,1
NO22,4
NO33,1
NO32,1
NO30,1
NO42,1
NO50,2
NO63,1
NO74,1
NO75,1
NO77,1
NO88,2
NR15,1
NR24,1
NR38,1
NR39,1
NR57,1
NR51,1
NR61,1
NR62,1
NR64,1
NR63,1
NR72,1
NR78,1
NR86,1
