"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"SK18",1,0,0,0,0,0,0,"a"
"SP31",0,0,1,0,0,0,0,"n"
"SP70",1,1,1,1,1,1,1,"n"
"SP80",1,0,1,1,1,1,1,"n"
"SP81",1,0,1,1,0,0,0,"n"
"SP90",1,1,1,1,1,1,1,"n"
"SP91",1,1,1,1,1,1,1,"n"
"ST83",1,0,0,0,0,1,0,"n"
"SU01",0,0,0,0,0,1,1,"n"
"SU35",1,0,1,0,0,0,0,"n"
"SU36",1,0,1,0,1,0,0,"n"
"SU37",0,0,1,1,1,0,0,"n"
"SU38",1,0,1,1,1,0,0,"n"
"SU43",0,1,0,0,0,0,0,"n"
"SU45",1,1,1,1,1,1,1,"n"
"SU46",1,0,0,0,0,0,0,"n"
"SU55",1,1,0,0,0,0,0,"n"
"SU57",0,0,1,1,1,0,0,"n"
"SU58",1,1,1,0,1,0,0,"n"
"SU68",0,0,1,1,1,1,0,"n"
"SU69",1,1,1,1,1,0,0,"n"
"SU78",0,1,1,1,1,1,1,"n"
"SU79",1,1,1,1,1,1,1,"n"
"SU88",1,1,1,1,1,1,1,"n"
"SU89",1,1,1,1,1,1,1,"n"
"SU98",1,1,0,0,0,0,0,"n"
"SU99",0,1,1,1,1,1,0,"n"
"TL00",0,0,1,1,1,0,0,"n"
"TL01",1,0,1,1,1,0,0,"n"
"TL02",1,1,1,1,1,1,1,"n"
"TL03",1,0,0,0,0,0,0,"n"
"TL10",1,0,0,0,0,0,0,"n"
"TL11",1,0,0,0,0,0,0,"n"
"TL20",0,0,0,1,1,1,0,"a"
"TL31",0,0,0,1,1,0,0,"a"
"TL42",0,0,0,0,1,0,0,"a"
"TL52",1,0,0,0,0,0,0,"n"
"TQ09",1,1,1,1,1,0,0,"n"
