"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J38",0,0,0,0,0,0,1,
"NJ26",0,0,0,1,0,0,0,"a"
"NR57",0,0,0,0,0,0,1,
"NS56",0,0,0,1,1,0,0,"a"
"NT06",1,0,0,0,0,0,0,"a"
"NT27",1,0,1,1,1,0,0,"a"
"NT37",1,0,0,0,0,0,0,"a"
"NT53",0,0,0,0,0,0,1,
"NX40",0,0,0,1,0,0,0,"a"
"NY24",1,0,0,0,0,0,0,"a"
"NZ52",0,0,0,0,0,1,1,
"NZ53",1,0,0,0,0,0,0,"a"
"NZ62",0,0,0,0,0,1,0,
"O12",0,0,0,0,1,0,0,"a"
"O13",0,0,0,0,1,0,1,"a"
"O23",0,0,0,0,1,0,1,
"SC26",0,0,0,0,0,0,1,
"SC49",0,0,0,0,0,1,0,
"SD20",0,0,1,0,0,1,1,"a"
"SD31",1,0,0,0,1,1,1,"a"
"SD32",0,0,1,0,1,0,0,"a"
"SD33",0,0,0,0,1,1,1,"a"
"SD47",0,0,0,1,1,1,0,"a"
"SD59",0,0,0,0,0,1,0,
"SD61",0,0,1,0,0,0,0,"a"
"SD62",0,0,0,0,1,0,0,"a"
"SE01",0,0,0,0,0,1,0,
"SE23",0,0,0,0,0,1,0,
"SE37",0,1,0,0,0,0,0,"a"
"SE41",0,0,0,0,0,0,1,
"SE50",0,0,0,0,0,1,0,
"SE52",0,0,0,0,0,0,1,
"SH33",0,0,0,0,1,0,0,"a"
"SJ29",0,0,0,0,0,1,0,
"SJ37",0,0,0,0,0,1,0,
"SJ39",0,0,0,0,1,0,0,"a"
"SJ47",0,0,0,0,0,1,0,
"SJ66",0,0,0,0,1,0,0,"a"
"SJ84",0,0,0,0,1,0,0,"a"
"SK00",0,0,0,0,1,1,0,"a"
"SK38",0,0,0,1,0,0,0,"a"
"SK54",0,1,0,0,0,0,1,"a"
"SN40",0,0,0,0,0,1,0,
"SN50",0,0,0,0,0,1,0,
"SO88",0,0,0,0,0,1,0,
"SO94",0,0,0,0,1,0,0,"a"
"SO98",0,0,0,0,0,1,0,
"SP18",0,0,0,0,1,1,0,"a"
"SP26",0,0,0,0,1,0,0,"a"
"SP37",0,0,0,0,1,0,0,"a"
"SP40",0,0,0,1,0,1,0,"a"
"SP46",0,0,0,1,0,0,0,"a"
"SP50",0,0,1,1,1,0,0,"a"
"SP74",0,0,0,1,0,0,0,"a"
"SP86",0,0,0,1,0,0,0,
"SP90",0,0,0,1,0,0,0,"a"
"SP98",0,0,0,0,0,0,1,
"SS41",0,0,0,0,0,0,1,
"SS43",0,0,0,0,0,1,0,
"SS48",0,0,0,0,0,1,1,
"SS59",0,0,0,0,0,1,0,
"SS84",0,0,0,0,0,1,0,
"SS87",1,0,0,0,1,0,0,"a"
"SS94",0,0,0,1,1,1,1,"a"
"ST04",0,0,0,1,1,1,1,"a"
"ST16",0,0,0,1,0,0,0,"a"
"ST17",0,0,0,0,0,0,1,
"ST22",0,0,0,0,1,1,0,
"ST25",0,0,0,0,1,0,0,"a"
"ST27",1,0,0,0,0,0,0,"a"
"ST35",0,0,0,0,0,0,1,
"ST36",0,0,0,0,0,1,1,
"ST38",0,0,0,1,0,0,0,"a"
"ST40",0,0,0,0,1,0,0,
"ST42",0,0,0,0,1,0,0,"a"
"ST51",0,0,0,0,1,0,0,"a"
"ST53",0,0,0,0,1,0,0,"a"
"ST54",0,0,0,0,1,0,0,"a"
"ST57",1,0,0,0,1,0,0,"a"
"ST58",0,0,0,0,0,0,1,
"ST59",0,0,0,0,1,0,0,"a"
"ST61",0,0,0,0,1,0,0,"a"
"ST62",0,0,1,0,0,0,0,"a"
"ST63",0,0,0,0,0,1,0,
"ST76",0,0,0,1,0,0,0,"a"
"ST85",0,0,0,0,1,0,0,"a"
"ST97",0,0,0,1,0,0,0,
"SU06",0,0,0,0,1,0,0,"a"
"SU10",0,0,0,0,0,0,1,
"SU22",0,0,0,0,0,0,1,
"SU24",0,0,0,0,0,0,1,
"SU34",0,0,0,0,0,0,1,
"SU40",0,0,0,0,0,1,1,
"SU41",0,0,0,0,0,1,1,
"SU42",0,0,0,0,0,0,1,
"SU50",0,0,0,0,0,1,1,
"SU51",0,0,0,0,0,1,1,
"SU59",0,0,0,0,1,0,0,"a"
"SU60",0,0,0,0,1,0,1,"a"
"SU61",0,0,0,0,0,1,0,
"SU62",0,0,0,0,0,1,0,
"SU70",0,0,0,0,0,1,1,
"SU73",1,0,0,1,0,0,1,"a"
"SU77",0,0,1,0,1,0,0,"a"
"SU80",0,0,0,0,0,0,1,
"SU89",0,0,0,0,0,1,0,
"SU90",0,0,0,0,1,1,1,"a"
"SU94",0,0,0,0,1,0,0,"a"
"SV81",1,0,0,0,0,0,1,"a"
"SV90",0,0,1,0,0,0,0,"a"
"SV91",0,0,1,0,1,0,0,"a"
"SW53",1,1,0,0,0,0,1,"a"
"SW61",0,0,1,0,0,0,0,"a"
"SW62",0,0,0,0,0,0,1,
"SW73",0,0,0,0,0,0,1,
"SW82",0,0,1,1,0,0,0,"a"
"SW97",0,0,0,0,1,1,1,
"SX05",1,0,0,0,0,1,0,"a"
"SX25",1,0,0,0,0,0,0,"a"
"SX45",0,0,0,0,1,0,0,"a"
"SX47",0,0,0,1,0,0,0,
"SX55",0,0,0,0,1,0,0,"a"
"SX97",0,1,1,1,1,1,1,"a"
"SX98",0,0,0,0,1,0,1,"a"
"SX99",0,0,0,0,1,0,0,"a"
"SY08",0,0,0,0,1,0,0,"a"
"SY67",1,0,1,0,0,1,1,"a"
"SY78",0,0,0,0,0,0,1,
"SY88",0,0,0,0,1,0,0,"a"
"SZ08",0,0,0,0,1,0,1,"a"
"SZ09",1,0,0,0,0,1,1,"a"
"SZ19",0,0,1,1,1,1,1,"a"
"SZ29",0,0,0,0,1,0,0,"a"
"SZ39",0,0,0,0,1,0,1,"a"
"SZ48",0,0,0,0,0,1,1,
"SZ68",0,0,0,0,0,1,1,
"SZ69",0,0,0,1,1,0,1,"a"
"SZ79",0,0,0,0,1,1,1,"a"
"SZ89",0,0,0,0,1,1,1,"a"
"SZ99",0,0,0,0,1,1,0,"a"
"T01",0,0,0,0,0,0,1,
"T11",0,0,0,1,1,1,1,
"T12",0,0,0,0,0,1,1,
"T24",0,0,0,0,0,0,1,
"TA00",0,0,0,1,0,0,0,"a"
"TA11",0,0,0,0,0,0,1,
"TA20",1,0,0,0,0,0,0,"a"
"TA30",0,0,0,0,1,1,1,"a"
"TA32",0,0,0,0,0,1,0,
"TF34",0,0,0,0,0,0,1,
"TF55",1,0,0,0,0,0,0,
"TF61",0,0,0,1,1,0,1,"a"
