"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C62",1,0,0,0,1,1,0,"n"
"C63",1,1,1,1,1,1,1,"n"
"C71",0,0,1,1,1,0,0,"n"
"C73",0,0,0,1,1,0,0,"n"
"C83",1,0,0,0,0,0,0,"n"
"C94",1,0,0,1,0,0,0,"n"
"D11",1,0,1,0,0,0,0,"n"
"D12",1,0,0,0,0,0,1,"n"
"D14",1,0,0,0,0,0,0,"n"
"D20",0,0,1,0,0,0,0,"n"
"D21",1,0,0,0,0,0,0,"n"
"D22",1,0,1,1,1,1,1,"n"
"D30",1,0,0,1,1,0,1,"n"
"H99",0,1,0,0,0,0,0,"n"
"J54",0,0,0,0,1,0,0,
"L71",0,0,0,0,1,0,1,"n"
"L80",1,0,1,1,0,0,1,"n"
"L81",1,0,0,0,0,0,1,"n"
"L90",0,0,0,0,1,0,1,"n"
"M00",1,0,1,1,1,1,1,"n"
"M10",1,0,1,1,1,0,0,"n"
"M11",1,1,1,1,1,1,1,"n"
"M20",1,0,1,1,1,1,1,"n"
"M21",0,0,0,1,0,0,1,"n"
"M30",0,0,1,1,0,0,1,"n"
"M31",0,0,0,1,0,0,0,"n"
"NJ31",0,0,1,1,1,0,1,"n"
"NJ32",1,1,1,1,1,1,1,"n"
"NJ36",0,1,0,0,0,0,0,"n"
"NJ42",1,0,1,1,1,1,1,"n"
"NJ43",0,0,1,1,1,1,1,"n"
"NJ52",1,0,0,0,0,0,0,"n"
"NM22",1,0,1,0,0,0,0,"n"
"NM53",1,0,1,0,0,0,0,"n"
"NM86",0,0,0,0,0,1,1,"n"
"NN30",1,0,1,0,1,1,1,"n"
"NN43",1,0,0,0,0,0,0,"n"
"NN53",0,0,1,0,0,0,1,"n"
"NO23",1,0,0,0,0,0,0,"n"
"NO88",1,0,0,0,0,0,0,"n"
"NS68",0,0,1,0,1,0,1,"n"
"NS89",1,0,0,0,0,0,0,"n"
"NT26",0,0,0,0,0,1,0,"n"
"NT27",1,0,1,1,1,1,1,"n"
"NT46",0,0,0,1,0,0,0,"n"
"NT63",0,0,0,0,0,1,0,
"NT86",1,0,0,0,0,0,0,"n"
"NT87",1,0,0,0,0,0,0,"n"
"NT96",1,1,1,1,1,1,0,"n"
"NU13",1,0,0,0,0,0,0,"n"
"NX19",1,0,1,1,1,1,1,"n"
"NX30",0,0,0,0,0,0,1,"n"
"NX85",1,0,1,0,1,0,1,"n"
"NY31",1,0,0,1,1,1,1,"n"
"NY32",1,0,0,0,0,0,0,"n"
"NY40",0,0,0,1,1,0,0,"n"
"NY41",1,0,1,1,0,1,1,"n"
"NY53",0,0,1,0,0,0,0,"a"
"NY60",0,0,1,1,1,1,1,"n"
"NY61",0,0,1,1,1,1,1,"n"
"NY62",0,0,1,1,0,0,0,"n"
"NY63",0,0,1,1,1,0,1,"n"
"NY64",0,0,1,1,1,1,0,"n"
"NY65",0,0,1,1,1,1,1,"n"
"NY66",0,0,1,1,1,1,1,"n"
"NY67",0,0,0,0,1,1,1,"n"
"NY70",0,0,0,1,1,1,1,"n"
"NY71",0,0,1,1,1,1,1,"n"
"NY72",0,0,1,1,1,1,1,"n"
"NY73",1,0,1,1,1,1,1,"n"
"NY74",1,0,1,1,1,1,1,"n"
"NY75",0,0,1,1,1,0,1,"n"
"NY76",1,0,1,1,1,1,1,"n"
"NY80",0,0,1,1,1,1,1,"n"
"NY81",0,0,1,1,1,1,1,"n"
"NY82",1,0,1,1,1,1,1,"n"
"NY83",1,0,1,1,1,1,1,"n"
"NY84",1,1,1,1,1,1,1,"n"
"NY85",1,0,1,1,1,0,0,"n"
"NY86",1,0,1,1,1,1,1,"n"
"NY90",0,0,1,1,1,1,1,"n"
"NY92",0,1,1,1,0,0,0,"n"
"NY93",1,1,1,1,1,1,1,"n"
"NY94",0,0,1,1,1,1,1,"n"
"NY95",1,0,0,0,0,0,0,"n"
"NY96",1,0,1,1,1,0,0,"n"
"NZ00",0,0,1,1,1,1,1,"n"
"NZ01",0,0,0,1,1,0,0,"n"
"NZ02",0,0,0,0,1,0,0,"n"
"NZ03",0,0,1,1,1,0,1,"n"
"NZ06",1,0,0,0,0,0,0,"n"
"NZ10",1,0,1,0,0,0,0,"n"
"NZ13",0,0,1,1,0,1,0,"n"
"NZ16",1,0,1,1,0,1,0,"n"
"NZ22",1,0,0,0,0,0,0,"n"
"NZ28",1,0,0,0,0,0,0,"n"
"R19",0,0,0,0,1,0,0,"n"
"R28",1,0,0,1,0,0,0,"n"
"R29",0,0,1,1,1,1,1,"n"
"R38",0,0,0,1,0,0,0,"n"
"R39",0,0,0,1,1,1,1,"n"
"SC16",0,0,0,1,1,1,1,"n"
"SC17",0,0,0,0,1,1,0,"n"
"SD37",1,0,1,1,1,1,1,"n"
"SD46",0,0,1,1,0,0,0,"n"
"SD47",1,0,1,1,1,1,1,"n"
"SD48",1,0,1,1,1,1,1,"n"
"SD49",0,1,1,1,1,1,1,"n"
"SD56",1,0,1,0,0,0,0,"n"
"SD57",1,1,1,1,1,1,1,"n"
"SD58",0,0,0,0,0,0,1,
"SD59",0,0,0,1,1,1,0,"n"
"SD62",0,0,0,0,1,0,0,
"SD64",1,0,0,0,0,0,0,"n"
"SD67",0,0,1,1,0,1,0,"n"
"SD76",0,0,0,1,0,0,0,"n"
"SD77",1,0,1,1,1,1,1,"n"
"SD78",0,0,1,1,1,1,1,"n"
"SD79",0,0,1,1,1,0,1,"n"
"SD84",0,0,0,0,1,0,1,"n"
"SD86",1,0,1,1,1,1,1,"n"
"SD87",0,0,1,1,1,1,1,"n"
"SD88",1,0,1,1,1,1,1,"n"
"SD89",1,0,1,0,1,0,1,"n"
"SD94",0,0,1,0,0,0,0,"n"
"SD95",0,0,1,0,0,0,0,"n"
"SD96",1,1,1,1,1,1,1,"n"
"SD97",1,0,1,1,1,1,1,"n"
"SD98",1,0,1,1,1,1,1,"n"
"SD99",1,0,1,1,1,1,1,"n"
"SE05",1,0,1,1,0,0,0,"n"
"SE06",1,0,1,0,1,1,1,"n"
"SE07",0,0,1,0,1,0,0,"n"
"SE08",1,0,1,1,1,0,0,"n"
"SE09",1,1,1,1,1,1,1,"n"
"SE16",1,0,1,0,1,1,1,"n"
"SE18",0,0,0,0,1,0,0,"n"
"SE19",0,1,1,0,1,0,0,"n"
"SE26",0,0,0,0,1,0,0,"n"
"SE27",1,0,0,0,0,0,0,"n"
"SE29",0,1,1,0,1,1,0,"n"
"SE35",1,0,0,0,0,0,0,"n"
"SE50",0,0,0,0,1,0,0,"n"
"SH54",1,0,0,0,0,0,0,"n"
"SH55",0,0,0,1,1,0,1,"n"
"SH62",1,0,0,0,0,0,0,"n"
"SH65",1,0,1,1,1,1,1,"n"
"SH71",1,0,0,0,0,0,0,"n"
"SH72",1,0,1,0,1,1,1,"n"
"SH77",0,0,1,0,0,0,0,"n"
"SH78",1,0,1,1,1,1,1,"n"
"SH87",0,0,0,0,1,0,0,"n"
"SH88",1,0,1,0,1,1,0,"n"
"SJ07",1,0,1,1,1,0,0,"n"
"SJ08",1,0,0,1,1,0,1,"n"
"SJ15",0,0,0,0,0,0,1,"n"
"SJ16",1,0,1,1,1,1,1,"n"
"SJ17",1,1,1,1,1,1,1,"n"
"SJ18",0,0,1,1,1,0,1,"n"
"SJ24",0,0,1,0,1,0,1,"n"
"SJ25",1,0,0,0,1,1,1,"n"
"SJ26",0,0,1,1,1,1,1,"n"
"SJ27",0,0,1,1,0,1,1,"n"
"SK04",1,0,0,0,0,0,0,"n"
"SK05",1,0,1,1,1,1,1,"n"
"SK06",0,0,0,0,1,0,0,"n"
"SK07",1,0,1,0,1,0,1,"n"
"SK15",1,0,1,1,1,1,1,"n"
"SK16",1,0,1,1,1,1,1,"n"
"SK17",0,0,1,1,1,1,1,"n"
"SK18",1,0,1,1,1,1,1,"n"
"SK24",0,1,1,1,0,0,0,"n"
"SK25",0,0,1,1,1,1,1,"n"
"SK26",1,0,1,1,1,1,1,"n"
"SK27",1,1,1,1,1,1,1,"n"
"SK28",0,0,1,0,0,0,0,"n"
"SK35",0,0,1,1,1,0,0,"n"
"SK36",1,0,1,1,1,1,1,"n"
"SN68",0,0,0,1,0,0,0,"n"
"SO02",1,0,1,1,1,1,1,"n"
"SS69",0,0,0,0,1,1,1,"a"
"ST13",1,0,0,0,0,0,0,"n"
"ST45",0,1,1,1,1,0,1,"n"
"ST54",1,0,0,0,0,0,0,"n"
"ST55",1,0,1,1,1,1,1,"n"
"SW53",0,0,1,0,0,0,0,
"SW61",1,1,1,1,1,1,1,"n"
"SW62",1,0,0,0,0,0,0,"n"
"SW71",1,0,1,0,1,0,0,"n"
