"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C00",0,0,0,0,0,0,1,"n"
"C41",0,0,0,0,0,0,1,"n"
"C42",0,0,0,0,0,0,1,"n"
"C46",0,0,0,0,0,0,1,
"C52",0,0,0,0,0,0,1,"n"
"C53",0,0,0,0,0,0,1,"n"
"C60",0,0,0,0,0,0,1,"n"
"D04",0,0,0,0,0,0,1,"n"
"F50",0,0,0,0,0,0,1,"n"
"F63",0,0,0,0,0,0,1,"n"
"F64",0,0,0,0,0,0,1,
"F73",0,0,0,0,0,0,1,"n"
"F74",0,0,0,0,0,0,1,"n"
"F82",0,0,0,0,0,0,1,"n"
"F83",0,0,0,0,0,0,1,"n"
"F84",0,0,0,0,0,0,1,"n"
"G70",0,0,0,0,0,0,1,
"H04",0,1,0,0,0,0,0,"n"
"H22",0,1,0,0,0,0,0,"n"
"H23",0,1,0,0,0,0,0,"n"
"H33",0,1,0,0,0,0,0,"n"
"H69",0,0,0,0,0,0,1,"n"
"H71",0,0,0,0,0,0,1,"n"
"H82",0,0,0,0,0,0,1,"n"
"H84",0,0,0,0,0,0,1,
"H89",0,0,0,0,0,0,1,"n"
"H93",0,0,0,0,0,0,1,"n"
"HP40",0,0,0,0,1,0,0,"n"
"HP50",0,0,0,0,1,0,0,"n"
"HP51",0,0,0,0,1,0,0,"n"
"HP60",0,0,0,0,1,0,1,"n"
"HP61",0,0,0,0,1,1,1,"n"
"HT93",0,0,0,0,1,0,0,"n"
"HT94",0,0,0,0,1,0,0,"n"
"HU14",0,0,0,0,1,0,0,"n"
"HU15",0,0,0,0,1,0,0,"n"
"HU16",0,0,0,0,1,0,0,"n"
"HU24",0,0,0,0,1,1,0,"n"
"HU25",0,0,1,0,1,0,0,"n"
"HU26",0,0,0,0,1,0,0,"n"
"HU27",0,0,0,0,1,0,0,"n"
"HU28",0,0,1,0,1,0,0,"n"
"HU30",0,0,0,0,1,0,0,"n"
"HU31",0,0,1,0,1,0,1,"n"
"HU32",0,0,0,0,1,0,0,"n"
"HU33",0,0,0,0,1,0,0,"n"
"HU34",0,0,0,1,0,0,0,"n"
"HU35",0,0,1,0,1,0,0,"n"
"HU36",0,0,1,0,1,0,0,"n"
"HU37",0,0,1,0,1,0,0,"n"
"HU38",0,0,0,0,1,0,0,"n"
"HU39",0,0,1,0,1,0,0,"n"
"HU40",0,0,0,0,1,0,0,"n"
"HU41",0,0,0,0,1,0,0,"n"
"HU42",0,0,0,0,1,0,0,"n"
"HU43",0,0,0,0,1,0,0,"n"
"HU44",1,0,1,0,1,0,1,"n"
"HU45",0,0,0,0,1,0,0,"n"
"HU46",0,0,0,0,1,0,1,"n"
"HU47",0,0,0,0,1,0,0,"n"
"HU48",0,0,0,0,1,0,0,"n"
"HU49",0,0,0,0,1,0,0,"n"
"HU53",0,0,0,0,1,0,1,"n"
"HU54",0,0,0,0,1,0,1,"n"
"HU55",0,0,0,0,1,0,0,"n"
"HU56",0,0,0,0,1,0,0,"n"
"HU57",0,0,0,0,1,0,0,"n"
"HU58",0,0,0,0,1,1,0,"n"
"HU59",0,0,0,0,1,0,1,"n"
"HU66",1,0,0,0,1,0,0,"n"
"HU67",0,0,0,0,1,0,0,"n"
"HU68",0,0,0,0,1,0,0,"n"
"HU69",0,0,0,0,1,0,0,"n"
"HW83",0,0,1,0,0,0,0,"n"
"HY20",1,0,1,0,1,0,1,"n"
"HY21",0,0,1,0,0,0,0,"n"
"HY22",1,0,1,0,1,1,1,"n"
"HY30",0,0,0,0,1,0,1,"n"
"HY31",1,0,1,0,0,0,1,"n"
"HY32",1,0,1,0,1,0,1,"n"
"HY33",0,0,1,0,1,0,0,"n"
"HY40",1,0,0,0,1,0,1,"n"
"HY41",0,0,0,0,1,0,1,"n"
"HY42",0,0,1,0,0,0,0,"n"
"HY43",0,0,1,0,1,0,1,"n"
"HY44",0,0,1,0,1,0,1,"n"
