"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B71",1,1,0,1,1,1,1,"n"
"B72",1,1,1,1,1,1,0,"n"
"B81",0,0,0,0,0,1,1,"n"
"C01",0,0,0,1,1,1,1,"n"
"C03",0,0,0,1,1,1,1,"n"
"C12",0,0,0,0,0,1,1,"n"
"C14",1,1,0,0,1,1,1,"n"
"C24",0,0,0,0,1,1,1,"n"
"F60",0,0,0,0,1,1,0,
"G01",0,0,0,1,1,1,0,
"G02",0,0,0,1,0,0,0,"n"
"G69",0,0,0,0,1,1,1,"n"
"G79",0,1,0,1,1,1,1,"n"
"G84",0,0,0,1,0,0,0,"n"
"H07",0,0,0,0,0,0,1,"n"
"L55",0,0,0,1,0,1,0,"n"
"L63",1,0,0,1,0,0,0,"n"
"L64",1,1,0,1,1,1,1,"n"
"L65",0,0,0,0,0,1,1,"n"
"L66",0,1,1,1,1,1,0,"n"
"L73",1,1,1,1,1,1,1,"n"
"L74",1,0,0,1,0,0,0,"n"
"L75",1,0,0,1,1,1,1,"n"
"L77",0,0,0,0,0,1,1,"n"
"L82",0,0,0,0,0,1,0,"n"
"L83",0,0,0,0,1,1,0,"n"
"L84",0,0,0,0,0,0,1,"n"
"L85",0,0,0,1,0,1,0,"n"
"L86",0,1,0,0,0,0,0,"n"
"L92",0,0,0,0,1,1,1,"n"
"L94",0,0,0,0,0,0,1,"n"
"L95",0,0,0,1,1,0,0,"n"
"L97",0,0,0,0,0,1,0,
"L98",0,0,0,0,0,0,1,"n"
"M04",0,0,0,0,1,1,1,"n"
"M17",0,0,0,0,0,1,0,"n"
"NF71",0,0,0,1,1,1,1,"n"
"NF72",0,0,0,1,1,0,1,"n"
"NF73",0,1,1,1,1,1,1,"n"
"NF75",0,1,1,0,0,1,1,"n"
"NF76",0,0,0,1,0,0,1,"n"
"NF77",0,1,1,1,1,0,1,"n"
"NF85",0,0,0,0,0,0,1,"n"
"NF86",0,0,0,1,0,0,1,"n"
"NF96",0,0,0,0,0,1,0,"n"
"NM15",0,0,0,0,1,1,1,"n"
"NM26",0,0,0,0,1,0,0,"n"
"NM32",1,0,0,1,1,0,0,"n"
"NM69",0,0,0,1,0,1,1,"n"
"NN50",0,0,0,0,1,0,0,"n"
"NN82",1,0,0,0,0,1,0,"n"
"NN84",1,0,0,0,0,0,0,"n"
"NO04",1,0,1,1,1,1,0,"n"
"NO14",1,0,1,1,1,1,0,"n"
"NO21",1,0,0,0,0,0,0,"a"
"NO24",1,0,0,0,0,0,0,"n"
"NR24",0,0,0,0,1,1,1,"n"
"NR26",0,0,0,0,1,0,0,"n"
"NR34",0,0,0,0,1,1,0,"n"
"NR36",0,1,1,0,0,0,0,"n"
"NR39",1,1,1,1,1,1,1,"n"
"NR46",0,1,1,0,1,1,0,"n"
"NR62",0,0,0,1,1,0,1,"n"
"NR75",0,0,0,1,1,0,0,"n"
"NS59",0,0,0,0,1,0,0,"n"
"NX96",0,0,1,0,1,1,1,"n"
"R16",0,0,0,0,0,0,1,"n"
"SD39",1,1,1,1,0,0,0,"n"
"V67",0,0,0,1,0,0,0,"n"
"V78",1,0,0,1,1,1,1,"n"
"V79",1,0,0,1,0,1,0,"n"
"V86",1,0,1,0,0,0,0,"n"
"V88",1,0,0,0,1,0,1,"n"
"V98",1,1,0,1,1,1,1,"n"
"V99",1,0,0,0,1,1,1,"n"
