"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NN95",0,0,0,0,1,0,0,"a"
"NO02",1,0,1,0,0,0,0,"a"
"NS28",0,0,0,1,0,0,0,"a"
"NS55",0,0,0,0,0,0,1,"a"
"NS86",0,0,0,0,1,0,0,"a"
"NT09",0,0,0,1,0,0,0,"a"
"NT14",0,0,1,0,0,0,0,"a"
"NT16",1,1,0,0,0,0,0,"a"
"NT26",0,0,1,0,1,0,0,"a"
"NT36",0,0,1,0,0,0,0,"a"
"NU21",1,0,0,0,0,0,0,"a"
"SD47",0,0,0,0,0,1,0,
"SD48",0,0,0,0,0,1,0,
"SD58",1,0,0,0,0,0,0,"a"
"SH70",0,0,0,0,0,0,1,
"SH87",1,0,0,0,0,0,0,"a"
"SJ54",0,0,0,0,0,0,1,"a"
"SK04",0,0,0,0,1,0,0,"a"
"SP13",0,1,0,0,0,0,0,"a"
"SP42",0,0,1,1,0,0,0,"a"
"SS59",1,0,0,0,0,0,0,"a"
"SS69",1,0,0,0,0,0,0,"a"
"ST17",0,0,0,0,1,0,0,"a"
"ST74",0,0,1,0,0,0,0,"a"
"SU00",1,1,0,1,1,0,0,"n"
"SU10",1,1,1,1,1,1,1,"n"
"SU11",0,1,0,1,1,0,0,"n"
"SU20",1,1,1,1,1,1,1,"n"
"SU21",1,0,0,0,0,0,0,"n"
"SU30",1,0,1,1,1,1,1,"n"
"SU31",0,0,1,1,1,1,1,"n"
"SU40",1,1,1,1,1,1,1,"n"
"SW53",0,1,0,0,0,0,0,"a"
"SY79",0,0,0,1,1,1,0,"n"
"SY88",1,1,1,1,1,1,1,"n"
"SY89",1,1,1,1,1,1,1,"n"
"SY98",1,1,1,1,1,1,1,"n"
"SY99",1,1,1,1,1,1,1,"n"
"SZ09",1,0,0,0,0,0,0,"n"
"SZ29",1,1,1,1,1,1,1,"n"
"SZ39",1,1,1,1,1,1,1,"n"
"SZ48",0,0,1,0,0,0,0,"n"
"SZ49",1,0,1,1,1,1,1,"n"
"SZ58",1,0,1,1,1,1,1,"n"
"SZ59",1,1,1,1,1,1,1,"n"
"SZ68",1,0,1,1,1,1,1,"n"
"TL52",0,0,0,0,0,1,0,"a"
"TM59",1,0,0,0,0,0,0,"a"
"TQ27",0,0,0,0,0,1,1,
"TQ43",1,0,0,0,0,0,0,"a"
"TQ61",0,0,0,0,0,0,1,"a"
"TV59",1,0,0,0,0,0,0,"a"
