"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"M93",0,0,0,0,0,0,1,
"N18",0,0,0,0,0,0,1,
"N90",0,0,0,0,1,1,1,"n"
"NG52",0,0,0,0,0,1,0,
"NG53",0,0,0,0,0,1,0,
"NG62",0,0,0,0,0,1,0,
"NH69",0,0,0,0,0,1,0,
"NM82",1,0,0,0,0,0,0,"n"
"NM84",0,0,1,0,0,0,0,"n"
"NN05",1,0,1,0,0,0,0,"n"
"NN15",1,0,1,0,0,0,0,"n"
"NO99",0,0,1,0,0,0,0,
"NR62",0,0,1,0,0,0,0,"n"
"NR64",0,0,1,0,0,0,0,"n"
"NS02",1,0,0,0,0,0,0,"n"
"NS04",1,0,1,0,0,0,0,"n"
"NS06",0,1,0,0,0,0,0,"n"
"NS15",0,0,0,1,0,0,0,"n"
"NS18",1,0,1,0,0,0,0,"n"
"NS24",0,0,1,0,0,0,1,"n"
"NS25",0,0,0,1,1,1,0,"n"
"NS26",0,0,0,1,0,0,0,"n"
"NS28",0,0,1,0,0,0,1,"n"
"NS30",0,0,0,1,0,0,0,"n"
"NS32",0,0,0,0,1,0,0,"n"
"NS35",1,0,0,0,0,1,1,"n"
"NS36",1,1,1,1,1,1,0,"n"
"NS37",0,0,1,1,1,1,0,"n"
"NS40",0,0,0,0,1,0,1,"n"
"NS41",0,0,1,0,0,1,0,"n"
"NS42",0,0,0,0,1,0,0,"n"
"NS44",0,0,1,0,0,0,0,"n"
"NS45",1,0,1,1,1,1,1,"n"
"NS46",0,0,0,0,1,0,1,"n"
"NS47",1,0,1,0,1,0,0,"n"
"NS50",0,0,0,1,1,0,1,"n"
"NS51",0,0,1,0,0,0,0,"n"
"NS53",0,0,0,0,1,0,0,"n"
"NS54",0,0,1,1,1,1,1,"n"
"NS55",1,0,1,1,1,1,0,"n"
"NS56",1,0,1,0,1,0,0,"n"
"NS57",1,0,1,1,1,1,1,"n"
"NS59",0,0,0,0,1,0,0,"n"
"NS60",0,0,0,1,1,1,1,"n"
"NS61",0,0,0,0,0,0,1,
"NS63",0,0,0,0,1,1,0,"n"
"NS64",0,0,0,0,1,0,0,"n"
"NS66",1,0,0,1,1,1,1,"n"
"NS67",0,0,0,1,1,0,1,"n"
"NS68",0,0,0,0,0,0,1,
"NS70",0,0,1,0,0,1,1,"n"
"NS71",0,0,0,0,0,0,1,
"NS73",0,0,0,0,1,1,0,"n"
"NS74",0,0,0,0,1,1,0,"n"
"NS76",0,0,0,0,1,0,1,"n"
"NS77",1,1,1,0,1,0,0,"n"
"NS78",0,0,0,0,0,0,1,
"NS80",0,0,0,0,0,1,1,
"NS81",0,0,0,0,1,0,1,"n"
"NS82",0,0,1,0,0,0,0,"n"
"NS84",0,0,0,0,0,0,1,
"NS87",0,0,0,0,1,0,0,"n"
"NS88",0,0,1,0,0,0,0,"n"
"NS90",0,0,0,0,1,1,1,"n"
"NS92",0,0,1,0,0,0,0,"n"
"NS93",0,0,0,1,0,1,1,"n"
"NS94",0,0,1,0,0,0,0,"n"
"NS95",0,0,0,0,1,1,0,
"NT00",1,0,1,0,1,0,1,"n"
"NT01",0,0,0,0,0,0,1,
"NT03",0,0,1,0,1,0,0,"n"
"NT04",0,0,0,1,1,0,1,"n"
"NT10",0,0,0,0,1,0,0,"n"
"NT12",1,0,0,0,0,0,0,
"NT13",1,0,0,0,0,0,0,
"NT20",0,0,0,0,0,0,1,
"NT21",0,0,1,0,0,0,0,
"NT24",1,0,0,1,0,0,0,"n"
"NT25",0,0,0,0,1,0,0,"n"
"NT34",1,0,0,0,0,0,0,"n"
"NT70",0,0,0,0,0,1,0,
"NT71",0,0,0,0,1,0,0,
"NT80",0,0,0,0,0,0,1,
"NU13",1,0,0,0,0,0,0,
"NW96",0,0,0,0,0,0,1,
"NX03",0,0,0,0,0,0,1,
"NX04",0,0,0,0,0,1,0,
