"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C20",0,0,0,0,1,0,0,"a"
"C81",0,0,0,0,0,0,1,"a"
"G02",0,0,0,0,0,0,1,"a"
"H15",0,1,0,0,0,0,0,"a"
"H63",0,0,0,0,0,0,1,"a"
"H76",1,0,0,0,0,0,0,"a"
"H77",0,0,0,0,0,0,1,"a"
"H84",0,0,0,0,1,0,0,"a"
"HU43",0,0,0,1,1,0,1,"a"
"HU44",0,0,0,1,0,0,1,"a"
"NB43",0,0,0,0,1,0,0,"a"
"NC46",0,0,0,0,0,1,0,"a"
"NC96",0,0,0,0,0,1,0,"a"
"ND06",0,0,0,1,0,0,0,"a"
"ND12",0,0,1,0,0,0,1,"a"
"ND13",0,0,0,0,0,0,1,"a"
"ND14",0,0,0,0,0,0,1,"a"
"ND15",0,0,0,0,0,1,0,"a"
"ND16",0,0,0,0,1,0,1,"a"
"ND23",0,0,0,0,0,0,1,"a"
"ND25",0,0,0,0,0,1,0,"a"
"ND34",0,0,0,0,0,1,0,"a"
"NG62",0,0,0,0,0,1,1,"a"
"NH12",0,1,0,0,0,0,0,"a"
"NH19",0,0,0,0,0,1,1,"a"
"NH45",0,0,1,0,0,1,0,"a"
"NH52",0,0,0,0,0,0,1,"a"
"NH54",0,0,0,0,0,0,1,"a"
"NH55",0,0,1,0,0,1,1,"a"
"NH62",0,0,0,1,0,0,0,"a"
"NH63",0,0,0,0,0,0,1,"a"
"NH65",0,0,0,0,0,1,1,"a"
"NH72",0,0,1,0,0,0,1,"a"
"NH73",0,0,0,1,0,0,1,"a"
"NH74",0,0,0,0,0,0,1,"a"
"NH77",0,0,0,0,0,1,0,"a"
"NH78",0,0,0,0,0,1,0,"a"
"NH80",0,0,0,0,0,0,1,"a"
"NH82",0,0,1,0,0,1,1,"a"
"NH85",0,0,1,0,0,0,1,"a"
"NH87",0,0,0,0,0,1,1,"a"
"NH88",0,0,0,0,0,0,1,"a"
"NH92",0,0,0,0,1,0,1,"a"
"NH94",0,0,1,0,0,0,0,"a"
"NH95",0,1,1,0,0,0,1,"a"
"NJ01",0,0,0,0,1,0,0,"a"
"NJ02",0,0,0,0,1,1,1,"a"
"NJ03",0,0,0,0,0,0,1,"a"
"NJ05",0,1,0,1,0,1,1,"a"
"NJ06",0,0,0,0,0,1,0,"a"
"NJ11",0,0,1,0,0,0,0,"a"
"NJ12",0,0,0,0,0,1,1,"a"
"NJ13",0,0,0,0,0,1,1,"a"
"NJ14",1,0,0,0,0,0,1,"a"
"NJ16",0,0,0,0,1,0,0,"a"
"NJ20",0,0,0,0,0,0,1,"a"
"NJ22",0,0,0,0,0,1,0,"a"
"NJ23",0,0,0,1,0,1,0,"a"
"NJ24",1,1,0,1,1,1,1,"a"
"NJ25",0,0,1,0,0,0,0,"a"
"NJ26",0,0,0,0,0,0,1,"a"
"NJ33",0,0,1,0,0,0,0,"a"
