"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NJ06",0,0,0,0,0,1,1,
"SC49",0,0,0,0,1,0,0,"n"
"SD57",0,0,0,0,0,0,1,
"SD71",0,0,1,0,0,0,0,"a"
"SE13",0,0,0,0,1,0,0,"a"
"SH67",1,0,0,0,0,0,0,"n"
"SH77",0,0,0,0,0,0,1,
"SJ27",1,0,0,0,0,0,0,"n"
"SK28",0,0,0,0,0,1,0,"a"
"SS48",0,0,0,0,0,0,1,
"SS87",0,0,0,0,0,0,1,
"SS94",1,0,1,1,1,1,1,"n"
"ST04",0,0,0,1,1,1,1,"n"
"ST14",1,0,0,0,0,0,0,"n"
"ST25",0,0,0,0,1,0,1,"n"
"ST35",0,0,0,0,1,0,0,"n"
"ST36",1,0,0,1,1,1,1,"n"
"SU01",0,0,0,1,1,0,0,"n"
"SU10",0,0,0,0,0,0,1,
"SU30",0,0,0,0,0,0,1,
"SU40",0,0,0,0,1,1,0,"n"
"SU50",0,0,0,0,1,1,0,"n"
"SU60",0,0,0,0,0,0,1,
"SU70",1,1,1,0,0,0,0,"n"
"SU84",0,0,0,0,0,1,1,
"SU90",0,0,1,0,1,1,0,"n"
"SU94",0,0,0,0,0,1,1,
"SV80",1,1,1,1,1,1,1,"n"
"SV81",1,1,1,1,1,1,1,"n"
"SV90",0,0,0,1,0,0,0,"n"
"SV91",1,1,1,1,1,1,1,"n"
"SW43",1,0,0,0,0,0,0,"n"
"SW53",1,0,0,0,0,0,0,"n"
"SW61",1,0,0,0,0,0,0,"n"
"SW64",0,0,0,1,0,0,0,"a"
"SW71",1,0,1,1,1,1,1,"n"
"SW72",0,0,1,1,0,0,0,"a"
"SW73",0,0,1,1,0,0,0,"a"
"SW83",0,0,0,1,0,0,0,"a"
"SW94",0,0,0,1,0,0,0,"a"
"SX35",1,0,0,0,0,0,0,
"SX45",0,0,0,0,0,1,0,
"SX54",0,0,0,1,0,0,0,"n"
"SX73",0,0,0,1,1,1,1,"n"
"SX83",0,0,0,0,1,0,0,"n"
"SX84",1,0,0,0,1,1,0,"n"
"SX86",1,0,0,1,0,1,0,"n"
"SX87",1,0,0,0,1,1,0,"n"
"SX88",1,0,0,0,0,0,0,"n"
"SX95",1,0,0,1,1,1,1,"n"
"SX96",1,0,1,1,0,1,1,"n"
"SX97",1,1,1,1,1,1,1,"n"
"SX98",0,0,0,0,0,0,1,
"SY07",0,0,0,0,0,1,0,
"SY08",1,0,1,0,1,1,1,"n"
"SY58",0,0,0,0,0,0,1,
"SY78",0,0,0,0,1,0,0,"n"
"SY79",1,1,1,0,0,0,0,"n"
"SY88",1,1,0,0,0,0,0,"n"
"SY98",1,0,0,0,1,1,1,"n"
"SY99",0,0,0,0,0,0,1,
"SZ08",1,1,1,1,1,1,1,"n"
"SZ09",1,0,0,0,1,1,0,"n"
