"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"H12",0,0,0,0,1,0,0,"n"
"HU44",1,0,0,0,0,0,0,"n"
"J53",1,0,0,0,0,0,0,"n"
"M04",1,0,0,0,0,0,0,"n"
"M38",0,0,0,0,1,0,0,"n"
"M45",0,0,0,0,1,0,0,"n"
"M55",0,0,0,0,1,0,0,"n"
"M61",0,0,0,0,1,0,0,"n"
"M62",0,0,0,0,1,0,0,"n"
"M71",0,0,0,0,1,0,0,"n"
"M80",0,0,0,0,0,1,0,
"M82",0,0,0,0,1,0,0,"n"
"M98",0,0,0,0,1,0,0,"n"
"N57",0,0,0,0,0,0,1,
"N76",0,0,0,0,1,0,1,"n"
"N87",0,0,0,0,1,0,0,"n"
"N89",0,0,0,0,1,0,0,"n"
"NF74",1,1,0,0,0,0,0,"n"
"NT54",0,0,0,0,0,0,1,
"NT63",0,0,0,0,0,1,0,
"NT64",0,0,0,0,0,1,0,
"NT65",0,0,0,0,0,1,0,
"NT74",0,0,0,0,0,0,1,
"NT75",0,0,0,0,0,1,0,
"NT83",0,0,0,0,0,0,1,
"NT84",0,0,0,0,1,0,0,"n"
"NT90",0,0,0,0,0,1,0,
"NT93",0,0,0,0,0,0,1,
"NT95",1,0,0,0,0,0,0,"n"
"NU00",0,0,0,0,0,0,1,
"NU02",0,0,0,0,0,0,1,
"NU04",0,0,0,0,0,0,1,
"NU14",1,0,1,0,0,0,0,"n"
"NY14",0,0,0,0,1,0,0,
"NY15",0,0,0,0,0,1,1,
"NZ21",1,0,0,1,0,0,0,"n"
"O04",0,0,0,0,1,0,0,"n"
"O13",1,0,0,0,1,0,0,"n"
"O17",0,0,1,0,1,0,0,"n"
"O21",0,0,0,0,0,0,1,
"Q82",0,0,1,0,0,0,0,"n"
"R50",0,0,0,0,1,0,0,
"R51",0,0,0,0,1,0,1,"n"
"R60",0,0,0,0,1,0,0,"n"
"S04",0,0,0,0,0,0,1,
"S22",0,0,0,0,0,0,1,
"S42",0,0,0,0,0,1,0,
"S44",0,0,0,0,1,0,0,"n"
"S46",0,0,0,0,1,0,0,"n"
"S47",0,0,0,0,1,0,0,"n"
"S61",0,0,1,0,0,0,0,"n"
"SC26",1,0,1,0,1,0,1,"n"
"SC28",0,0,1,0,1,0,0,"n"
"SD20",1,0,0,0,0,0,0,"n"
"SD21",1,0,1,0,0,0,0,"n"
"SD27",1,0,0,0,0,0,0,"n"
"SD57",0,0,1,1,1,1,1,"n"
"SD96",0,0,0,0,1,0,0,
"SE42",0,0,0,0,0,0,1,
"SE74",0,0,0,1,0,0,1,"n"
"SE76",0,0,0,1,1,0,1,"n"
"SE77",0,0,0,0,0,0,1,
"SE83",0,0,0,0,1,0,0,"n"
"SE84",0,0,0,1,0,0,0,"n"
"SE93",0,0,0,1,1,0,0,"n"
"SH37",0,0,0,0,0,0,1,
"SH47",0,0,0,0,0,1,0,
"SK15",0,0,1,0,0,0,0,"n"
"SK49",0,0,0,1,0,0,0,"n"
"SO55",0,0,0,0,1,0,0,"n"
"SP20",0,0,0,1,0,0,0,
"SP21",0,0,1,1,0,0,0,"n"
"SP30",0,0,1,1,0,0,1,"n"
"SP31",0,0,1,1,0,0,0,"n"
"SP40",1,1,1,1,0,0,0,"n"
"SP41",0,1,1,1,0,0,0,"n"
"SP42",0,0,1,0,1,0,0,"n"
"SP43",0,0,0,0,1,0,0,
"SP44",0,0,1,1,1,0,0,"n"
"SP50",0,0,0,0,0,0,1,
"SP51",1,0,0,0,0,0,1,"n"
"SP52",0,0,0,0,1,0,0,
"SP53",0,0,1,0,0,0,0,
"SP71",0,0,0,0,0,0,1,
"SP80",0,0,1,0,0,0,0,
"SP81",1,0,0,0,0,0,0,"n"
"SP84",0,0,0,0,0,0,1,
"SP85",0,0,0,0,0,0,1,
"SP91",1,1,0,0,0,0,1,"n"
"SP92",0,0,0,0,0,0,1,
"ST47",0,0,0,0,1,0,0,"n"
"ST60",0,0,0,0,0,0,1,
"ST66",0,0,0,1,0,0,0,"n"
"ST71",0,0,0,0,1,0,0,"n"
"ST72",0,0,0,0,0,1,0,
"ST80",0,0,0,1,1,0,0,"n"
"ST81",0,0,0,0,1,0,1,"n"
"ST84",0,0,0,0,0,1,0,
"ST85",1,0,0,0,1,0,0,"n"
"ST90",1,0,0,1,1,1,1,"n"
"ST96",0,0,1,0,0,0,0,
"ST97",0,0,0,0,0,0,1,
"ST98",0,0,0,0,0,0,1,
"SU01",0,1,0,0,1,0,0,"n"
"SU02",0,0,0,0,0,0,1,
"SU03",0,0,0,0,0,1,1,
"SU04",0,0,0,0,1,0,0,
"SU06",0,0,0,0,1,0,0,"n"
"SU07",0,0,0,0,1,0,0,"n"
"SU09",0,0,0,0,0,1,1,
"SU10",0,1,0,1,1,1,1,"n"
"SU11",0,1,1,1,1,1,1,"n"
"SU12",1,0,0,1,1,0,1,"n"
"SU13",1,0,0,0,0,1,0,
"SU14",0,0,0,0,0,1,1,
"SU15",0,0,0,0,0,0,1,
"SU16",0,0,0,0,1,1,1,"n"
"SU17",0,0,0,0,1,1,1,"n"
"SU18",0,0,0,0,1,0,0,
"SU19",0,0,0,1,0,0,0,"n"
"SU22",0,0,0,0,1,1,0,"n"
"SU23",1,0,0,0,1,0,1,"n"
"SU24",1,0,0,0,1,1,1,"n"
"SU26",0,0,0,1,1,0,1,"n"
"SU27",0,0,0,1,1,0,1,"n"
"SU31",0,0,0,0,1,1,0,"n"
"SU32",0,0,0,0,1,1,1,"n"
"SU33",1,1,0,1,1,1,1,"n"
"SU34",1,0,0,1,1,1,1,"n"
"SU35",1,0,0,1,1,0,1,"n"
"SU36",0,0,0,1,0,0,1,"n"
"SU37",0,0,1,1,0,0,0,"n"
"SU41",0,0,0,1,1,1,1,"n"
"SU42",0,0,0,1,1,1,1,"n"
"SU43",1,0,0,1,1,1,1,"n"
"SU44",1,0,0,1,1,1,1,"n"
"SU45",1,0,0,1,1,1,0,"n"
"SU46",1,1,0,1,1,0,0,"n"
"SU50",0,1,0,1,1,1,0,"n"
"SU51",0,1,0,1,0,1,1,"n"
"SU52",0,1,0,1,1,0,0,"n"
"SU53",1,1,0,1,1,1,1,"n"
"SU54",0,0,1,1,1,0,1,"n"
"SU55",1,0,0,1,1,0,0,"n"
"SU56",0,1,1,1,0,0,0,"n"
"SU58",0,0,0,0,1,0,0,"n"
"SU59",0,0,0,0,1,0,0,"n"
"SU60",0,0,0,0,0,1,0,
"SU61",0,0,1,1,1,1,1,"n"
"SU62",0,1,0,1,1,0,1,"n"
"SU63",0,1,0,1,0,0,1,"n"
"SU65",0,1,0,1,1,1,1,"n"
"SU66",0,0,0,1,0,0,0,"n"
"SU70",0,1,1,0,1,1,1,"n"
"SU72",0,1,0,0,0,0,1,
"SU73",1,1,0,1,1,0,1,"n"
"SU74",1,1,0,1,1,1,1,"n"
"SU75",1,1,0,1,1,1,1,"n"
"SU77",0,0,0,0,0,0,1,
"SU80",1,0,0,0,0,1,1,"n"
"SX98",0,0,0,0,0,1,0,
"SY68",0,0,0,0,0,1,1,
"SY69",0,0,0,0,1,0,0,"n"
"SY78",0,0,0,0,0,1,1,
"SY79",0,0,0,0,1,0,1,"n"
"SY88",0,0,0,0,1,0,1,"n"
"SY89",1,0,0,0,1,0,1,"n"
"SY98",0,1,1,0,0,1,0,"n"
"SZ09",0,1,0,0,1,0,1,"n"
"SZ19",1,1,0,0,1,1,1,"n"
"TA04",0,0,0,0,0,0,1,
"TA05",0,0,0,1,1,0,0,"n"
"TA14",0,0,0,1,0,0,0,"n"
"TA16",0,0,0,0,0,1,0,
"TF26",0,0,0,0,0,0,1,
"TF42",0,0,0,0,1,0,0,
"TF71",0,0,0,0,0,1,0,
"TF74",0,0,0,0,0,0,1,
"TF81",0,0,0,1,0,0,0,"n"
"TF82",0,0,0,1,0,0,0,"n"
"TF83",0,0,0,0,0,0,1,
"TF84",0,0,0,1,0,0,1,"n"
"TF92",0,0,0,1,0,0,0,"n"
"TF94",0,0,0,0,0,0,1,
"TG01",0,0,0,1,0,0,0,"n"
"TG13",0,0,0,0,0,1,1,
"TG21",0,0,0,0,0,0,1,
"TG22",0,0,0,0,0,0,1,
"TG32",0,0,0,0,0,0,1,
"TL00",0,0,1,0,0,0,0,"n"
"TL01",0,0,1,0,0,1,0,"n"
"TL05",0,0,0,0,0,1,0,
"TL10",0,0,0,0,0,0,1,
"TL13",0,1,0,0,0,0,0,"n"
"TL14",0,0,0,1,0,0,0,"n"
"TL15",0,0,0,1,0,0,0,"n"
"TL21",0,0,0,1,0,1,0,"n"
"TL24",0,0,0,0,1,1,0,"n"
"TL26",0,0,0,0,0,1,0,
"TL30",1,0,0,0,0,0,0,"n"
"TL31",1,0,1,0,1,0,0,"n"
"TL34",1,0,0,0,0,0,0,"n"
"TL36",0,0,0,0,0,1,1,
"TL37",0,0,0,0,0,1,1,
"TL44",0,0,1,0,0,0,0,"n"
"TL45",1,0,1,0,1,1,1,"n"
"TL46",0,0,0,1,0,0,0,"n"
"TL47",0,0,0,0,0,0,1,
"TL54",0,0,0,0,0,0,1,
"TL56",0,1,0,0,0,0,0,"n"
"TL57",0,0,0,0,0,0,1,
