"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HP60",1,0,0,0,0,0,0,"n"
"HU15",1,0,0,0,0,0,0,"n"
"HU24",1,0,0,0,0,0,0,"n"
"HU25",0,0,0,0,1,0,0,"n"
"HU28",0,0,0,0,1,0,0,"n"
"HU37",1,0,0,0,0,0,0,"n"
"HU42",1,0,0,0,0,0,0,"n"
"HU43",1,0,0,0,0,0,0,"n"
"HU45",1,0,0,0,0,0,0,"n"
"NB43",0,0,0,0,0,0,1,
"ND01",0,0,0,0,1,0,0,"n"
"ND12",0,0,0,0,1,0,0,"n"
"ND27",0,0,0,0,0,0,1,
"NG34",0,0,0,0,0,1,0,
"NG35",0,0,0,0,0,1,1,
"NG43",0,0,0,0,0,1,0,
"NG44",0,0,0,0,0,1,1,
"NG47",0,0,0,0,1,0,0,
"NG53",0,0,0,0,0,1,0,
"NG62",0,1,0,0,0,1,0,
"NG72",0,0,0,0,0,1,0,
"NG73",0,0,0,0,0,1,0,
"NH26",0,0,0,0,0,1,0,
"NH43",0,0,0,0,0,1,0,
"NH45",0,0,0,0,1,0,0,
"NH54",0,0,0,0,0,1,0,
"NH64",0,0,0,1,1,0,0,"n"
"NH70",0,0,0,0,0,0,1,
"NH75",0,0,0,0,0,0,1,
"NH78",0,0,1,1,0,0,0,"n"
"NH79",0,0,0,0,0,0,1,
"NH80",0,0,0,0,1,0,1,"n"
"NH81",0,0,0,0,1,1,1,"n"
"NH82",0,0,0,0,0,1,0,
"NH83",0,0,0,0,1,0,0,"n"
"NH86",0,0,0,1,0,1,0,"n"
"NH90",0,0,0,0,0,1,1,
"NH91",0,0,0,0,1,1,1,"n"
"NH92",0,0,0,0,1,1,1,"n"
"NH93",0,0,0,0,1,0,0,"n"
"NH94",0,0,0,0,1,1,1,"n"
"NH95",0,0,0,0,1,1,1,"n"
"NH96",0,0,0,0,0,0,1,
"NJ01",0,0,0,0,0,0,1,
"NJ02",0,0,0,0,1,1,1,
"NJ03",0,0,0,0,1,1,1,"n"
"NJ04",0,0,0,0,1,1,1,"n"
"NJ05",0,0,0,0,1,1,1,"n"
"NJ06",0,0,0,0,1,1,1,"n"
"NJ11",1,0,0,0,0,1,1,
"NJ12",0,0,0,0,1,0,0,"n"
"NJ13",0,0,0,0,1,1,1,"n"
"NJ14",0,0,0,0,1,1,1,"n"
"NJ15",0,0,0,0,1,1,1,"n"
"NJ16",0,0,0,0,1,1,1,"n"
"NJ21",0,0,0,0,0,0,1,
"NJ22",1,0,0,0,0,0,1,
"NJ24",1,0,0,0,1,1,1,"n"
"NJ25",0,0,0,0,1,0,1,"n"
"NJ26",0,0,0,0,1,1,1,"n"
"NJ27",0,0,0,0,1,1,1,"n"
"NJ31",0,0,0,0,0,0,1,
"NJ32",1,0,0,0,0,0,0,
"NJ33",1,0,0,0,0,1,0,
"NJ34",1,0,0,0,0,1,1,
"NJ35",0,0,0,0,1,1,1,"n"
"NJ36",0,0,0,0,1,1,1,"n"
"NJ40",0,0,0,0,0,0,1,
"NJ41",0,0,0,0,0,0,1,
"NJ42",0,0,0,0,1,0,1,"n"
"NJ43",0,0,0,0,0,1,1,
"NJ44",0,0,0,0,0,1,1,
"NJ45",1,0,0,0,1,1,1,"n"
"NJ46",0,0,0,0,0,1,0,
"NJ50",0,0,0,0,0,0,1,
"NJ51",0,0,0,0,1,0,0,
"NJ52",0,0,0,0,0,1,0,
"NJ53",0,0,0,1,1,1,0,"n"
"NJ54",0,0,0,0,1,1,0,"n"
"NJ55",0,0,0,0,0,1,1,
"NJ56",1,0,0,0,0,1,0,
"NJ61",0,0,0,0,1,1,1,"n"
"NJ62",0,0,0,0,1,1,1,"n"
"NJ63",0,0,0,0,0,0,1,
"NJ64",1,0,0,0,1,1,1,"n"
"NJ65",1,0,0,0,0,1,1,
"NJ66",1,0,0,0,0,1,0,
"NJ70",0,0,0,0,1,1,0,"n"
"NJ71",0,0,0,0,1,1,1,"n"
"NJ72",0,0,0,0,0,1,1,
"NJ73",0,0,0,0,0,1,1,
"NJ74",0,0,0,0,0,1,0,
"NJ76",1,0,0,0,0,1,1,
"NJ80",0,0,0,0,1,1,1,"n"
"NJ81",0,0,0,0,0,1,0,
"NJ82",0,0,0,0,0,1,0,
"NJ83",0,0,0,0,0,1,1,
"NJ84",0,0,0,0,0,0,1,
"NJ85",0,0,0,0,0,0,1,
"NJ86",0,0,0,0,0,1,1,
"NJ90",0,0,0,0,0,1,0,
"NJ91",0,0,0,0,0,1,1,
"NJ92",0,0,0,0,0,1,0,
"NJ93",0,0,0,0,0,1,1,
"NJ94",0,0,0,0,0,1,0,
"NK02",0,0,0,0,0,0,1,
"NK03",0,0,0,0,1,1,1,"n"
"NK04",0,0,0,0,0,0,1,
"NK06",0,0,0,0,0,1,0,
"NN65",0,0,0,0,0,1,0,
"NN67",0,0,0,0,0,1,1,
"NN68",0,0,0,0,0,1,0,
"NN69",0,0,0,0,0,0,1,
"NN75",0,0,0,0,0,1,0,
"NN79",0,0,0,0,0,0,1,
"NN86",0,0,0,0,1,0,0,"n"
"NN90",0,0,0,0,0,1,0,
"NN95",0,0,0,0,1,0,0,"n"
"NO00",1,0,0,0,1,1,1,"n"
"NO03",0,0,0,0,1,1,0,"n"
"NO04",0,0,0,1,0,0,0,
"NO06",0,0,0,1,1,0,1,"n"
"NO10",0,0,0,0,1,0,0,"n"
"NO11",0,0,0,0,1,0,1,"n"
"NO15",0,0,0,0,1,1,0,"n"
"NO16",0,0,0,0,0,1,0,
"NO20",0,0,0,0,1,0,0,"n"
"NO21",0,0,0,0,1,0,0,"n"
"NO30",0,0,0,0,1,1,0,"n"
"NO31",0,0,0,0,1,0,0,"n"
"NO32",0,0,0,0,1,0,0,"n"
"NO40",0,0,0,0,1,0,0,"n"
"NO49",0,0,0,0,0,0,1,
"NO50",0,0,0,0,1,0,0,"n"
"NO51",0,0,0,0,1,0,0,"n"
"NO56",0,0,0,0,0,1,0,
"NO59",0,0,0,0,1,0,0,
"NO66",0,0,0,0,1,1,0,"n"
"NO69",0,0,0,0,0,1,1,
"NO75",0,0,0,1,0,0,0,"n"
"NO76",0,0,0,0,0,1,1,
"NO79",0,0,0,0,0,1,1,
"NO88",0,0,0,0,1,0,1,"n"
"NO89",0,0,0,0,0,0,1,
"NS36",0,0,0,0,1,0,0,"n"
"NS37",0,0,0,0,0,1,0,
"NS40",0,0,0,0,1,0,0,"n"
"NS45",0,0,0,0,1,0,0,"n"
"NS48",0,1,0,0,0,0,0,
"NS50",0,0,0,0,1,0,0,"n"
"NS55",0,0,0,0,0,1,0,
"NS56",0,0,0,0,1,0,0,"n"
"NS64",0,0,0,0,0,1,0,
"NS65",0,0,0,0,1,1,0,"n"
"NS66",0,0,0,1,0,0,0,
"NS70",0,0,0,0,1,0,0,"n"
"NS71",0,0,0,0,1,0,0,"n"
"NS73",0,0,0,0,1,1,0,
"NS74",0,0,0,0,1,1,0,
"NS75",0,0,0,0,1,1,0,"n"
"NS77",0,0,0,0,1,0,0,"n"
"NS83",0,0,0,0,0,1,0,
"NS86",0,0,0,0,1,0,0,"n"
"NS87",0,0,0,0,1,0,0,"n"
"NS88",0,0,0,0,0,1,0,
"NS89",0,0,0,0,0,0,1,
"NS96",0,0,0,0,1,1,1,"n"
"NS97",0,0,0,0,1,0,0,"n"
"NT02",0,0,0,0,1,0,0,"n"
"NT03",0,0,0,0,0,1,0,
"NT04",0,0,0,0,1,0,0,"n"
"NT06",0,0,0,0,1,0,1,
"NT07",0,0,0,0,0,1,0,
"NT08",0,0,0,0,1,0,0,"n"
"NT09",0,0,0,0,1,0,0,"n"
"NT16",1,0,0,0,0,0,0,
"NT17",0,0,0,0,0,0,1,
"NT18",0,0,0,0,1,0,1,"n"
"NT19",0,0,0,0,1,1,0,"n"
"NT21",0,0,0,0,0,1,0,
"NT24",0,0,0,1,0,0,0,"n"
"NT28",1,0,0,0,1,0,0,"n"
"NT29",0,0,0,0,1,0,0,"n"
"NT30",0,0,0,0,1,0,0,"n"
"NT31",0,0,0,0,1,0,0,"n"
"NT32",0,0,0,0,1,0,0,"n"
"NT33",0,0,0,0,1,0,0,"n"
"NT39",0,0,0,0,1,0,0,"n"
"NT40",0,0,0,0,0,0,1,
"NT42",0,0,0,0,1,0,1,"n"
"NT43",0,0,0,1,0,1,0,"n"
"NT51",0,0,0,0,0,0,1,
"NT53",0,0,0,1,0,1,0,
"NT64",0,0,0,0,0,1,0,
"NT73",1,0,0,0,0,0,0,
"NX68",0,0,0,1,1,0,0,"n"
"NX69",0,0,0,0,1,0,0,"n"
"NY42",0,0,0,1,1,0,0,"n"
"NY52",0,0,0,0,0,1,0,
"NY53",0,0,0,1,1,0,0,"n"
