"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C54",0,0,0,0,0,0,1,
"C81",0,0,0,0,1,0,0,
"H63",0,0,0,0,1,0,0,
"H64",0,0,0,0,0,0,1,
"H88",0,0,0,0,0,0,1,
"HY20",1,1,0,1,0,0,1,
"HY30",0,0,0,0,1,0,0,
"HY31",1,0,0,1,1,0,0,
"HY40",1,0,0,1,1,0,0,
"HY42",1,0,0,0,0,0,0,
"J04",0,0,0,0,0,1,0,
"J12",0,0,0,0,0,1,0,
"J22",0,0,0,0,0,1,0,
"J25",0,0,0,0,0,0,1,
"J33",0,0,0,0,0,0,1,
"J55",0,0,0,0,0,0,1,
"J57",0,0,0,0,0,1,1,
"NC76",1,0,0,0,0,0,0,
"ND12",0,0,0,0,0,1,0,
"ND16",0,0,0,0,0,1,0,
"ND39",1,0,0,0,0,0,0,
"NG72",1,0,0,0,0,0,0,
"NH36",1,0,0,0,0,0,0,
"NH45",1,0,0,0,0,0,0,
"NH52",0,0,0,1,0,0,0,
"NH54",1,0,0,0,0,0,0,
"NH91",0,0,0,0,1,1,0,
"NH92",0,0,0,1,0,1,0,
"NJ01",1,0,0,0,0,0,0,
"NJ02",1,0,0,0,0,0,0,
"NJ32",0,0,0,0,1,0,0,
"NJ45",1,0,0,0,0,0,0,
"NN41",0,0,0,1,0,0,0,
"NN52",0,0,0,1,0,0,0,
"NN70",1,0,0,1,0,0,0,
"NN91",1,0,0,0,0,0,0,
"NN96",0,0,0,1,0,0,0,
"NO06",0,0,0,0,0,0,1,
"NO10",0,0,0,0,1,0,0,
"NO12",1,0,0,0,0,0,0,
"NO21",0,0,0,0,1,0,0,
"NO30",0,0,0,0,1,0,0,
"NO32",0,0,0,0,1,0,0,
"NR72",0,1,0,0,0,0,0,
"NS02",1,0,0,0,0,0,0,
"NS99",0,0,0,0,0,1,0,
"NT26",1,0,0,0,0,0,0,
"NT29",0,0,0,0,1,0,0,
"NT35",0,0,0,1,0,0,0,
"NT47",1,0,0,0,0,0,1,
"NT48",0,0,0,0,1,0,0,
"NT57",0,0,0,0,0,0,1,
"NT77",0,0,0,0,0,0,1,
"NX40",0,0,0,0,0,1,1,
"NX68",0,0,0,0,0,1,0,
"NX76",0,0,0,1,0,0,0,
"NY11",1,0,0,0,0,0,0,
"NY30",0,0,0,1,0,0,0,
"NY42",0,0,0,0,1,0,0,
"NY60",0,0,0,1,0,0,0,
"NY62",0,0,0,1,0,0,0,
"NY64",0,0,0,1,0,0,0,
"NY71",0,0,0,1,0,0,0,
"NY76",1,0,0,0,0,0,0,
"NY82",0,0,1,0,0,0,0,
"NY93",0,0,0,0,1,0,0,
"NY96",1,0,0,0,0,0,0,
"NZ04",0,0,1,0,0,0,0,
"NZ10",1,0,0,0,0,0,0,
"NZ13",0,0,0,0,1,0,0,
"NZ14",0,0,0,1,0,0,0,
"NZ23",0,0,0,0,1,0,0,
"NZ25",1,0,1,0,0,0,0,
"NZ50",0,0,0,0,1,0,0,
"O09",0,0,0,0,1,0,0,
"SD55",1,0,0,0,1,0,0,
"SD56",0,0,0,0,0,0,1,
"SD65",0,0,0,0,0,1,0,
"SD66",0,0,0,0,1,0,0,
"SD75",0,0,0,0,0,1,0,
"SE48",1,0,0,0,0,0,0,
"SE69",0,0,0,0,0,0,1,
"SJ01",0,0,0,0,0,1,0,
"SJ36",0,0,0,0,1,0,0,
"SK06",0,0,0,0,0,1,0,
"SN00",0,0,0,0,0,0,1,
"SN14",0,0,0,0,1,1,0,
"SN24",0,0,0,0,1,1,0,
"SN56",0,0,0,0,1,1,0,
"SN65",0,0,0,0,1,0,0,
"SN66",0,0,0,0,1,1,0,
"SN67",0,0,0,0,1,0,0,
"SN68",0,0,0,0,1,0,0,
"SN75",0,0,0,0,1,0,0,
"SN76",0,0,0,0,1,0,0,
"SN77",0,0,0,0,1,1,0,
"SN90",1,0,0,0,0,0,0,
"SN93",0,0,0,1,0,0,0,
"SO02",0,0,0,0,1,0,0,
"SO10",0,0,0,1,1,0,0,
"SO12",0,0,0,0,1,0,0,
"SO18",0,0,0,0,0,0,1,
"SO23",0,0,0,0,0,1,0,
"SO39",0,0,0,0,1,0,1,
"ST29",0,0,0,1,1,0,0,
