"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NC42",0,0,0,0,0,0,1,
"NG90",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NJ06",1,0,1,0,0,0,0,"a"
"NO31",0,0,0,0,1,0,0,"a"
"NS03",0,0,0,0,1,0,0,"a"
"NS68",0,0,0,0,1,0,0,"a"
"NS89",0,0,0,0,1,0,0,
"NT16",0,0,0,0,0,0,1,
"NT17",0,0,0,0,1,0,0,"a"
"NT19",0,0,0,0,1,0,0,"a"
"NT29",0,0,0,0,1,0,0,"a"
"NT41",0,0,0,0,0,0,1,
"NT93",0,0,0,0,0,0,1,
"NU00",0,0,0,0,0,0,1,
"NU12",0,0,0,0,0,0,1,
"NY21",0,0,0,0,1,1,0,"a"
"NZ15",0,0,0,1,1,1,0,"a"
"NZ21",0,0,0,1,1,0,1,"a"
"NZ32",0,0,0,1,0,0,0,"a"
"NZ70",0,0,0,0,1,1,0,
"SD41",0,0,0,0,0,0,1,
"SD47",0,0,1,1,1,1,0,"a"
"SD62",0,0,0,0,1,0,0,"a"
"SD70",0,0,0,0,0,0,1,
"SD93",0,0,0,0,0,1,0,
"SE13",0,0,0,0,0,1,0,
"SE24",0,0,0,0,0,0,1,
"SE90",0,0,0,1,0,0,0,
"SE91",0,0,0,1,0,0,0,"a"
"SE99",0,0,1,0,0,0,0,
"SH46",0,0,0,0,1,1,0,"a"
"SH57",0,0,0,0,0,1,0,
"SJ06",0,0,0,0,1,0,0,"a"
"SJ24",0,0,0,0,1,0,0,"a"
"SJ80",0,0,0,0,0,1,0,
"SJ81",0,0,0,0,0,1,0,
"SJ84",0,0,0,0,0,0,1,
"SJ92",0,0,0,0,1,0,0,"a"
"SK32",0,0,0,0,0,1,0,
"SK38",0,0,0,0,0,1,0,
"SK50",0,0,0,0,0,0,1,
"SK51",0,0,0,0,1,0,0,"a"
"SK54",1,0,0,0,0,0,0,
"SK60",0,0,0,0,0,0,1,
"SK61",0,0,0,0,0,0,1,
"SK67",0,0,0,0,0,1,0,
"SK85",0,0,0,1,0,0,0,
"SK96",0,0,0,1,1,0,0,"a"
"SN31",0,0,0,0,1,0,0,"a"
"SN33",0,0,0,0,1,0,0,"a"
"SN53",0,0,0,0,0,1,0,
"SN58",0,0,0,0,1,0,0,"a"
"SN60",0,0,0,0,0,0,1,
"SN67",0,0,0,0,1,0,0,"a"
"SN70",0,0,0,0,0,1,0,
"SN79",0,0,0,0,1,0,0,"a"
"SO30",0,0,0,0,0,0,1,
"SO51",0,0,0,1,0,0,0,"a"
"SO61",0,0,0,0,0,1,1,
"SO68",0,0,0,0,1,0,0,"a"
"SO77",0,0,1,0,1,1,0,"a"
"SO78",1,0,0,0,1,0,0,"a"
"SO84",0,0,0,1,0,0,0,
"SO87",0,0,0,1,0,0,0,"a"
"SO94",0,0,0,1,0,0,0,"a"
"SO97",0,0,1,0,0,0,0,
"SP13",0,0,0,0,0,0,1,
"SP18",0,0,0,0,1,0,0,"a"
"SP50",1,0,0,0,1,0,0,"a"
"SS42",0,0,0,0,1,0,0,"a"
"SS61",0,0,0,0,1,0,0,"a"
"SS93",0,0,0,0,0,0,1,
"ST49",0,0,0,0,0,0,1,
"ST57",0,0,0,1,0,0,1,"a"
"SU03",0,0,0,0,0,0,1,
"SU11",0,0,0,0,1,0,0,"a"
"SU20",0,0,0,0,0,0,1,
"SU21",0,0,0,0,0,0,1,
