"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"SE32",0,0,0,0,0,0,1,
"SK64",0,0,0,0,1,0,0,
"SK90",0,0,0,0,0,0,1,
"SP86",0,0,0,1,0,0,0,
"ST42",0,0,0,0,1,0,0,
"ST43",0,0,0,0,1,0,0,
"ST44",0,0,0,0,1,0,0,
"TF30",0,0,0,0,0,0,1,
"TL30",0,0,0,1,0,0,0,
"TL61",1,0,0,0,0,0,0,
"TL62",0,0,0,1,0,0,0,
"TL63",1,0,0,0,0,0,0,
"TM11",0,0,0,0,1,0,0,
"TQ07",0,0,0,1,0,0,0,
"TQ17",1,0,0,0,0,0,0,
"TQ18",1,0,0,0,0,0,0,
"TQ26",1,1,1,0,0,0,1,
"TQ27",0,0,0,1,0,0,0,
"TQ28",1,1,0,0,0,0,0,
"TQ47",0,0,0,1,0,0,0,
"TQ58",0,0,0,0,1,0,0,
