"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J26",0,1,0,0,0,0,0,"a"
"J33",0,0,1,0,0,0,0,
"J48",1,0,0,0,0,0,0,"a"
"J56",0,0,1,1,0,0,0,"a"
"NJ70",0,0,0,0,1,0,0,
"NM83",0,0,1,0,0,0,0,"a"
"NS46",0,0,0,0,1,1,0,"a"
"NS56",0,0,0,1,1,0,0,"a"
"NS84",0,0,0,1,0,0,0,"a"
"NT03",0,0,0,0,1,0,0,"a"
"NY73",1,0,0,0,0,0,0,"a"
"NY82",1,0,0,0,0,0,0,
"NZ52",0,0,0,1,0,0,0,"a"
"NZ53",0,0,0,1,0,0,0,"a"
"SK07",0,1,0,0,0,0,0,"a"
"SK14",1,0,0,1,0,0,0,"a"
"SW74",0,0,0,1,0,0,0,"a"
"SW95",0,0,0,0,1,0,0,"a"
"SX05",0,0,0,0,1,0,0,"a"
"SX08",0,0,0,0,1,0,0,
"SX17",0,0,0,0,1,0,0,
"SX26",0,0,0,0,1,0,0,
"SX76",0,0,0,1,0,0,0,"a"
"TA05",0,0,0,0,1,0,0,"a"
