"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J46",0,0,0,0,0,0,1,
"NH95",1,0,0,0,1,1,1,
"NJ05",0,0,0,0,0,1,1,
"NJ26",0,0,0,0,0,0,1,
"NJ36",0,0,0,0,0,1,0,
"NJ80",0,0,0,0,0,0,1,
"NO64",0,1,0,0,0,0,0,
"NO99",0,0,0,0,0,0,1,
"NS28",0,0,0,0,0,0,1,
"NS29",0,0,0,0,1,0,0,
"NS32",0,0,0,0,0,0,1,
"NT43",0,0,0,0,0,0,1,
"NZ35",0,0,0,0,0,0,1,
"SE55",0,0,0,0,0,0,1,
"SO10",0,0,0,0,0,0,1,
"SO51",0,0,0,0,0,0,1,
"SP00",0,0,0,0,0,1,0,
"SP01",0,0,1,0,0,0,0,
"SP08",0,0,0,0,0,0,1,
"SP85",0,0,0,0,0,0,1,
"SS43",0,0,0,0,0,0,1,
"SS97",0,0,0,0,0,1,0,
"ST38",0,0,0,0,0,0,1,
"ST74",0,0,0,0,1,1,0,
"ST76",0,0,0,0,0,0,1,
"TL24",0,0,0,0,0,0,1,
"TL78",0,0,0,0,0,0,1,
"TM03",0,0,0,0,0,0,1,
"TM04",0,0,0,0,0,1,0,
"TM07",0,0,0,0,0,0,1,
"TM14",0,0,0,0,0,0,1,
"TM15",0,0,0,0,0,0,1,
"TM17",0,0,0,0,0,0,1,
"TM24",0,0,0,0,0,0,1,
"TM46",0,0,0,0,0,0,1,
"TQ07",0,0,0,0,0,0,1,
"TQ14",0,0,0,0,0,1,0,
"TQ17",0,0,0,0,1,1,0,
"TQ29",0,0,0,0,0,0,1,
"W66",0,0,0,0,1,0,0,
