"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J02",0,0,0,0,1,0,0,"n"
"J17",0,0,0,0,1,0,0,"n"
"J38",0,0,0,0,0,1,0,
"J48",0,0,0,1,1,0,1,"n"
"L73",0,0,0,0,0,1,0,
"L80",0,0,0,0,0,0,1,
"N54",0,0,0,0,0,0,1,
"NH19",0,0,0,0,0,0,1,
"NJ06",0,0,0,0,1,1,1,"n"
"NJ16",0,0,0,0,1,1,1,"n"
"NJ26",0,0,0,0,1,0,0,"n"
"NJ27",0,0,0,0,1,0,0,"n"
"NJ35",0,0,0,0,0,1,0,
"NJ36",0,0,0,0,1,0,0,"n"
"NJ66",0,0,0,0,0,1,0,
"NO32",0,0,0,1,1,0,0,
"NO79",0,0,0,0,0,1,0,
"NS28",0,0,0,1,1,0,0,"n"
"NS32",0,0,0,0,1,1,0,"n"
"NS38",0,0,0,1,1,0,0,"n"
"NS55",0,0,0,0,1,0,0,
"NS56",0,0,0,0,1,0,0,"n"
"NS75",0,0,0,0,1,0,0,
"NS98",0,0,0,0,0,1,0,
"NT26",1,0,0,0,0,1,0,
"NT28",0,0,0,0,0,1,0,
"NT58",0,0,0,0,1,1,0,"n"
"NT67",0,0,0,0,1,0,0,
"NX40",0,0,0,0,1,0,0,"n"
"NZ41",0,0,0,0,1,0,0,"n"
"NZ50",0,0,0,0,0,1,0,
"NZ51",0,0,0,0,0,1,0,
"NZ52",0,0,0,0,0,0,1,
"NZ61",0,0,0,0,0,1,1,
"NZ62",0,0,0,0,0,0,1,
"NZ80",0,0,0,0,0,0,1,
"NZ81",0,0,0,0,0,0,1,
"O14",0,0,0,0,0,0,1,
"O22",1,0,0,0,1,1,1,"n"
"O23",0,0,0,0,0,1,0,
"S30",0,0,0,0,0,1,0,
"S50",0,0,0,0,0,1,0,
"S54",0,0,0,0,0,1,0,
"S60",0,0,0,0,0,1,0,
"S61",0,0,0,0,0,1,1,
"S70",0,0,0,0,0,1,0,
"S72",0,0,0,0,0,1,1,
"S80",0,0,0,0,0,1,0,
"S81",0,0,0,0,0,0,1,
"S90",0,0,0,0,0,1,1,
"S91",0,0,0,0,0,0,1,
"SC16",0,0,0,0,1,0,0,"n"
"SC17",0,0,0,0,1,0,0,"n"
"SC26",0,0,0,0,1,0,1,"n"
"SC27",0,0,0,0,1,0,0,"n"
"SC28",0,0,0,0,1,0,0,"n"
"SC37",0,0,0,0,1,1,0,"n"
"SC38",0,0,0,0,1,0,0,"n"
"SC39",0,0,0,0,1,0,0,"n"
"SC47",0,0,0,0,1,0,0,"n"
"SC48",0,0,0,0,1,1,0,"n"
"SC49",0,0,0,0,1,0,0,"n"
"SD16",0,0,0,0,1,1,0,"n"
"SD20",0,0,0,0,1,0,0,"n"
"SD21",0,0,0,0,0,1,1,
"SD27",0,0,0,0,0,1,0,
"SD30",0,0,0,0,0,1,0,
"SD31",0,0,0,0,1,1,1,"n"
"SD32",0,0,1,0,1,1,1,"n"
"SD33",0,0,1,1,1,1,1,"n"
"SD34",0,0,1,0,1,0,1,"n"
"SD40",0,0,0,0,1,1,1,"n"
"SD41",0,0,0,0,1,1,1,"n"
"SD42",0,0,0,0,1,1,1,"n"
"SD43",0,0,0,0,1,0,0,"n"
"SD45",0,0,1,0,1,0,0,"n"
"SD46",0,0,1,0,1,0,0,"n"
"SD47",0,0,0,0,0,1,0,
"SD48",0,0,0,0,0,1,1,
"SD50",0,0,0,0,0,1,1,
"SD51",0,0,0,0,0,1,1,
"SD52",0,0,0,0,0,1,1,
"SD59",0,0,0,0,0,1,1,
"SD60",0,0,0,0,0,1,1,
"SD61",0,0,0,0,0,1,1,
"SD62",0,0,0,0,0,1,0,
"SD70",0,0,0,0,1,1,1,"n"
"SD73",0,0,0,0,0,1,0,
"SD74",0,0,0,0,0,1,0,
"SD81",0,0,0,0,0,0,1,
"SD83",0,0,0,0,1,1,0,"n"
"SD90",0,0,0,0,0,1,0,
"SE11",0,0,0,0,0,0,1,
"SE13",0,0,0,0,1,1,1,"n"
"SE22",0,0,0,0,0,0,1,
"SE23",0,0,0,0,0,1,0,
"SE24",0,0,0,0,0,1,1,
"SE30",0,0,0,0,0,1,0,
"SE32",0,0,0,0,0,0,1,
"SE33",0,0,0,0,1,0,0,"n"
"SE39",0,0,0,0,0,1,0,
"SE47",0,0,0,0,0,1,0,
"SE66",0,0,0,0,0,1,0,
"SE75",0,0,0,0,0,0,1,
"SE88",0,0,0,0,0,1,0,
"SH13",0,0,0,0,0,0,1,
"SH48",0,0,0,0,0,0,1,
"SH49",0,0,0,0,1,0,0,"n"
"SH50",0,0,0,1,0,0,0,"n"
"SH51",0,0,0,0,1,0,0,"n"
"SH57",0,0,0,1,0,0,0,"n"
"SH61",0,0,0,0,1,1,1,"n"
"SH66",0,0,0,0,0,1,0,
"SH67",0,0,0,1,0,0,0,"n"
"SH70",0,0,0,1,1,0,0,"n"
"SH76",0,0,0,0,1,0,0,"n"
"SH77",0,0,0,0,0,1,1,
"SH78",0,0,0,1,1,1,0,"n"
"SH87",0,0,0,0,1,0,0,"n"
"SH97",0,0,0,0,0,1,0,
"SJ08",0,0,0,1,0,0,0,
"SJ28",0,0,0,0,1,1,1,"n"
"SJ29",0,0,0,0,1,1,0,"n"
"SJ35",0,0,0,1,0,0,1,"n"
"SJ37",0,0,0,0,1,1,0,"n"
"SJ38",0,0,0,0,1,1,1,"n"
"SJ39",0,0,0,0,1,1,1,"n"
"SJ47",0,0,0,0,1,0,0,"n"
"SJ48",0,0,0,0,1,0,1,"n"
"SJ49",0,0,0,0,1,1,0,"n"
"SJ58",0,0,0,0,1,0,0,"n"
"SJ59",0,0,0,0,0,1,0,
"SJ68",0,0,0,0,0,1,0,
"SJ76",0,0,0,0,1,0,0,"n"
"SJ78",0,0,0,0,1,0,0,"n"
"SJ84",0,0,0,0,1,0,0,"n"
"SJ86",0,0,0,0,1,0,0,"n"
"SJ88",0,0,0,0,0,0,1,
"SJ89",0,0,0,0,1,1,0,"n"
"SJ90",0,0,0,0,0,1,1,
"SJ98",0,0,0,0,1,1,0,"n"
"SJ99",0,0,0,0,1,0,0,"n"
"SK02",0,0,0,0,0,1,0,
"SK11",0,0,0,0,0,0,1,
"SK22",0,0,0,0,0,1,1,
"SK63",0,0,0,0,0,1,0,
"SN35",0,0,0,0,1,0,0,"n"
"SN46",0,0,0,1,1,0,0,"n"
"SN50",0,0,0,1,0,0,0,"n"
"SN55",0,0,0,0,1,0,0,"n"
"SN56",0,0,0,0,1,0,0,"n"
"SN57",0,0,0,0,1,0,0,"n"
"SN58",0,0,0,1,1,1,1,"n"
"SN59",0,0,0,0,1,0,1,"n"
"SN68",0,0,0,0,1,0,0,"n"
"SN69",0,0,0,0,1,0,0,"n"
"SN77",0,0,0,0,1,0,0,"n"
"SO02",0,0,0,0,0,0,1,
"SO21",0,0,0,1,0,0,0,"n"
"SO27",0,0,0,0,1,0,0,"n"
"SO38",1,0,0,0,0,0,0,
"SO51",0,0,0,0,1,0,0,"n"
"SO61",0,0,0,0,0,0,1,
"SO62",1,0,0,0,0,0,0,
"SO74",0,0,0,0,1,1,1,"n"
"SO75",0,0,0,0,0,1,0,
"SO77",0,0,0,0,1,0,0,"n"
"SO83",0,0,0,0,1,1,1,"n"
"SO84",0,0,0,0,0,1,1,
"SO85",0,0,0,0,1,0,0,"n"
"SO86",0,0,0,0,1,1,0,"n"
"SO87",0,0,0,0,0,1,0,
"SO89",0,0,0,0,0,1,0,
"SO93",0,0,0,0,1,0,0,"n"
"SO96",0,0,0,0,0,1,1,
"SO97",0,0,0,0,0,1,0,
"SO98",0,0,0,0,0,1,0,
"SO99",0,0,0,0,0,1,0,
"SP03",0,0,0,0,0,1,0,
"SP07",0,0,0,0,0,1,0,
"SP08",0,0,0,0,1,0,0,"n"
"SP18",0,0,0,0,1,1,0,"n"
"SP19",0,0,0,0,0,1,0,
"SP28",0,0,0,0,0,1,0,
"SP36",0,0,0,0,0,0,1,
"SP80",0,0,0,0,1,0,0,
"SS20",0,0,0,1,1,0,0,"n"
"SS43",1,0,0,1,0,0,0,"n"
"SS44",1,0,0,0,1,0,1,"n"
"SS68",0,0,0,0,0,1,0,
"SS69",0,0,0,0,0,1,0,
"SS84",0,0,0,0,1,0,0,"n"
"ST03",0,0,0,0,1,1,0,"n"
"ST04",0,0,0,0,0,0,1,
"ST12",0,0,0,0,1,0,0,"n"
"ST13",0,0,0,0,1,0,0,"n"
"ST16",0,0,0,0,0,0,1,
"ST22",0,0,0,0,1,0,0,"n"
"ST23",0,0,0,0,1,0,0,"n"
"ST24",0,0,0,0,1,0,0,"n"
"ST25",0,0,0,0,1,0,1,"n"
"ST30",0,0,0,0,1,0,0,
