"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"SK52",0,0,0,0,0,1,0,
"SK84",0,0,0,0,0,0,1,
"SK86",0,0,0,0,0,1,0,
"SO89",0,0,0,0,0,1,0,
"SP60",0,0,0,0,0,0,1,
"SP61",0,0,0,0,0,1,0,
"SP80",0,0,0,0,0,1,0,
"ST57",0,0,0,0,1,0,0,"a"
"ST76",0,0,0,1,0,0,0,"a"
"SU01",0,0,0,0,0,0,1,
"SU10",0,0,0,0,0,0,1,
"SU22",0,0,0,0,0,0,1,
"SU24",0,0,0,0,0,0,1,
"SU31",0,0,0,0,1,0,0,
"SU32",0,0,0,0,0,1,0,
"SU40",0,0,0,0,0,1,1,
"SU41",0,0,0,0,1,0,0,"a"
"SU42",0,0,0,0,0,1,0,
"SU51",0,0,0,0,0,1,0,
"SU52",0,0,0,0,0,0,1,
"SU59",0,0,0,0,1,0,0,"a"
"SU60",0,0,0,0,0,1,0,
"SU70",0,0,0,0,1,0,0,"a"
"SU73",0,0,0,0,0,0,1,
"SU75",0,0,0,0,0,0,1,
"SU89",0,0,0,0,0,1,0,
"SU93",0,0,0,0,0,0,1,
"SU94",0,0,0,0,0,0,1,
"SU95",0,0,0,1,1,0,1,"a"
"SZ29",0,0,0,0,0,1,1,
"SZ39",0,0,0,0,0,0,1,
"SZ48",0,0,0,0,0,0,1,
"SZ58",0,0,0,0,0,1,1,
"TA21",0,0,0,0,0,0,1,
"TF00",0,0,0,0,0,0,1,
"TF11",0,0,0,0,0,1,1,
"TF21",0,0,0,0,0,0,1,
"TF26",0,0,0,0,0,0,1,
"TF40",0,0,0,0,0,0,1,
"TF41",0,0,0,0,0,1,1,
"TF50",0,0,0,0,0,0,1,
"TF60",0,0,0,1,1,1,1,"a"
"TF61",0,0,0,1,1,1,0,"a"
"TF62",0,0,0,1,1,1,0,"a"
"TF70",0,0,0,1,1,1,1,"a"
"TF71",0,0,0,1,1,1,1,"a"
"TF72",0,1,0,0,0,1,0,"a"
"TF74",0,0,0,0,0,0,1,
"TF80",0,0,1,1,1,1,1,"a"
"TF81",0,0,0,1,1,0,0,"a"
"TF82",0,0,0,0,0,0,1,
"TF91",0,0,0,1,1,0,0,"a"
"TF92",0,0,0,0,0,0,1,
"TG00",0,0,0,0,0,0,1,
"TG02",0,0,0,0,0,0,1,
"TG10",0,0,0,0,0,0,1,
"TG11",0,0,0,0,0,0,1,
"TG20",0,0,0,0,0,0,1,
"TG21",0,0,0,0,0,1,1,
"TG31",0,0,0,0,0,0,1,
"TG32",0,0,0,0,0,0,1,
"TG40",0,0,0,0,0,0,1,
"TL10",0,0,0,1,0,0,0,"a"
"TL19",0,0,0,0,0,1,1,
"TL21",0,0,0,1,1,0,0,"a"
"TL23",0,0,0,0,0,0,1,
