"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HU43",1,0,0,0,0,0,0,"a"
"HU56",1,0,0,0,0,0,0,"a"
"HZ27",0,0,0,0,1,0,0,"a"
"J28",0,0,1,0,0,0,0,"a"
"J37",1,0,0,0,0,0,0,"a"
"NH85",0,0,1,0,0,0,0,"a"
"NH87",0,0,0,1,0,0,0,"a"
"NJ26",0,0,1,1,0,0,0,"a"
"NM49",0,0,0,1,0,0,0,
"NS48",0,0,0,1,0,0,0,"a"
"NS74",1,0,0,0,0,0,0,"a"
"NT16",0,0,0,1,0,0,0,"a"
"NT18",0,0,1,0,0,0,0,"a"
"NT27",1,0,0,0,0,0,0,"a"
"NT42",1,0,1,0,0,0,0,"a"
"NT56",0,0,1,0,0,0,0,"a"
"NT73",1,0,1,0,0,0,0,"a"
"NU05",1,0,0,0,0,0,0,"a"
"NX40",1,0,0,1,0,0,0,"a"
"NX56",1,0,0,0,0,0,0,"a"
"NY03",0,0,0,1,0,0,0,"a"
"NY30",0,0,0,1,0,0,0,"a"
"NY33",0,0,1,0,0,0,0,"a"
"NY71",0,0,0,1,0,0,0,"a"
"NZ06",1,0,0,0,0,0,0,"a"
"NZ13",0,0,0,1,0,0,0,"a"
"NZ17",0,0,0,1,0,0,0,"a"
"NZ20",0,0,1,1,0,0,0,"a"
"NZ21",0,0,0,1,0,0,0,"a"
"NZ26",1,0,1,0,0,0,0,"a"
"NZ34",0,0,0,1,0,0,0,"a"
"NZ43",0,0,0,1,0,0,0,"a"
"O13",1,0,0,0,0,0,0,"a"
"O23",0,0,0,1,0,0,0,"a"
"SC28",1,0,0,0,0,0,0,"a"
"SC37",1,0,0,1,0,0,0,"a"
"SC49",0,0,0,0,1,0,0,"a"
"SD27",0,0,0,1,0,0,0,"a"
"SD30",0,0,0,0,0,1,0,
"SD32",1,0,1,0,1,0,0,"a"
"SD33",1,0,1,0,0,0,0,"a"
"SD42",0,0,1,0,0,0,0,
"SD46",0,0,1,1,0,0,0,"a"
"SD47",0,0,1,1,0,1,1,"a"
"SD49",0,0,0,1,0,0,0,"a"
"SD50",0,0,0,0,0,0,1,
"SD52",0,0,0,0,0,0,1,
"SD53",1,0,1,0,0,0,0,"a"
"SD59",0,0,0,1,0,0,0,"a"
"SD72",1,0,1,0,0,0,0,
"SD73",1,0,0,0,0,0,0,
"SD96",0,0,0,1,0,0,0,"a"
"SE13",0,0,0,1,1,0,0,"a"
"SE14",1,0,0,1,0,0,0,"a"
"SE60",0,0,0,0,0,1,0,
"SH28",0,0,0,1,0,0,0,"a"
"SJ08",0,0,0,1,0,0,0,"a"
"SJ10",0,0,0,1,0,0,0,"a"
"SJ12",0,0,0,1,0,0,0,"a"
"SJ22",0,0,0,1,0,0,0,"a"
"SJ34",0,0,0,1,0,0,0,"a"
"SJ39",1,0,0,0,0,1,0,
"SJ40",0,0,1,0,0,0,0,"a"
"SJ41",0,0,0,1,0,0,0,"a"
"SJ50",0,0,0,1,0,0,0,"a"
"SJ51",0,0,0,1,0,0,0,"a"
"SJ61",0,0,1,0,0,0,0,"a"
"SJ70",0,0,0,1,0,0,0,"a"
"SJ80",1,0,0,0,0,0,0,"a"
"SJ83",1,0,0,0,0,0,0,"a"
"SJ84",0,0,0,1,0,0,0,"a"
"SJ85",0,0,0,0,0,0,1,
"SJ98",0,0,0,0,0,1,0,
"SK04",1,0,0,0,0,0,0,"a"
"SK13",1,0,1,0,0,0,0,"a"
"SK14",0,0,0,1,0,0,0,"a"
"SK18",0,0,0,1,0,0,0,"a"
"SK22",0,1,0,1,0,0,0,"a"
