"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NT43",1,0,0,0,0,0,0,"a"
"NT53",1,0,1,1,0,0,0,"a"
"SE22",1,0,0,0,0,0,0,"a"
"SE38",1,0,0,1,0,0,0,"a"
"ST14",0,0,0,0,0,0,1,
"SU30",0,0,0,0,0,0,1,
"SU73",0,0,1,0,0,0,0,"a"
"SV81",0,0,0,0,0,1,0,
"SV91",0,0,0,1,0,1,1,"a"
"SW94",0,0,0,0,0,0,1,
"SX87",0,0,1,1,1,1,1,"a"
"SZ38",0,0,0,0,0,0,1,
"SZ58",0,0,0,0,0,0,1,
"SZ68",0,0,0,0,0,0,1,
"SZ79",0,0,0,0,0,0,1,
"TF56",0,0,0,0,0,0,1,
"TG14",0,0,0,0,0,0,1,
"TL03",1,0,0,0,0,0,0,"a"
"TM01",0,0,0,0,0,0,1,
"TQ07",0,0,0,0,0,0,1,
"TQ37",0,0,0,0,0,0,1,
"TQ38",0,0,0,0,0,1,0,
"WV47",0,0,0,0,0,1,0,
