"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"SC48",0,0,0,0,1,0,0,"a"
"SE43",0,0,0,0,0,1,0,
"SE67",0,0,0,0,0,1,0,
"SO83",0,0,0,1,0,0,0,"a"
"SP19",0,0,0,0,0,1,0,
"SP21",0,0,0,0,0,0,1,
"SP33",0,0,0,0,0,0,1,
"SU46",0,0,0,0,0,1,1,
"SU65",0,0,0,0,1,0,0,"a"
"SZ69",0,0,0,0,0,0,1,
"TL21",0,0,0,0,0,0,1,
"TL22",0,0,0,0,1,0,0,"a"
"TL25",0,0,0,0,0,1,0,
"TL29",0,0,0,0,1,0,0,"a"
"TL31",0,0,0,1,0,0,0,"a"
"TL45",0,0,0,1,0,0,1,"a"
"TL46",0,0,0,0,0,1,0,
"TL54",0,0,0,1,0,0,0,
"TL78",0,0,0,0,0,0,1,
"TM35",0,0,0,0,0,0,1,
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,0,1,
"TQ38",0,0,0,0,0,1,0,
"TQ56",1,0,0,1,0,0,0,"a"
"TQ57",0,0,0,1,0,0,0,"a"
"TQ58",0,0,0,0,0,0,1,
"TQ66",0,0,0,0,0,0,1,
"TR35",0,1,0,0,0,0,0,"a"
"WV27",0,0,0,1,0,0,0,"a"
"WV38",0,0,0,1,0,0,0,"a"
