"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HU34",0,0,0,0,0,0,1,
"HU36",0,0,0,0,0,0,1,
"HU44",0,0,0,0,0,0,1,
"HU47",0,0,0,0,0,0,1,
"HU57",0,0,0,0,0,0,1,
"L71",0,0,0,0,0,0,1,
"NC40",0,0,0,0,0,0,1,
"NC52",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"NC92",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NH69",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NJ16",0,0,0,0,1,0,0,"a"
"NJ71",0,0,0,0,0,1,0,
"NN07",0,0,0,0,0,0,1,
"NS28",0,0,0,1,0,0,0,"a"
"NT27",0,0,0,0,0,0,1,
"NT43",1,0,0,0,0,0,0,
"NT53",1,0,1,0,0,0,0,"a"
"R78",0,0,0,0,0,0,1,
"SD46",0,0,1,1,1,0,0,"a"
"SD53",1,0,1,0,0,0,0,"a"
"SD62",0,0,0,0,0,0,1,
"SD63",0,0,0,0,0,1,0,
"SD71",0,0,0,0,1,0,0,
"SD74",0,0,0,0,0,1,0,
"SD78",0,0,0,0,0,1,0,
"SE22",0,0,0,0,0,0,1,
"SJ39",0,0,0,0,0,0,1,
"SJ69",0,0,0,0,0,0,1,
"SJ89",0,0,0,0,0,1,0,
"SK10",0,0,0,0,0,1,0,
"SK26",0,0,0,0,0,0,1,
"SK29",0,0,0,0,0,1,0,
"SK59",0,0,0,0,0,1,0,
"SO48",0,0,0,0,1,0,0,"a"
"SP09",0,0,0,0,1,0,0,
"SP50",0,0,0,1,0,0,1,"a"
"SP89",0,0,0,0,0,0,1,
"SU04",0,0,0,0,0,0,1,
"SU15",0,0,0,0,0,0,1,
"SU29",0,0,0,0,0,0,1,
"SU37",0,0,0,0,0,0,1,
"SU38",0,0,0,0,0,0,1,
"SU39",0,0,0,0,0,0,1,
"SU46",0,0,0,0,0,0,1,
"SU47",0,0,0,0,0,0,1,
"SU48",0,0,0,0,0,0,1,
"SU49",0,0,0,0,0,0,1,
"SU56",0,0,0,0,0,0,1,
"SU58",0,0,0,0,0,0,1,
"SU59",0,0,0,0,0,0,1,
"SU65",0,0,0,0,0,0,1,
"SU67",0,0,0,0,0,0,1,
"SU68",0,0,0,0,1,0,0,"a"
"SU76",0,0,0,0,1,0,1,"a"
"SU77",0,0,0,0,1,0,1,"a"
"SU85",0,0,0,1,1,0,0,"a"
"SU86",0,0,0,0,1,0,1,"a"
"SU87",0,0,0,0,1,0,1,"a"
"SU88",0,0,0,0,1,0,1,"a"
"SU95",0,0,0,0,0,0,1,
"SU96",0,0,0,0,0,0,1,
"SU97",0,0,0,0,1,0,1,"a"
"SY98",0,0,0,0,0,1,1,
"TF14",0,0,0,0,0,0,1,
"TG41",0,0,0,0,0,0,1,
"TL02",0,0,0,1,0,0,0,
"TL10",0,0,0,0,0,0,1,
"TL20",0,0,0,0,0,0,1,
"TL21",0,0,0,0,0,0,1,
"TL31",0,0,0,0,0,0,1,
"TL44",0,0,0,1,0,0,0,
"TL50",0,0,0,0,0,1,0,
"TL85",0,0,0,0,1,0,0,
"TM18",0,0,0,1,0,0,0,"a"
"TQ05",0,0,0,1,0,0,0,"a"
"TQ06",0,0,0,0,0,0,1,
"TQ07",0,0,0,0,0,1,1,
"TQ08",1,0,0,0,0,0,1,"a"
"TQ09",0,0,0,0,0,0,1,
"TQ14",0,0,0,0,0,1,0,
"TQ15",0,0,0,0,0,0,1,
"TQ16",0,0,0,0,0,0,1,
"TQ17",0,0,0,0,0,0,1,
"TQ18",1,1,1,0,0,0,1,"a"
"TQ19",0,0,0,0,0,0,1,
"TQ25",0,0,0,0,0,0,1,
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,0,1,
"TQ28",0,0,0,0,0,0,1,
"TQ29",0,0,0,0,0,0,1,
"TQ35",0,0,0,0,0,0,1,
"TQ36",0,0,0,0,0,0,1,
"TQ37",1,0,1,0,0,0,1,"a"
"TQ38",0,0,1,0,0,0,1,"a"
"TQ39",0,0,0,0,0,0,1,
"TQ45",0,0,0,0,0,1,1,
"TQ46",0,0,1,0,0,0,1,"a"
"TQ47",0,0,0,0,0,0,1,
"TQ48",0,0,0,0,0,0,1,
"TQ49",0,0,0,0,0,0,1,
"TQ56",0,0,0,0,0,0,1,
"TQ57",0,0,0,0,0,1,0,
"TQ58",0,0,0,0,0,0,1,
"TQ59",0,0,0,0,0,1,0,
"TQ66",1,0,0,1,0,0,1,"a"
