"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HU15",0,0,0,0,1,0,0,"a"
"HU42",0,0,0,0,1,0,0,"a"
"NC13",0,0,0,0,1,0,0,"a"
"NC51",0,0,0,0,0,0,1,"a"
"ND16",0,0,0,0,0,0,1,"a"
"NG44",0,0,0,0,0,1,0,"a"
"NH69",0,0,0,0,0,0,1,"a"
"NH79",0,0,0,0,0,0,1,"a"
"NJ05",0,0,0,0,1,0,0,"a"
"NN94",0,0,0,0,0,1,0,"a"
"NO00",0,0,0,1,0,0,0,"a"
"NS24",0,0,0,1,0,0,0,"a"
"NS33",0,0,0,0,0,1,0,
"NT06",0,0,0,0,1,0,0,"a"
"NT13",0,0,0,1,1,0,0,"a"
"NT23",0,0,0,1,1,0,0,"a"
"NT24",0,0,1,1,0,0,0,"a"
"NT33",0,0,0,1,1,0,0,"a"
"NT35",0,0,0,0,0,0,1,"a"
"NT44",0,0,0,1,1,0,0,"a"
"NT63",0,0,0,0,1,0,0,"a"
"NT67",0,0,0,0,1,0,0,"a"
"NU01",0,0,0,1,0,0,1,"a"
"NY38",0,0,0,0,0,1,0,"a"
"NZ05",0,0,0,1,0,0,0,"a"
"NZ06",0,0,0,1,0,0,0,"a"
"SC48",0,0,0,1,0,0,0,"a"
"SD28",0,0,0,1,1,0,0,"a"
"SD38",0,0,0,1,1,0,0,"a"
"SO24",0,0,0,0,0,0,1,"a"
"ST13",0,0,0,0,1,0,0,"a"
"ST29",0,0,0,1,0,1,0,"a"
"SZ08",0,0,0,0,0,1,0,
"TQ30",0,0,0,0,0,1,1,
