"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C42",0,0,0,0,0,0,1,
"G75",1,0,0,0,0,0,0,"a"
"H13",0,0,0,0,0,1,1,
"H15",0,0,0,1,0,1,1,"a"
"H29",0,0,0,0,1,0,1,"a"
"H39",0,0,0,0,0,1,0,
"H42",0,0,0,0,0,1,0,
"H80",0,0,0,0,0,1,0,
"H84",0,0,0,0,0,0,1,
"H94",0,0,0,0,0,1,1,
"J25",0,0,0,0,0,0,1,
"J33",0,0,0,0,1,1,0,"a"
"J37",0,0,1,1,0,0,0,"a"
"J38",0,0,0,0,0,1,0,
"J56",0,0,0,0,0,1,0,
"L75",0,0,0,0,0,0,1,
"L86",0,0,0,1,0,0,0,"a"
"L87",0,0,1,0,0,0,0,"a"
"L88",0,0,1,0,0,0,0,"a"
"M14",0,0,1,0,0,0,0,"a"
"M15",0,0,1,0,0,0,0,"a"
"NM49",1,0,1,1,0,0,0,"a"
"NM93",0,0,0,0,0,1,1,
"NR39",0,0,0,0,1,0,1,"a"
"NR62",0,0,0,0,0,0,1,
"NR64",0,0,0,0,0,1,1,
"NR76",0,0,0,1,0,0,1,"a"
"NS15",0,0,0,0,0,1,0,
"NS16",0,0,0,0,0,0,1,
"NS38",1,0,0,0,0,0,0,"a"
"NS56",0,0,0,0,1,1,0,"a"
"NT67",1,0,1,0,1,0,0,"a"
"NX44",0,0,0,0,1,0,0,"a"
"NY92",0,0,0,0,0,1,0,
"NZ21",0,0,0,0,1,1,0,"a"
"O12",0,0,0,0,1,0,0,"a"
"O13",0,0,0,0,0,0,1,
"O21",0,0,1,1,1,0,1,"a"
"Q40",0,0,0,1,0,0,0,"a"
"R66",0,0,0,0,0,0,1,
"S51",0,0,0,0,0,1,0,
"S60",0,0,0,0,1,1,1,"a"
"S63",0,0,0,0,0,1,0,
"S84",0,0,0,0,0,0,1,
"S87",0,0,0,1,0,0,0,"a"
"SC26",0,0,0,0,0,1,0,
"SC37",0,0,0,1,1,0,1,"a"
"SC48",0,0,0,0,1,0,0,"a"
"SC49",0,0,0,1,0,0,0,"a"
"SD31",0,0,0,0,1,0,0,
"SD70",1,0,0,0,0,0,1,
"SD88",0,0,0,0,0,1,0,
"SD91",0,0,0,1,0,0,0,
"SH36",1,0,1,1,0,0,1,"a"
"SH47",0,0,0,0,1,1,0,"a"
"SH56",0,0,0,1,0,1,1,"a"
"SH57",0,0,0,0,1,1,1,"a"
"SH58",0,0,0,0,0,1,1,
"SH67",0,0,0,1,0,0,1,"a"
"SH77",0,0,0,0,1,1,0,"a"
"SH87",0,0,0,0,0,1,0,
"SJ28",0,0,0,0,0,1,0,
"SJ34",0,0,0,0,0,0,1,
"SJ45",0,0,0,0,0,0,1,
"SJ46",0,0,0,0,0,0,1,
"SJ49",1,0,0,0,0,1,0,
"SJ57",0,0,0,0,0,0,1,
"SJ77",0,0,0,0,0,1,1,
"SJ80",0,0,0,1,0,1,1,"a"
"SJ81",0,0,0,0,0,1,0,
"SJ89",0,0,0,0,0,1,0,
"SK26",0,0,0,0,0,0,1,
