"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C02",0,0,0,0,0,0,1,
"G63",0,0,0,0,0,1,0,
"J43",0,0,0,0,0,1,0,
"J56",0,0,0,0,0,0,1,
"J57",0,0,0,0,1,0,1,
"NC80",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NS02",0,0,0,0,0,0,1,
"NS03",0,0,0,0,0,0,1,
"NS18",0,0,0,0,0,0,1,
"O23",0,0,0,0,0,1,0,
"Q40",0,0,0,0,0,0,1,
"S71",0,0,0,0,0,0,1,
"SE60",0,0,0,0,0,1,0,
"SN01",0,0,0,0,0,0,1,
"SP70",0,0,0,0,0,1,0,
"SP71",0,0,0,0,0,0,1,
"SS59",0,0,0,0,0,1,0,
"ST21",0,0,0,0,0,0,1,
"SU28",0,0,0,0,0,0,1,
"SU40",0,0,0,0,0,0,1,
"SU49",0,0,0,0,0,0,1,
"SU57",0,0,0,0,0,0,1,
"SU59",0,0,0,0,0,0,1,
"SU77",0,0,0,0,0,0,1,
"SU96",0,0,0,0,0,0,1,
"SU97",0,0,0,0,0,0,1,
"SV81",1,0,0,1,1,1,0,"a"
"SV91",1,0,0,0,0,1,0,"a"
"SW33",0,0,0,0,0,0,1,
"SW42",0,0,0,0,0,1,1,
"SW43",0,0,0,1,1,1,1,"a"
"SW53",0,0,0,1,1,1,1,"a"
"SW62",0,0,0,0,0,0,1,
"SW63",0,0,0,0,0,0,1,
"SW71",0,0,0,0,0,1,1,
"SW72",1,0,0,1,1,1,1,"a"
"SW73",0,0,1,1,1,0,1,"a"
"SW74",0,0,0,0,0,0,1,
"SW83",1,0,0,1,0,1,1,"a"
"SW84",0,0,0,0,0,0,1,
"SW94",0,0,0,1,0,0,1,
"SW95",0,0,0,0,0,0,1,
"SX04",0,0,0,0,1,0,1,"a"
"SX05",0,0,0,0,0,0,1,
"SX17",0,0,0,0,0,1,0,
"SX47",0,0,0,0,0,1,0,
"SZ19",0,0,0,0,0,0,1,
"SZ58",0,0,0,0,0,0,1,
"TQ06",0,0,0,0,0,0,1,
"TQ08",0,0,0,0,0,0,1,
"TQ09",0,0,0,0,0,0,1,
"TQ15",0,0,0,0,0,0,1,
"TQ16",0,0,0,0,0,0,1,
"TQ17",0,0,0,0,0,0,1,
"TQ19",0,0,0,0,0,0,1,
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,0,1,
"TQ36",0,0,0,0,0,0,1,
"TQ37",0,0,0,0,0,0,1,
"TQ38",0,0,0,0,0,0,1,
"TQ39",0,0,0,0,0,0,1,
"TQ46",0,0,0,0,0,0,1,
"TQ47",0,0,0,0,0,0,1,
"TQ48",0,0,0,0,0,0,1,
"TQ49",0,0,0,0,0,0,1,
"TQ58",0,0,0,0,0,0,1,
"V47",1,0,0,0,0,1,1,"a"
"V75",0,0,0,0,0,1,0,
"V95",0,0,0,0,0,0,1,
"WV37",0,0,0,0,0,0,1,
"WV47",0,0,0,0,1,0,0,
"WV55",0,0,0,0,0,0,1,
