"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C31",1,0,0,0,1,1,0,"a"
"C41",0,0,0,0,1,0,0,"a"
"C62",0,0,0,1,0,0,0,"a"
"C63",0,0,0,1,1,0,0,"a"
"C81",1,1,0,0,1,0,0,"a"
"D40",0,0,0,0,0,0,1,
"G54",0,0,0,0,0,0,1,
"G69",0,0,0,0,0,0,1,
"G90",0,0,0,1,0,0,0,"a"
"G96",0,0,0,0,1,0,0,"a"
"H29",0,0,0,0,1,0,0,"a"
"H31",0,0,0,0,1,0,0,"a"
"J08",0,1,0,0,0,0,0,"a"
"J09",0,0,0,0,0,1,0,
"J11",0,0,0,0,1,0,0,"a"
"J17",0,1,0,0,0,0,0,"a"
"J18",1,0,0,0,0,0,0,"a"
"J33",0,0,0,0,0,0,1,
"J38",0,0,0,0,0,1,0,
"J48",1,0,0,1,1,0,1,"a"
"J56",0,0,1,1,1,0,0,"a"
"J66",0,0,0,1,0,0,0,"a"
"L90",0,0,0,0,0,0,1,
"L98",0,0,0,0,0,0,1,
"M20",0,0,0,0,0,1,0,
"M22",0,0,0,0,0,0,1,
"M31",0,0,0,0,0,0,1,
"M32",0,0,0,0,0,0,1,
"M57",0,0,0,0,0,0,1,
"M92",0,0,0,0,0,0,1,
"N52",0,0,0,0,1,0,1,"n"
"N89",0,0,0,0,0,1,0,
"N92",0,0,0,0,1,0,0,"n"
"N93",0,0,0,0,1,0,0,"n"
"NC14",0,0,0,0,0,0,1,
"NG54",0,0,0,0,1,1,1,"n"
"NG84",0,0,1,0,0,0,0,"n"
"NH30",0,0,0,1,0,0,0,
"NH75",0,0,1,0,0,0,0,"n"
"NH94",0,0,0,0,1,0,0,"n"
"NJ05",0,0,0,0,0,0,1,
"NJ16",0,0,0,1,0,0,0,"n"
"NJ25",0,0,0,0,0,0,1,
"NJ26",0,0,0,0,1,1,1,"n"
"NJ35",0,0,0,0,1,1,1,"n"
"NJ66",1,0,0,0,0,0,0,
"NJ76",0,0,0,0,0,1,0,
"NJ90",1,0,1,0,0,1,1,"n"
"NJ92",0,0,0,1,0,0,0,"n"
"NJ93",0,0,0,1,1,1,0,"n"
"NK03",0,0,0,0,0,0,1,
"NK14",0,0,0,1,1,1,1,"n"
"NM22",1,1,1,0,0,0,0,"n"
"NM26",0,1,0,0,0,0,0,"n"
"NM32",1,0,1,0,0,0,0,"n"
"NM34",1,0,1,0,0,0,0,"n"
"NM43",0,0,0,0,0,1,0,
"NM45",1,0,1,0,0,0,0,"n"
"NM54",0,0,0,0,0,1,0,
"NM55",1,0,1,0,0,0,0,"n"
"NM70",0,0,1,1,1,0,0,"n"
"NM80",0,0,0,0,1,0,0,"n"
"NM82",0,0,0,0,1,0,0,"n"
"NM83",0,0,1,0,0,0,0,"n"
"NM86",1,0,0,1,0,0,0,"n"
"NM93",0,0,0,0,1,0,0,"n"
"NM94",0,0,0,0,1,0,0,"n"
"NN07",0,0,0,1,0,0,0,"n"
"NN95",0,0,0,1,0,0,0,"n"
"NO01",0,0,0,0,0,0,1,
"NO11",1,0,1,0,1,1,1,"n"
"NO12",1,0,0,0,1,1,0,"n"
"NO21",0,0,0,0,1,0,0,"n"
"NO23",0,0,0,0,1,1,0,"n"
"NO25",0,0,0,0,0,1,0,
"NO32",0,0,1,1,1,0,0,"n"
"NO33",0,0,0,0,0,1,0,
"NO41",0,0,0,0,1,0,0,"n"
"NO42",0,0,0,1,1,0,1,"n"
"NO43",0,0,1,1,1,0,1,"n"
"NO45",0,0,0,0,0,1,0,
"NO50",1,0,0,0,0,0,0,"n"
"NO51",0,0,1,0,0,0,0,"n"
"NO53",0,0,1,1,0,0,0,"n"
"NO60",1,0,0,0,0,0,0,"n"
"NO63",0,0,1,0,0,0,0,"n"
"NO64",1,0,1,1,1,1,1,"n"
"NO65",0,0,1,1,1,1,0,"n"
"NO74",0,0,0,0,1,0,0,"n"
"NO75",0,0,1,1,1,1,1,"n"
"NO76",1,1,1,1,1,1,0,"n"
"NO87",0,0,1,0,0,1,1,"n"
"NO88",0,0,0,0,1,0,0,
"NR60",0,0,0,1,1,0,0,"n"
"NR61",0,0,0,0,1,0,0,"n"
"NR67",0,0,1,0,0,0,1,"n"
"NR68",0,0,0,1,0,0,1,"n"
"NR76",0,0,0,0,1,0,0,"n"
"NR77",0,0,1,0,1,1,1,"n"
"NR78",0,0,1,1,1,1,1,"n"
"NR82",0,0,1,0,1,0,0,"n"
"NR83",0,0,0,0,1,1,0,"n"
"NR92",0,0,1,0,1,0,1,"n"
"NR96",0,0,0,0,1,0,0,"n"
"NS02",0,0,0,1,1,1,0,"n"
"NS03",0,0,0,0,1,1,0,"n"
"NS05",0,0,0,1,1,1,1,"n"
"NS06",0,0,0,0,1,1,0,"n"
"NS10",0,0,0,0,0,0,1,
"NS14",0,0,1,0,1,0,0,"n"
"NS16",0,0,0,0,1,1,1,"n"
"NS17",0,0,1,0,1,0,0,"n"
"NS20",0,0,0,0,1,0,0,"n"
"NS21",1,0,0,1,1,0,0,"n"
"NS24",0,0,1,0,0,0,0,"n"
"NS25",0,0,0,0,1,0,0,"n"
"NS28",0,0,0,1,1,0,0,"n"
"NS31",0,0,1,1,1,1,1,"n"
"NS32",0,0,0,0,1,0,1,"n"
"NS36",0,0,1,0,0,1,0,"n"
"NS37",0,0,1,1,1,0,1,"n"
"NS46",0,0,0,1,0,1,0,
"NS47",1,0,1,1,0,0,1,"n"
"NS56",0,0,0,1,0,1,0,"n"
"NS65",1,0,0,0,0,0,0,"n"
"NS66",1,0,0,1,0,1,1,"n"
"NS74",0,0,0,0,0,0,1,
"NS97",1,0,0,0,0,0,0,"n"
"NS98",0,0,0,0,0,1,0,
"NT03",0,0,0,0,0,1,0,
"NT17",1,0,0,1,1,0,0,"n"
