"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B91",0,0,0,0,0,0,1,
"C10",0,0,0,0,1,0,0,"a"
"C21",0,0,0,0,0,0,1,
"C30",0,0,0,1,1,0,1,"a"
"C31",0,0,0,0,1,0,1,"a"
"C32",0,0,0,0,0,1,0,
"C41",0,0,0,1,0,0,1,"a"
"C42",0,0,0,1,0,0,0,"a"
"C52",0,0,0,0,0,0,1,
"C61",0,0,0,1,0,0,0,"a"
"C62",0,0,0,1,0,0,1,"a"
"C63",0,0,0,1,0,0,1,"a"
"C73",0,0,0,0,0,0,1,
"C80",0,0,0,1,0,0,0,"a"
"C81",0,0,0,1,0,0,0,"a"
"C82",0,0,0,1,0,0,0,"a"
"C83",0,0,1,1,0,0,1,"a"
"C91",0,0,0,1,0,0,0,"a"
"C92",0,0,0,1,0,0,0,"a"
"C94",0,0,0,0,0,0,1,
"D00",0,0,0,1,0,0,0,"a"
"D01",0,0,0,1,0,0,0,"a"
"D03",0,0,0,1,0,0,0,"a"
"D15",0,0,0,1,0,0,0,"a"
"F63",0,0,0,0,1,0,0,
"F92",0,0,0,0,1,0,0,"a"
"G63",0,0,1,0,0,0,0,"a"
"G80",0,0,0,0,0,0,1,
"H12",0,0,1,0,0,0,0,"a"
"H39",0,0,0,1,0,0,0,"a"
"H46",0,0,0,1,1,0,0,"a"
"H47",0,0,0,1,0,0,0,"a"
"H48",0,0,0,1,0,0,0,"a"
"H73",0,0,0,1,0,0,0,"a"
"H74",0,0,0,1,0,1,1,"a"
"H80",0,0,0,0,1,0,0,"a"
"H83",0,0,0,1,0,0,0,"a"
"H84",0,0,0,1,0,1,1,"a"
"H85",0,0,0,1,1,0,0,"a"
"H86",0,0,0,1,0,0,0,"a"
"H87",0,0,0,1,0,1,1,"a"
"H88",0,0,0,1,0,0,0,"a"
"H89",0,0,0,1,0,0,0,"a"
"H90",0,0,0,0,1,0,0,"a"
"H92",0,0,0,1,0,0,0,"a"
"H93",0,0,0,1,0,0,0,"a"
"H94",0,0,0,1,0,1,1,"a"
"H95",0,0,0,1,0,0,1,"a"
"H96",0,0,0,1,1,0,0,"a"
"H97",0,0,0,1,0,0,1,
"H98",0,0,0,0,0,0,1,
"H99",0,0,0,1,0,0,0,"a"
"HP60",0,0,0,1,0,0,0,"a"
"HP61",1,0,0,0,0,0,0,"a"
"HU24",0,0,0,1,0,0,0,"a"
"HU28",1,0,0,0,0,0,0,"a"
"HU32",0,0,1,0,0,0,0,"a"
"HU33",1,0,0,0,0,0,0,"a"
"HU58",1,0,0,0,0,0,0,"a"
"HY22",0,0,0,0,0,1,0,
"HY31",1,0,0,0,0,0,0,"a"
"HY40",0,0,0,0,1,1,1,"a"
"HY41",0,0,0,0,0,0,1,
"HY42",0,0,0,0,0,0,1,
"HY50",0,0,1,0,0,0,0,"a"
"J00",0,0,0,0,0,0,1,
"J01",0,0,0,0,0,0,1,
"J03",0,0,0,1,0,0,1,"a"
"J04",0,0,0,0,0,0,1,
"J05",0,0,0,1,0,0,1,"a"
"J06",0,0,0,1,0,0,1,"a"
"J09",0,0,0,1,0,1,0,"a"
"J10",0,0,0,0,0,0,1,
"J14",0,0,0,1,0,0,0,"a"
"J16",0,0,0,1,0,0,0,"a"
"J17",0,0,0,1,0,0,0,"a"
"J18",0,0,0,1,0,0,0,"a"
"J20",0,0,0,0,1,0,1,"a"
"J21",0,0,0,0,0,0,1,
"J25",0,0,0,1,0,0,0,"a"
"J26",0,0,0,1,0,0,0,"a"
"J28",0,0,0,1,0,0,0,"a"
"J29",0,0,0,0,0,1,0,
"J43",0,0,0,0,1,0,0,"a"
"J44",0,0,0,1,0,0,0,"a"
"J46",0,0,0,1,0,1,0,"a"
"J47",0,0,0,1,0,0,0,"a"
"J53",0,0,0,0,1,0,0,"a"
"J56",0,0,0,1,0,0,1,"a"
"J58",0,0,0,1,0,0,0,"a"
"J65",0,0,0,0,0,0,1,
"J66",0,0,0,1,0,0,0,"a"
"L56",0,0,0,0,1,0,0,"a"
"L78",0,0,0,0,0,0,1,
"L80",0,0,0,0,1,0,0,
"L90",0,0,0,0,1,0,0,"a"
"M17",0,0,0,0,1,0,0,"a"
"M37",0,0,0,0,0,0,1,
"M58",0,0,0,0,0,0,1,
"M90",0,0,0,0,0,0,1,
"M91",0,0,0,0,0,0,1,
"N00",0,0,0,0,0,0,1,
"N03",0,0,0,0,1,0,0,"a"
"N14",0,0,0,0,0,0,1,
"N15",0,0,0,0,0,0,1,
"N22",0,0,0,0,0,0,1,
"N35",0,0,0,0,0,0,1,
"N38",0,0,0,0,1,0,0,"a"
"N41",0,0,0,0,0,1,0,
"N42",0,0,0,0,0,0,1,
"N44",0,0,0,0,0,0,1,
"N45",0,0,0,0,0,0,1,
"N46",0,0,0,0,0,0,1,
"N48",0,0,0,0,1,0,0,"a"
"N50",0,0,0,0,0,1,0,
"N53",0,0,0,0,0,0,1,
"N54",0,0,0,0,1,0,0,"a"
"N55",0,0,0,0,0,0,1,
"N60",0,0,0,0,1,0,1,"a"
"N61",0,0,0,0,1,0,0,"a"
"N62",0,0,0,0,1,0,0,"a"
"N63",0,0,0,0,1,0,0,"a"
"N64",0,0,0,0,1,0,0,"a"
"N66",0,0,0,0,0,0,1,
"N71",0,0,0,0,1,0,0,"a"
"N72",0,0,0,0,1,0,0,"a"
"N73",0,0,0,0,0,0,1,
"N74",0,0,0,0,1,0,1,"a"
"N75",0,0,0,0,0,0,1,
"N76",0,0,0,0,0,0,1,
"N77",0,0,0,0,1,0,1,"a"
"N80",0,0,0,0,1,1,1,"a"
"N81",0,0,0,0,1,0,1,"a"
"N82",0,0,0,0,1,0,0,"a"
"N83",0,0,0,0,1,0,1,"a"
"N84",0,0,0,0,1,1,0,"a"
"N85",0,0,0,0,0,0,1,
"N86",0,0,0,0,1,1,0,"a"
"N91",0,0,0,0,1,0,0,"a"
"N92",0,0,0,0,1,0,0,"a"
"N93",0,0,0,0,1,0,1,"a"
"N94",0,0,0,0,0,0,1,
"N95",0,0,0,0,0,0,1,
"N98",0,0,0,0,0,0,1,
"N99",0,0,0,0,0,0,1,
"NB03",0,1,0,0,0,0,0,"a"
"NB13",0,1,0,0,0,0,0,"a"
"NC65",1,0,0,0,0,0,0,"a"
"NC70",1,0,1,0,0,0,0,"a"
"ND01",0,0,0,0,0,0,1,
"ND35",1,0,1,0,0,0,0,"a"
"ND36",0,0,0,1,0,0,0,"a"
"ND49",0,0,0,0,0,0,1,
"NF71",0,1,0,0,0,1,0,"a"
"NF73",0,0,0,0,0,0,1,
"NF76",0,0,0,0,0,0,1,
"NF98",0,1,0,0,0,0,0,"a"
"NG08",0,0,0,1,0,0,0,"a"
"NG19",0,0,0,1,0,0,0,
"NG83",1,0,0,0,0,0,0,"a"
"NH36",0,0,1,0,0,0,0,"a"
"NH46",0,0,1,1,0,0,0,"a"
"NH51",0,0,1,1,0,0,0,"a"
"NH53",0,0,1,1,0,0,0,"a"
"NH54",0,0,1,1,1,1,0,"a"
"NH55",0,0,1,0,0,0,0,"a"
"NH63",0,0,1,1,0,0,0,"a"
"NH64",0,0,1,1,1,0,1,"a"
"NH65",0,0,1,0,0,0,0,"a"
"NH66",0,0,1,0,0,0,0,"a"
"NH70",0,0,1,1,0,0,0,"a"
"NH73",0,0,1,1,0,0,0,"a"
"NH74",0,0,1,1,0,0,0,"a"
"NH75",0,0,1,1,1,1,1,"a"
"NH76",0,0,0,0,1,0,0,"a"
"NH77",1,0,1,0,0,0,0,"a"
"NH78",0,0,0,0,1,0,0,"a"
"NH80",0,0,0,1,0,0,0,"a"
"NH84",0,0,1,1,0,0,0,"a"
"NH85",0,0,0,1,0,0,1,"a"
"NH87",0,0,0,0,0,1,0,
"NH90",0,0,1,0,0,0,0,"a"
"NH91",0,0,1,1,1,0,0,"a"
"NH92",0,0,0,1,0,0,1,
"NH93",0,0,0,0,1,0,0,"a"
"NH95",0,1,1,1,1,0,1,"a"
"NH96",0,0,1,0,1,0,0,"a"
"NH98",0,0,0,0,1,0,0,"a"
"NJ01",0,0,1,0,0,0,0,"a"
"NJ02",0,1,1,0,1,0,0,"a"
"NJ04",0,1,0,0,1,0,1,"a"
"NJ05",1,1,1,0,1,1,1,"a"
"NJ06",0,0,0,1,1,0,1,"a"
"NJ13",0,0,1,1,0,0,0,"a"
"NJ14",0,0,0,1,0,0,0,
"NJ15",0,0,0,1,0,0,1,
"NJ16",0,0,0,1,1,0,1,"a"
"NJ17",0,0,0,0,1,0,0,"a"
"NJ22",0,0,1,1,0,0,0,"a"
"NJ24",1,0,1,0,1,0,1,"a"
"NJ25",0,0,1,1,1,0,1,"a"
"NJ26",0,0,1,0,1,1,1,"a"
"NJ35",0,0,0,1,1,1,1,"a"
"NJ36",0,0,1,1,1,1,1,"a"
"NJ44",0,0,0,0,1,0,0,"a"
"NJ45",1,0,1,1,1,0,0,"a"
"NJ46",0,0,1,0,0,1,0,"a"
"NJ50",0,0,0,0,0,0,1,
"NJ52",0,0,0,1,1,1,0,"a"
"NJ53",0,0,0,1,1,0,0,"a"
"NJ54",0,0,1,0,1,0,0,"a"
"NJ56",1,0,0,0,0,1,0,"a"
"NJ62",0,0,0,1,1,1,0,"a"
"NJ63",0,0,0,0,1,1,1,"a"
"NJ64",0,0,0,1,1,0,1,"a"
"NJ65",0,0,1,0,1,1,1,"a"
"NJ66",1,0,1,1,0,0,0,"a"
"NJ70",0,0,0,0,1,0,1,"a"
"NJ71",0,0,0,0,1,1,1,"a"
"NJ72",0,0,0,0,1,1,1,"a"
"NJ73",0,0,0,0,1,0,0,"a"
"NJ74",0,0,0,0,1,1,1,"a"
"NJ75",1,0,1,0,1,1,1,"a"
"NJ76",0,0,1,1,1,1,1,"a"
"NJ80",0,0,0,0,0,1,0,
"NJ81",0,0,0,0,0,0,1,
"NJ82",0,0,0,0,1,1,0,"a"
"NJ83",0,0,0,0,1,0,1,"a"
"NJ84",0,0,0,0,1,0,1,"a"
"NJ85",0,0,0,0,0,0,1,
"NJ86",0,0,0,1,1,1,0,"a"
"NJ90",0,0,0,0,0,1,0,
"NJ92",0,0,0,0,1,1,1,"a"
"NJ93",0,0,0,1,1,1,1,"a"
"NJ94",0,0,0,0,1,1,0,"a"
"NJ95",0,0,1,0,1,1,1,"a"
"NJ96",0,0,0,0,1,1,0,"a"
"NK02",0,0,0,1,1,0,1,"a"
"NK03",0,0,0,0,1,1,1,"a"
"NK04",0,0,0,1,1,1,1,"a"
"NK05",0,0,1,0,1,1,1,"a"
"NK06",0,0,0,0,0,1,0,
"NK14",0,0,0,1,1,0,1,"a"
"NM84",0,0,0,0,1,0,0,"a"
"NN17",0,0,1,0,0,0,0,"a"
"NN27",0,0,0,1,0,0,0,"a"
"NN60",0,0,1,0,0,0,0,"a"
"NN67",0,0,0,0,1,0,0,"a"
"NN70",0,0,0,0,0,1,1,
"NN79",0,0,0,0,1,0,0,"a"
"NN82",0,0,1,0,0,0,0,"a"
"NN90",0,0,0,0,0,0,1,
"NN91",0,0,0,0,0,0,1,
"NN92",0,0,1,0,0,0,0,"a"
"NN94",0,0,0,0,0,0,1,
"NN95",0,0,0,0,0,1,1,
"NO02",0,0,0,0,0,0,1,
"NO03",0,0,0,0,1,0,0,"a"
"NO04",0,0,0,0,0,0,1,
"NO10",0,0,0,0,0,0,1,
"NO11",0,0,0,0,1,0,0,"a"
"NO12",1,0,1,0,0,0,0,"a"
"NO13",0,0,0,0,1,0,1,"a"
"NO14",0,0,0,0,1,0,1,"a"
"NO20",0,0,0,0,0,0,1,
"NO21",0,0,0,0,1,0,0,"a"
"NO22",0,0,0,0,1,0,1,"a"
"NO24",0,0,0,0,0,0,1,
"NO25",0,0,0,0,0,0,1,
"NO30",0,0,0,0,0,1,1,
"NO32",0,0,0,0,1,0,1,"a"
"NO34",0,0,0,0,0,1,0,
"NO35",0,0,0,0,1,0,0,"a"
"NO40",1,1,0,0,1,0,0,"a"
"NO41",0,0,0,0,1,0,0,"a"
"NO42",0,0,0,0,1,0,0,"a"
"NO43",0,0,1,0,1,0,0,"a"
"NO53",0,0,0,0,1,1,0,"a"
"NO54",0,0,0,1,0,0,0,"a"
"NO57",0,0,0,0,0,0,1,
"NO59",0,0,0,0,1,0,0,"a"
"NO60",1,0,0,0,1,1,0,"a"
"NO64",0,0,0,1,0,0,0,"a"
"NO66",0,0,0,0,1,0,1,"a"
"NO67",0,0,0,0,1,0,0,"a"
"NO69",0,0,0,0,1,1,1,"a"
"NO75",0,0,0,0,1,0,0,"a"
"NO76",0,0,0,0,0,0,1,
"NO77",0,0,0,0,1,1,1,"a"
"NO78",0,0,0,0,0,0,1,
"NO79",0,0,0,0,1,1,1,"a"
"NO86",0,0,0,0,0,1,1,
"NO87",0,0,0,0,1,1,1,"a"
"NO88",0,0,0,0,1,1,1,"a"
"NO89",0,0,0,0,0,1,0,
"NO99",0,0,0,0,0,1,0,
"NR16",0,0,0,0,1,0,0,"a"
"NR51",0,0,0,0,1,0,0,"a"
"NR61",0,0,0,0,1,0,0,"a"
"NR62",0,0,1,0,0,0,0,"a"
"NR67",0,0,1,0,0,0,0,"a"
"NR76",0,0,0,0,1,0,0,"a"
"NS05",0,0,1,0,0,0,0,"a"
"NS06",0,0,1,0,0,0,0,"a"
"NS15",0,0,0,0,0,1,0,
"NS20",0,0,1,0,0,0,0,"a"
"NS24",0,0,0,0,0,0,1,
"NS28",0,0,0,1,1,0,0,"a"
"NS29",0,0,0,0,1,0,0,"a"
"NS31",0,0,0,0,1,0,0,"a"
"NS32",0,0,1,0,0,1,0,"a"
"NS33",0,0,0,0,1,0,0,"a"
"NS36",0,0,1,0,0,0,0,"a"
"NS37",0,0,0,1,1,0,0,"a"
"NS38",1,0,0,0,0,0,0,"a"
"NS43",0,0,1,0,0,0,0,"a"
"NS46",0,0,1,0,1,1,0,"a"
"NS47",0,0,0,1,1,0,0,"a"
"NS56",0,0,1,1,1,0,1,"a"
"NS57",0,0,0,1,1,0,0,"a"
"NS65",0,0,1,1,1,0,0,"a"
"NS66",0,0,1,1,1,1,0,"a"
"NS67",0,0,1,0,0,1,0,"a"
"NS74",0,0,1,0,0,0,1,"a"
"NS77",0,0,0,0,1,0,0,"a"
