"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"H15",0,0,1,0,0,0,0,"n"
"H42",0,1,0,0,0,0,0,"n"
"HY41",0,0,0,1,0,0,0,"a"
"NB00",0,1,0,0,0,0,0,"n"
"NB03",0,1,0,0,0,0,0,"n"
"NB10",0,1,0,0,0,0,0,"n"
"NB13",0,1,0,0,0,0,0,"n"
"NB14",0,1,0,0,0,0,0,"n"
"NF60",0,0,1,0,0,0,0,"n"
"NF66",0,1,0,0,0,0,0,"n"
"NF70",0,1,1,0,0,0,0,"n"
"NF71",0,1,0,0,0,0,0,"n"
"NF76",0,1,0,0,0,0,0,"n"
"NF83",0,1,0,0,0,0,0,
"NF85",0,1,0,0,0,0,0,"n"
"NF98",0,1,0,0,0,0,0,"n"
"NG09",0,1,0,0,0,0,0,"n"
"NG41",1,1,0,0,0,0,0,"n"
"NG53",0,1,0,0,0,0,0,"n"
"NG62",0,1,0,0,0,0,0,"n"
"NH75",0,1,1,0,0,0,0,"n"
"NH85",0,0,1,0,0,0,0,"n"
"NH87",0,0,1,0,0,0,0,"n"
"NJ16",0,1,0,0,0,0,0,"n"
"NJ24",0,0,1,0,0,0,0,"n"
"NJ27",0,0,1,0,0,0,0,"n"
"NJ56",0,0,0,0,0,1,0,"n"
"NL58",0,1,0,0,0,0,0,"n"
"NL69",0,1,0,0,0,0,0,"n"
"NM48",0,0,1,0,0,0,0,"n"
"NN62",0,0,1,0,0,0,0,"n"
"NN86",0,0,0,1,0,0,0,"n"
"NO21",0,0,0,0,1,0,0,"n"
"NO40",0,0,0,0,1,0,0,"n"
"NO53",0,0,1,0,0,0,0,"n"
"NO65",0,1,1,0,0,0,0,"n"
"NO74",0,1,0,0,0,0,0,"n"
"NR35",0,0,0,0,1,0,0,"n"
"NR62",0,0,1,0,0,0,0,"n"
"NR67",0,0,1,0,0,0,0,"n"
"NR84",0,0,1,0,1,0,0,"n"
"NR85",0,0,1,0,0,0,0,"n"
"NS89",0,0,0,1,0,0,0,"n"
"NT51",0,0,1,0,0,0,0,"n"
"NT53",0,0,1,0,0,0,0,"n"
"NT58",0,0,0,1,0,0,0,"n"
"NT60",0,0,1,0,0,0,0,"n"
"NT73",1,0,1,0,0,0,0,"n"
"NT77",0,0,1,0,1,0,0,"n"
"NT82",0,0,1,0,0,0,0,"n"
"NU11",0,0,0,1,0,0,0,"n"
"NU13",0,0,0,1,0,0,1,"n"
"NX15",0,0,0,0,1,0,0,"n"
"NX45",0,0,0,0,0,0,1,"n"
"NX64",0,0,0,0,0,0,1,"n"
"NX85",1,0,0,0,0,0,0,"n"
"NZ13",0,0,0,1,0,0,0,"n"
"NZ14",0,0,0,1,0,0,0,"n"
"NZ23",0,0,0,1,0,0,0,"n"
"NZ37",1,0,0,0,0,0,0,"n"
"NZ52",0,0,0,1,0,1,0,"n"
"SC26",0,0,0,0,0,0,1,"n"
"SD17",0,0,0,1,1,0,0,"n"
"SD20",0,0,1,0,0,0,0,"n"
"SD31",0,0,1,0,0,0,0,"n"
"SD32",0,1,1,0,0,0,0,"n"
"SD42",0,0,1,0,0,0,0,"n"
"SD45",0,0,1,0,0,0,0,"n"
"SH12",0,0,1,0,0,0,0,"n"
"SH32",0,0,1,0,0,0,0,"n"
"SH33",0,0,1,0,0,0,0,"n"
"SH37",0,0,0,0,1,0,0,"n"
"SH45",0,0,1,0,0,0,0,"n"
"SH46",0,0,0,1,0,1,0,"n"
"SH50",0,0,1,0,0,0,0,"n"
"SH52",1,0,1,0,0,0,0,"n"
"SH53",1,0,0,0,0,0,0,"n"
"SH61",0,0,0,0,1,0,1,"n"
"SH77",0,0,0,0,0,1,0,"n"
"SH78",0,0,0,1,1,0,0,"n"
"SJ27",0,0,0,0,0,0,1,"n"
"SJ63",0,0,1,0,0,0,0,"n"
"SJ72",0,0,1,0,0,0,0,"n"
"SK01",0,0,1,0,0,0,0,"n"
"SK02",0,0,1,0,0,0,0,"n"
"SK14",0,0,1,0,0,0,0,"n"
"SK25",0,1,0,0,0,0,0,"n"
"SK33",0,0,0,1,0,0,0,"n"
"SK53",0,0,0,0,1,0,0,"n"
"SK80",0,1,0,0,0,0,0,"n"
"SK90",0,1,0,0,0,0,0,"n"
"SM82",1,0,0,0,0,0,0,"n"
"SN04",1,0,0,0,0,0,0,"n"
"SN14",0,0,0,0,1,0,0,"n"
"SN15",0,0,0,0,1,0,0,"n"
"SN20",0,0,0,1,0,0,0,"n"
"SN30",0,0,0,0,1,0,0,"n"
"SN31",0,0,1,0,1,0,0,"n"
"SN40",0,0,0,0,1,0,0,"n"
"SN41",0,0,0,0,1,0,0,"n"
"SN58",0,0,0,0,1,0,1,"n"
"SN59",0,0,0,0,1,0,0,"n"
"SN69",0,0,0,0,1,0,1,"n"
"SO60",0,0,0,1,0,0,0,"n"
"SP56",0,0,1,0,1,0,0,"n"
"SS20",1,1,0,0,0,0,0,"n"
"SS21",1,0,0,0,0,0,0,"n"
"SS43",0,0,0,0,1,0,0,"n"
"SS49",0,0,1,0,0,0,0,"n"
"SS79",1,0,0,0,0,0,0,"n"
"ST06",0,0,0,0,1,0,0,"n"
"ST24",0,0,0,0,0,1,0,"n"
"ST25",0,0,0,1,1,0,0,"n"
"ST37",0,0,0,0,1,0,0,"n"
"ST45",0,0,0,1,0,0,0,"n"
"SU31",0,0,0,1,0,0,0,"n"
"SU83",0,0,1,0,0,0,0,"n"
"SU84",0,0,1,0,0,0,0,"n"
"SU85",0,0,1,0,0,0,0,"n"
"SU93",0,0,1,0,0,0,0,"n"
"SU94",0,0,1,0,0,0,0,"n"
"SU95",0,0,1,0,0,0,0,"n"
"SU96",0,0,1,0,0,0,1,"n"
"SV91",0,0,1,0,0,0,0,"n"
"SW53",0,0,1,1,0,0,0,"n"
"SW54",0,0,0,1,1,0,0,"n"
"SW61",0,0,0,0,0,1,0,"n"
"SW71",0,1,0,0,0,0,0,"n"
"SW75",0,0,1,1,1,1,0,"n"
"SW76",0,0,0,1,0,0,0,"n"
"SW87",0,0,0,1,0,0,0,"n"
"SX05",1,0,0,0,0,0,0,"n"
"SX35",1,0,0,0,0,0,0,"n"
"SX44",1,0,0,0,0,0,0,"n"
"SX73",0,0,0,0,0,0,1,"n"
"SX84",0,0,0,0,1,0,0,"n"
"SY08",0,0,0,1,1,0,0,"n"
"SY67",0,0,0,0,1,1,0,"n"
"SY87",0,0,0,0,1,0,0,"n"
"SY88",0,0,0,0,1,0,0,"n"
"SY97",0,0,0,0,0,1,1,"n"
"SZ07",0,0,0,0,1,0,0,"n"
"SZ08",0,0,0,0,0,0,1,"n"
