"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"D31",0,0,0,1,1,0,1,"a"
"D40",1,1,0,0,1,0,1,"a"
"H68",0,0,0,0,1,0,0,
"HU56",0,0,0,0,0,0,1,
"HY22",0,0,1,0,1,1,1,"a"
"HY53",0,0,0,0,1,0,0,"a"
"HY74",0,0,0,0,1,1,0,"a"
"J00",1,1,0,0,0,0,1,"a"
"J02",1,0,0,0,0,0,0,"a"
"J14",1,0,0,0,0,0,0,"a"
"J19",0,0,0,0,1,0,0,"a"
"J27",0,0,0,0,0,1,0,
"J37",1,1,1,1,1,0,0,"a"
"J38",0,1,0,0,0,0,0,"a"
"J46",1,0,1,1,0,1,1,"a"
"J47",1,0,1,0,0,0,0,"a"
"J48",1,0,0,1,1,0,1,"a"
"J49",1,0,0,0,0,0,0,
"J56",0,0,0,1,1,1,1,"a"
"J57",1,0,1,1,1,0,0,"a"
"L98",1,0,1,0,0,0,0,"a"
"M07",1,0,0,0,0,0,0,
"M22",0,1,0,0,0,0,0,"a"
"M32",1,0,0,0,1,0,0,"a"
"N86",0,1,0,0,0,0,0,"a"
"N96",1,0,0,0,0,0,0,
"ND29",1,0,0,0,0,0,0,"a"
"ND39",0,0,1,0,0,0,0,"a"
"NH75",0,0,0,1,0,0,1,
"NH82",0,0,0,1,1,0,0,"a"
"NH87",0,0,1,1,0,1,1,"a"
"NH91",0,0,0,1,1,0,0,"a"
"NJ06",1,0,1,0,0,0,0,"a"
"NJ16",0,0,0,1,0,0,1,"a"
"NJ36",1,1,1,1,1,1,1,"a"
"NJ46",1,0,1,1,0,0,0,"a"
"NJ56",0,0,1,0,0,0,0,
"NK14",0,0,0,0,1,1,1,"a"
"NM73",0,0,0,0,1,0,0,"a"
"NN00",0,0,0,1,1,0,0,"a"
"NN17",0,0,0,0,1,0,0,"a"
"NN76",0,0,0,0,1,0,0,"a"
"NN94",0,0,0,0,0,1,0,
"NO02",0,0,1,0,0,0,0,"a"
"NO14",0,0,0,1,0,0,0,
"NO21",0,0,0,0,1,0,0,"a"
"NO23",0,0,0,0,1,0,0,"a"
"NO30",0,0,0,1,1,0,0,"a"
"NO32",0,0,1,0,0,0,1,"a"
"NO33",1,0,1,0,0,0,0,"a"
"NO40",0,0,1,0,1,0,0,"a"
"NO41",1,0,1,0,1,0,0,"a"
"NO42",0,0,0,0,1,0,1,"a"
"NO48",0,0,0,0,0,0,1,
"NO50",0,0,0,1,1,0,1,"a"
"NO51",0,0,0,1,1,0,0,"a"
"NO53",1,0,1,0,1,1,1,"a"
"NO60",1,1,0,0,0,0,0,"a"
"NO64",1,0,1,1,0,0,0,"a"
