"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B81",0,0,0,0,0,0,1,
"B92",0,0,0,0,0,0,1,
"B93",0,0,0,0,1,0,0,"n"
"C03",0,0,0,0,0,0,1,
"C12",0,0,0,0,0,0,1,
"C21",0,0,0,0,1,0,1,"n"
"C22",0,0,0,0,0,1,1,
"C30",1,0,0,0,1,1,0,"n"
"C31",0,0,0,0,0,0,1,
"C33",0,0,0,0,0,1,0,
"C40",0,0,0,0,0,0,1,
"C41",0,0,0,0,0,0,1,
"C42",0,0,0,0,0,1,1,
"C50",0,0,0,0,0,1,1,
"C51",0,0,0,0,1,0,1,"n"
"C61",0,0,0,0,1,1,0,"n"
"C62",0,0,0,0,1,1,1,"n"
"C63",0,0,0,0,0,0,1,
"C70",0,0,0,0,0,0,1,
"C72",0,0,0,0,0,0,1,
"C73",0,0,0,1,1,1,1,"n"
"C81",0,0,0,0,0,1,1,
"C82",0,0,1,0,1,0,1,"n"
"C83",0,0,0,1,0,1,1,"n"
"C84",0,0,0,0,0,0,1,
"C90",0,0,0,1,1,1,1,"n"
"C91",0,0,1,0,1,1,1,"n"
"C92",0,0,0,0,0,1,1,
"C93",0,0,0,0,0,1,1,
"C94",0,0,0,0,0,0,1,
"D00",0,0,0,0,1,0,0,"n"
"D01",0,0,0,0,0,0,1,
"D02",0,0,0,0,0,1,1,
"D12",0,0,0,0,0,0,1,
"D14",0,0,0,0,0,0,1,
"D20",0,0,0,0,0,1,1,
"D21",0,0,1,0,0,1,0,"n"
"D22",0,0,0,0,0,1,0,
"D30",1,0,0,0,1,0,1,"n"
"D31",1,0,0,1,1,1,1,"n"
"D40",0,0,0,0,0,0,1,
"F90",0,0,0,0,0,0,1,
"G00",0,0,0,0,0,0,1,
"G10",0,0,0,0,0,0,1,
"G11",0,0,0,0,0,1,1,
"G12",0,0,0,0,1,0,1,"n"
"G13",0,0,0,0,1,1,0,"n"
"G20",0,1,0,0,0,1,0,"n"
"G22",0,0,0,0,0,0,1,
"G23",0,0,0,0,1,0,0,"n"
"G33",0,0,0,0,0,0,1,
"G53",0,0,0,0,0,0,1,
"G61",0,0,0,0,0,1,1,
"G62",0,0,0,0,0,1,1,
"G63",0,0,0,0,0,0,1,
"G64",0,0,0,0,1,0,1,"n"
"G70",0,0,0,0,0,0,1,
"G73",1,0,0,0,1,1,1,"n"
"G74",1,0,1,0,1,1,1,"n"
"G75",0,0,0,0,1,0,1,"n"
"G77",0,0,0,0,0,0,1,
"G78",0,0,1,0,0,0,0,"n"
"G80",0,0,0,0,1,1,1,"n"
"G81",0,0,0,0,0,1,1,
"G82",0,0,0,0,0,1,1,
"G83",0,0,1,0,0,1,1,"n"
"G84",0,0,0,0,1,0,1,"n"
"G85",1,0,0,1,1,1,1,"n"
"G87",0,0,0,0,1,0,1,"n"
"G88",0,0,0,0,1,1,0,"n"
"G90",0,0,0,0,0,0,1,
"G92",0,0,0,0,1,1,1,"n"
"G93",0,0,0,0,1,0,1,"n"
"G94",0,0,0,0,1,1,1,"n"
"G95",0,0,0,0,1,1,1,"n"
"G97",0,0,0,0,1,1,1,"n"
"G98",1,0,1,0,1,0,1,"n"
"H01",0,0,0,0,0,0,1,
"H03",0,0,0,1,1,1,1,"n"
"H04",0,0,0,0,1,1,0,"n"
"H05",0,1,0,0,1,1,1,"n"
"H06",0,0,0,0,0,1,0,
"H08",0,0,0,0,0,0,1,
"H10",0,0,0,0,0,0,1,
"H11",0,0,0,0,0,0,1,
"H12",1,0,1,0,0,0,0,"n"
"H13",1,0,1,1,1,1,1,"n"
"H14",0,1,0,0,1,1,1,"n"
"H15",0,0,0,1,1,1,1,"n"
"H16",0,0,1,1,1,1,1,"n"
"H17",0,0,1,0,1,0,0,"n"
"H22",0,1,0,0,1,0,1,"n"
"H23",0,1,0,1,1,1,1,"n"
"H24",0,1,0,1,1,1,1,"n"
"H25",1,1,1,0,1,1,1,"n"
"H26",0,0,0,0,1,0,0,"n"
"H27",0,0,0,0,1,1,1,"n"
"H32",1,0,0,1,1,1,1,"n"
"H33",0,0,0,1,1,1,1,"n"
"H34",0,1,0,0,1,1,1,"n"
"H35",0,0,0,0,1,1,1,"n"
"H36",0,0,0,0,1,1,0,"n"
"H37",0,0,0,0,0,1,0,
"H38",0,0,0,0,1,0,1,"n"
"H39",1,0,1,1,1,1,0,"n"
"H40",0,0,0,0,0,0,1,
"H41",0,0,0,0,1,0,1,"n"
"H42",0,1,0,0,1,1,1,"n"
"H43",0,0,0,0,0,1,0,
"H44",0,0,0,1,1,1,1,"n"
"H45",0,0,0,0,0,1,1,
"H46",0,0,0,0,1,1,1,"n"
"H47",0,0,0,0,1,1,1,"n"
"H48",0,0,0,0,1,1,1,"n"
"H50",0,0,0,0,1,0,0,"n"
"H52",0,0,0,0,0,0,1,
"H54",0,0,0,0,1,1,1,"n"
"H55",0,0,0,0,1,1,0,"n"
"H56",0,0,0,0,0,1,1,
"H57",0,0,0,0,0,1,0,
"H58",0,0,0,0,1,1,0,"n"
"H59",0,0,0,0,0,0,1,
"H61",0,0,0,0,0,0,1,
"H63",0,0,0,1,1,1,1,"n"
"H64",0,0,0,0,1,0,0,"n"
"H65",1,1,1,0,1,1,1,"n"
"H66",0,0,0,0,0,1,1,
"H67",0,0,0,0,0,0,1,
"H68",0,0,0,0,0,1,1,
"H70",0,0,0,0,0,0,1,
"H71",0,0,0,0,0,0,1,
"H74",0,0,1,1,1,1,1,"n"
"H75",0,0,0,0,1,1,1,"n"
"H76",0,0,0,0,1,1,1,"n"
"H77",0,0,0,1,1,1,1,"n"
"H78",0,0,0,0,1,1,1,"n"
"H80",0,0,0,0,0,1,1,
"H83",0,0,0,0,1,0,0,"n"
"H84",0,0,0,0,0,1,1,
"H85",0,0,0,0,1,1,1,"n"
"H86",0,0,1,0,0,1,1,"n"
"H87",0,0,1,0,1,1,1,"n"
"H88",0,0,0,1,1,1,1,"n"
"H89",0,0,0,0,0,0,1,
"H90",0,0,0,0,0,0,1,
"H91",0,0,0,0,0,1,1,
"H92",0,0,0,0,0,0,1,
"H95",0,0,0,1,0,1,1,"n"
"H96",0,0,0,0,1,1,0,"n"
"H97",0,0,0,0,0,1,1,
"H98",0,0,0,1,1,1,1,"n"
"H99",0,0,0,0,0,0,1,
"HU31",0,0,0,0,0,0,1,
"HU34",0,0,0,0,0,0,1,
"HU43",0,0,0,0,0,0,1,
"HU44",0,0,0,0,0,0,1,
"HU48",0,0,0,0,0,0,1,
"HU59",0,0,0,0,0,0,1,
"HY20",0,0,0,0,0,0,1,
"HY40",0,0,0,0,0,1,1,
"J00",0,0,0,0,0,0,1,
"J01",0,0,0,0,0,1,1,
"J03",0,0,0,0,0,1,1,
"J04",1,0,0,1,1,1,1,"n"
"J05",0,0,0,1,1,1,1,"n"
"J06",0,0,1,1,1,1,1,"n"
"J07",1,0,0,1,0,0,1,"n"
"J08",0,0,0,1,1,1,1,"n"
"J10",0,0,0,0,0,0,1,
"J12",0,0,0,0,0,1,1,
"J13",0,0,0,0,0,0,1,
"J14",0,0,0,0,0,0,1,
"J15",0,0,0,0,1,0,1,"n"
"J16",0,0,0,0,1,0,0,"n"
"J17",1,1,1,1,1,1,1,"n"
"J18",0,0,0,1,1,1,1,"n"
"J19",0,0,0,0,0,1,0,
"J21",0,0,0,0,0,1,0,
"J25",1,0,0,0,0,1,1,"n"
"J26",0,0,1,0,0,1,1,"n"
"J27",1,0,1,1,1,1,1,"n"
"J28",0,0,0,0,0,1,1,
"J29",0,0,0,0,0,0,1,
"J31",0,0,0,0,0,1,1,
"J33",0,0,0,1,0,1,1,"n"
"J34",0,0,0,0,0,1,0,
"J35",1,0,0,0,0,1,1,"n"
"J36",0,0,0,0,1,1,1,"n"
"J37",1,0,0,0,1,1,1,"n"
"J38",1,0,0,1,1,1,1,"n"
"J39",0,0,0,0,0,1,0,
"J44",0,0,1,0,0,0,1,"n"
"J45",0,0,0,1,1,1,1,"n"
"J46",0,0,0,0,0,1,1,
"J47",0,0,0,0,0,1,1,
"J48",0,0,0,1,1,1,1,"n"
"J49",0,0,0,0,0,0,1,
"J53",0,0,0,0,0,0,1,
"J54",0,0,1,1,0,0,1,"n"
"J55",0,0,0,0,1,1,0,"n"
"J56",0,0,0,0,0,0,1,
"J57",0,0,0,1,1,0,1,"n"
"J67",0,0,0,0,0,0,1,
"L55",0,0,0,0,0,0,1,
"L56",0,0,0,0,0,1,1,
"L65",1,0,0,0,0,0,1,"n"
"L74",0,0,0,0,0,0,1,
"L76",0,0,0,0,0,0,1,
"L84",0,0,0,0,0,0,1,
"L86",0,0,0,0,0,1,0,
"L98",0,0,0,0,0,0,1,
"L99",0,0,0,0,0,0,1,
"M04",0,0,0,0,1,0,1,"n"
"M05",0,0,0,0,0,1,1,
"M06",0,0,0,0,0,0,1,
"M07",0,0,0,0,0,0,1,
"M08",0,0,0,0,1,0,1,"n"
"M09",0,0,0,0,0,0,1,
"M10",0,0,1,0,0,0,0,"n"
"M13",0,0,0,0,1,0,1,"n"
"M14",0,0,0,0,0,1,1,
"M15",1,0,0,1,0,1,1,"n"
"M16",0,0,0,0,0,0,1,
"M17",0,0,0,0,0,1,1,
"M18",0,0,0,0,0,0,1,
"M20",0,0,0,0,0,0,1,
"M22",0,0,0,0,0,0,1,
"M23",0,0,0,0,0,1,1,
"M28",0,0,0,0,0,0,1,
"M29",0,0,0,0,0,0,1,
"M32",0,0,0,0,0,0,1,
"M35",0,0,0,0,0,0,1,
"M37",0,0,0,0,1,0,1,"n"
"M40",0,0,0,0,0,1,1,
"M41",0,0,0,0,0,0,1,
"M42",0,0,0,0,0,0,1,
"M44",0,0,0,0,0,0,1,
"M51",0,0,0,0,0,0,1,
"M52",0,0,0,0,0,1,1,
"M53",0,0,0,0,1,0,1,"n"
"M55",0,0,0,0,0,0,1,
"M60",0,0,0,0,0,0,1,
"M61",0,0,0,0,0,1,1,
"M62",0,0,0,1,0,0,1,
"M63",0,0,0,0,1,1,1,"n"
"M64",0,0,0,0,1,0,0,"n"
"M65",0,0,0,0,1,0,0,"n"
"M68",0,0,0,0,0,0,1,
"M70",0,0,0,0,0,1,1,
"M72",0,0,0,0,0,0,1,
"M74",0,0,0,0,1,0,1,"n"
"M75",0,0,0,0,1,0,1,"n"
"M80",0,0,0,0,0,0,1,
"M94",0,0,0,0,0,1,0,
"M99",0,0,0,0,0,1,1,
"N00",0,0,0,0,1,1,1,"n"
"N01",0,0,0,0,1,0,1,
"N02",0,0,0,0,0,0,1,
"N06",0,0,0,0,0,1,0,
"N08",0,0,0,0,0,1,1,
"N09",0,0,0,0,1,1,1,"n"
"N10",0,0,0,0,0,0,1,
"N13",0,0,0,0,0,1,1,
"N16",0,0,0,0,1,0,0,"n"
"N17",0,0,0,0,0,0,1,
"N19",0,0,0,0,0,0,1,
"N20",0,0,0,0,0,1,1,
"N22",0,0,0,0,0,0,1,
"N23",0,0,0,0,0,0,1,
"N30",0,0,0,0,1,1,1,"n"
"N31",0,0,1,0,1,1,1,"n"
"N32",1,0,0,0,1,1,1,"n"
"N36",0,0,0,0,0,1,1,
"N39",0,0,0,0,0,0,1,
"N41",0,0,0,0,0,0,1,
"N42",0,0,0,0,1,0,1,"n"
"N43",0,0,0,0,0,1,0,
"N44",0,0,0,1,0,0,0,"n"
"N45",0,0,1,0,0,0,1,"n"
"N46",0,0,0,0,0,1,1,
"N47",0,0,0,0,1,0,1,"n"
"N55",0,0,0,0,0,0,1,
"N56",0,0,0,1,0,1,0,"n"
"N57",0,0,0,0,0,0,1,
"N59",0,0,0,0,0,0,1,
"N60",0,0,0,0,1,1,1,"n"
"N65",0,0,0,0,0,1,0,
"N66",0,0,0,0,0,0,1,
"N69",0,0,0,0,0,0,1,
"N71",0,0,0,0,0,0,1,
"N76",0,0,0,0,0,0,1,
"N78",0,0,0,0,0,0,1,
"N80",0,0,0,0,1,0,1,"n"
"N81",0,0,0,0,0,1,1,
"N82",0,0,0,0,0,0,1,
"N84",0,0,0,0,0,0,1,
"N85",0,0,0,0,0,0,1,
"N86",0,0,0,0,0,1,0,
"N91",0,0,0,0,0,0,1,
"N92",0,0,0,0,1,0,1,"n"
"N93",0,0,0,1,1,1,1,"n"
"N94",0,0,0,0,1,0,1,"n"
"N95",0,0,0,0,0,0,1,
"N96",0,0,0,0,1,1,1,"n"
"N97",0,0,0,0,0,1,1,
"N99",0,0,0,0,0,0,1,
"NB23",0,0,0,0,0,0,1,
"NB56",0,0,0,0,0,1,1,
"NC71",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"ND48",0,0,0,0,0,1,0,
"NF86",0,0,0,0,0,0,1,
"NG20",0,0,0,1,1,0,1,"n"
"NG24",0,0,0,0,0,0,1,
"NG25",0,0,0,0,0,0,1,
"NG44",0,0,0,0,0,0,1,
"NG60",0,0,0,0,0,0,1,
"NG77",0,0,0,0,0,0,1,
"NG82",0,0,0,0,0,0,1,
"NG83",0,0,0,0,0,0,1,
"NG84",0,0,0,0,0,0,1,
"NG85",0,0,0,0,0,0,1,
"NG87",0,0,0,0,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NG92",0,0,0,0,0,0,1,
"NG97",0,0,0,0,0,1,0,
"NH04",0,0,0,0,0,0,1,
"NH18",0,0,0,0,0,0,1,
"NH19",0,0,0,0,0,0,1,
"NH30",0,0,0,0,0,0,1,
"NH43",0,0,0,0,0,0,1,
"NH45",0,0,0,0,1,1,1,"n"
"NH52",0,0,0,0,0,0,1,
"NH55",0,0,0,0,0,1,0,
"NH56",0,0,0,0,0,1,1,
"NH63",0,0,0,0,0,0,1,
"NH64",0,0,0,0,0,0,1,
"NH75",0,0,0,0,0,0,1,
"NH77",0,0,0,0,0,1,0,
"NH78",0,0,0,0,0,0,1,
"NH79",0,0,0,0,0,0,1,
"NH85",0,0,0,0,0,0,1,
"NH88",0,0,0,0,0,0,1,
"NH91",0,0,0,0,0,0,1,
"NH95",0,0,0,0,0,0,1,
"NJ02",0,0,0,0,0,0,1,
"NJ04",0,0,0,0,0,0,1,
"NJ05",1,1,1,0,1,1,1,"n"
"NJ06",0,0,1,0,1,0,1,"n"
"NJ13",0,0,0,1,0,1,0,"n"
"NJ16",0,0,0,0,0,1,1,
"NJ25",0,0,0,0,1,0,0,"n"
"NJ26",0,0,0,0,0,1,1,
"NJ36",0,0,0,0,0,1,1,
"NJ46",0,0,0,0,0,1,0,
"NJ52",0,0,0,1,1,1,1,"n"
"NJ54",0,0,0,0,0,0,1,
"NJ56",0,0,0,0,0,1,0,
"NJ61",0,0,0,0,0,0,1,
"NJ63",0,0,0,0,0,0,1,
"NJ64",1,0,0,0,0,0,0,
"NJ66",0,0,0,0,0,1,1,
"NJ73",0,0,0,0,0,1,0,
"NJ75",0,0,0,0,0,0,1,
"NJ76",1,0,0,0,0,0,0,
"NJ80",1,0,1,0,1,1,1,"n"
"NJ86",0,0,0,0,0,0,1,
"NJ90",0,0,0,0,0,0,1,
"NJ92",0,0,0,0,0,0,1,
"NK04",0,0,0,0,1,1,0,"n"
"NM35",1,0,1,0,0,1,1,"n"
"NM45",0,0,0,0,0,0,1,
"NM48",0,0,0,0,0,0,1,
"NM52",1,0,1,0,0,0,0,"n"
"NM64",0,0,0,0,1,0,0,"n"
"NM70",0,0,0,0,1,0,0,"n"
"NM71",0,0,0,0,0,0,1,
"NM72",0,0,1,0,0,0,0,"n"
"NM74",0,0,0,0,1,0,0,"n"
"NM77",0,0,0,0,0,0,1,
"NM80",0,0,0,0,1,0,1,"n"
"NM82",0,0,0,0,0,0,1,
"NM90",0,0,0,0,1,0,0,"n"
"NM91",0,0,0,0,0,0,1,
"NM94",0,0,0,0,0,0,1,
"NN00",0,0,0,0,0,0,1,
"NN05",0,0,0,0,0,0,1,
"NN06",0,0,0,1,0,0,1,"n"
