"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NO41",0,0,1,0,0,0,0,"a"
"NT27",1,0,0,0,0,0,0,"a"
"NT37",1,0,0,0,0,0,0,"a"
"NT85",0,0,1,0,0,0,0,"a"
"SE60",1,0,0,0,0,0,0,"a"
"SE81",1,0,0,0,0,0,0,"a"
"SK30",1,0,0,0,0,0,0,"a"
"SK92",1,0,0,0,0,0,0,"a"
"SP30",1,0,0,0,0,0,0,"a"
"SP31",1,0,0,0,0,0,0,"a"
"SP40",1,0,0,0,0,0,0,"a"
"SP41",1,0,0,0,0,0,0,"a"
"SP50",1,0,1,0,0,0,0,"a"
"SP51",1,0,0,0,0,0,0,"a"
"SP70",1,0,0,0,0,0,0,"a"
"SP90",0,0,0,0,1,0,0,"a"
"SP91",0,0,0,0,1,0,0,
"SP93",1,0,0,0,0,0,0,"a"
"SS82",1,0,0,0,0,0,0,"a"
"ST59",1,0,0,0,0,0,0,"a"
"ST80",1,0,0,0,0,0,0,"a"
"SU10",0,0,1,0,0,0,0,"a"
"SU22",1,0,0,0,0,0,0,"a"
"SU24",0,0,0,0,0,0,1,"a"
"SU25",0,0,0,0,0,0,1,"a"
"SU33",0,0,0,1,0,0,0,"a"
"SU34",1,0,0,0,0,0,0,"a"
"SU39",0,0,1,1,1,1,0,"a"
"SU40",1,0,0,0,0,0,0,"a"
"SU49",1,1,1,0,0,0,0,"a"
"SU51",0,0,0,0,1,0,0,"a"
"SU53",1,0,0,0,0,0,0,"a"
"SU58",0,0,1,0,0,0,0,"a"
"SU66",1,0,0,0,0,0,0,"a"
"SU68",1,0,0,0,0,0,0,"a"
"SU73",0,0,0,1,0,0,0,"a"
"SU77",1,0,1,1,1,1,1,"a"
"SU78",1,0,0,0,0,0,0,"a"
"SU80",1,0,0,0,0,0,0,"a"
"SU84",1,0,0,0,0,0,0,"a"
"SU87",1,0,0,0,0,0,0,"a"
"SU88",1,0,1,0,0,0,0,"a"
"SU90",1,0,0,1,1,1,0,"a"
"SU94",0,0,0,0,0,1,0,"a"
"SU98",1,1,1,0,0,0,0,"a"
"SU99",1,0,0,0,0,0,0,"a"
"SX05",1,0,0,0,0,0,0,"a"
"SY58",0,1,0,0,0,0,0,"a"
"SY67",1,0,0,0,0,0,0,"a"
"SY97",1,0,0,0,0,0,0,"a"
"SY98",0,1,0,0,0,0,0,"a"
"SZ08",1,0,0,0,0,0,0,"a"
"SZ19",1,0,0,0,0,0,0,"a"
"SZ38",1,0,0,0,0,0,1,"a"
"SZ39",1,0,1,0,0,0,0,"a"
"SZ48",1,0,0,0,0,0,0,"a"
"SZ58",1,1,0,0,0,0,0,"a"
"TA18",1,0,0,0,0,0,0,"a"
"TF02",1,0,0,0,0,0,0,"a"
"TF25",1,0,0,0,0,0,0,"a"
"TF63",1,0,0,0,0,0,0,"a"
"TF64",1,0,0,0,0,0,0,"a"
"TF70",0,0,1,0,0,0,0,"a"
"TF73",1,0,0,0,0,0,0,"a"
"TF91",1,0,0,0,0,0,0,"a"
"TF94",1,0,0,0,0,0,0,"a"
"TG01",0,0,0,1,1,0,0,"a"
"TG03",0,0,1,0,0,0,0,"a"
"TG11",1,0,0,0,0,0,0,"a"
"TG14",1,0,0,0,0,0,0,"a"
"TG21",1,1,1,0,0,0,0,"a"
"TG22",1,0,0,0,0,0,0,"a"
"TG23",1,0,0,0,0,0,0,"a"
"TG24",1,0,0,0,0,0,0,"a"
"TG31",1,0,0,0,0,0,0,"a"
"TG40",1,0,0,0,0,0,0,"a"
"TL03",1,0,0,0,0,0,0,"a"
"TL13",1,0,0,0,0,0,0,"a"
"TL21",1,0,0,0,0,0,0,"a"
"TL22",1,0,0,0,0,0,0,"a"
"TL23",1,0,0,0,0,0,0,"a"
"TL24",1,0,1,0,0,0,0,"a"
"TL25",1,0,0,1,0,0,0,"a"
"TL30",1,0,1,0,0,1,0,"a"
"TL31",1,0,0,0,0,0,0,"a"
"TL33",1,0,1,0,0,0,0,"a"
"TL34",1,0,0,0,0,0,0,"a"
"TL35",1,0,0,0,0,0,0,"a"
"TL38",1,0,0,0,0,0,0,"a"
"TL44",1,1,1,1,0,0,0,"a"
"TL45",1,0,0,0,1,0,0,"a"
"TL48",1,0,0,0,0,0,0,"a"
"TL49",1,0,0,0,0,0,0,"a"
"TL54",1,1,0,0,1,1,0,"a"
"TL55",1,0,1,0,0,0,0,"a"
"TL56",1,0,1,0,0,0,0,"a"
"TL62",1,0,0,0,0,0,0,"a"
"TL65",1,0,0,0,0,0,0,"a"
"TL66",1,1,1,1,1,0,0,"a"
"TL67",1,0,0,1,0,0,0,"a"
"TL76",1,1,0,0,0,0,0,"a"
"TL77",1,0,0,0,0,1,0,"a"
"TL78",1,1,0,0,0,0,0,"a"
"TL81",1,0,0,0,0,0,0,"a"
"TL86",1,0,1,0,0,0,0,"a"
"TL87",1,0,0,0,0,0,0,"a"
"TL88",1,0,0,0,0,0,0,"a"
"TL92",1,0,1,0,0,0,0,"a"
"TL93",1,0,1,1,0,0,0,"a"
"TL94",1,0,1,0,0,0,0,"a"
"TM58",0,0,1,0,0,0,0,"a"
"TQ05",1,0,0,0,1,1,1,"a"
"TQ06",1,0,0,0,0,0,0,"a"
"TQ07",1,0,0,0,0,0,0,"a"
"TQ09",1,0,0,0,0,0,0,"a"
"TQ10",1,0,0,0,0,0,0,"a"
"TQ13",1,0,0,0,0,0,0,"a"
"TQ15",1,0,0,0,0,1,0,"a"
"TQ16",1,1,0,0,0,0,0,"a"
"TQ17",1,0,0,0,0,0,0,"a"
"TQ20",1,0,0,0,0,0,0,"a"
"TQ25",1,0,1,0,0,0,0,"a"
"TQ26",1,0,1,1,1,1,1,"a"
"TQ30",1,0,0,0,0,0,0,"a"
"TQ31",1,1,0,0,0,0,0,"a"
"TQ35",1,0,0,0,0,0,0,"a"
"TQ36",1,1,0,0,0,0,0,"a"
"TQ40",1,0,0,0,0,0,0,"a"
"TQ46",1,0,0,0,0,0,0,"a"
"TQ55",1,0,0,0,0,0,0,"a"
"TQ56",1,0,0,0,0,0,0,"a"
"TQ57",1,0,0,0,1,1,1,"a"
"TQ58",0,0,0,0,0,1,0,"a"
"TQ65",1,0,0,0,0,0,0,"a"
"TQ66",1,1,1,1,1,1,1,"a"
"TQ67",1,0,0,0,0,0,0,"a"
"TQ76",1,1,1,1,1,1,1,"a"
"TQ86",1,0,0,0,0,0,0,"a"
"TR05",1,0,0,0,0,0,0,"a"
"TR06",1,0,0,0,0,0,0,"a"
"TR15",1,0,0,0,0,0,0,"a"
"TR25",1,0,0,0,0,0,0,"a"
"TR34",1,0,0,0,0,0,0,"a"
"TR35",1,0,0,0,0,0,0,"a"
"TR36",1,0,0,0,0,0,0,"a"
"TV49",1,1,0,0,0,0,0,"a"
"WV54",1,0,0,0,0,0,0,"a"
"WV64",1,0,0,0,0,0,0,"a"
