"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B61",1,0,1,0,0,0,0,"n"
"B71",0,0,0,0,0,0,1,
"B80",0,0,1,0,0,0,0,"n"
"B81",0,0,1,0,0,0,0,"n"
"B82",0,0,1,0,0,0,0,"n"
"B91",1,0,1,0,0,0,0,"n"
"B93",0,0,1,0,0,0,0,"n"
"C00",0,0,1,0,0,0,0,"n"
"C03",0,0,1,0,1,0,0,"n"
"C21",1,0,1,0,1,0,0,"n"
"C23",0,0,1,0,0,0,0,"n"
"C24",1,0,1,0,1,0,0,"n"
"C30",1,0,1,0,0,0,0,"n"
"C31",0,0,1,0,0,0,1,"n"
"C34",0,0,0,0,1,0,0,"n"
"C40",0,0,1,0,1,0,0,"n"
"C42",0,0,0,0,1,0,0,"n"
"C50",0,0,1,0,1,0,1,"n"
"C55",0,0,1,0,1,0,0,"n"
"C60",0,0,0,0,1,0,0,"n"
"C63",0,0,0,0,0,0,1,
"C70",0,0,0,0,1,0,0,"n"
"C72",0,0,1,0,0,0,0,"n"
"C73",0,0,0,0,1,0,0,
"C80",0,0,0,0,1,1,1,"n"
"C81",0,0,0,0,1,1,0,"n"
"C82",0,0,0,0,0,0,1,
"C83",0,0,1,0,0,0,1,"n"
"C90",0,0,0,0,0,1,1,
"C91",0,0,0,1,1,0,0,"n"
"C92",0,0,1,0,1,0,0,"n"
"C93",0,0,1,0,1,0,0,"n"
"C94",0,0,1,0,0,0,0,"n"
"D00",0,0,1,0,0,0,0,"n"
"D01",0,0,1,0,1,0,1,"n"
"D02",0,0,1,0,0,0,0,"n"
"D03",0,0,0,0,1,0,0,"n"
"D04",0,0,1,0,0,0,1,"n"
"D10",0,0,1,0,0,0,0,"n"
"D14",1,0,1,0,0,0,0,"n"
"D31",0,0,0,0,1,1,0,"n"
"F60",0,0,1,0,0,0,0,"n"
"F81",0,0,1,0,0,0,0,"n"
"F82",0,0,0,0,1,0,0,"n"
"G11",0,0,0,0,1,0,0,"n"
"G22",1,0,0,0,0,0,0,"n"
"G23",0,0,0,0,1,0,0,"n"
"G30",1,0,0,0,0,0,0,"n"
"G31",0,0,1,0,0,0,0,"n"
"G32",1,0,1,0,1,0,0,"n"
"G33",0,0,1,0,0,0,0,"n"
"G42",0,0,1,0,0,0,0,"n"
"G43",0,0,1,0,0,0,0,"n"
"G48",0,0,1,0,0,0,0,"n"
"G50",0,0,0,0,1,0,1,"n"
"G51",0,0,1,0,1,0,1,"n"
"G52",0,0,1,0,0,0,0,"n"
"G60",0,0,1,0,1,0,0,"n"
"G61",0,0,0,0,1,0,0,"n"
"G62",1,0,1,0,1,0,0,"n"
"G63",1,0,0,0,0,0,0,"n"
"G67",0,0,0,0,1,0,0,"n"
"G70",0,0,0,0,0,1,1,
"G71",0,0,0,0,0,1,0,
"G72",0,0,1,0,1,0,1,"n"
"G73",0,0,0,0,0,0,1,
"G81",0,0,0,0,1,1,1,"n"
