"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"S60",0,0,0,1,0,0,0,
"SS42",1,0,0,0,0,0,0,"n"
"SS43",1,1,0,0,0,0,0,"n"
"SS53",1,0,0,0,0,0,0,
"ST17",1,1,0,0,0,0,0,"a"
"ST18",1,0,0,0,0,0,0,"a"
"ST25",1,0,0,0,0,0,0,"n"
"SV81",1,0,0,0,0,1,1,"n"
"SV91",1,0,0,0,0,1,0,"n"
"SW42",0,0,0,0,0,0,1,
"SW43",1,0,0,0,0,0,0,
"SW53",1,0,0,0,0,1,1,"n"
"SW61",1,1,1,0,1,1,0,"n"
"SW62",1,1,1,0,1,1,1,"n"
"SW83",1,0,0,0,0,0,0,"n"
"SW87",0,0,0,0,0,0,1,
"SX05",1,1,1,0,1,1,1,"n"
"SX15",0,0,0,1,1,1,0,"n"
"SX85",0,1,0,0,0,0,0,"n"
"SX97",1,1,1,0,0,0,0,"n"
"SZ19",1,0,0,0,1,1,1,"n"
"SZ29",0,0,0,0,0,1,1,"n"
"SZ49",0,0,0,0,1,1,0,"n"
"SZ59",1,0,0,0,0,0,0,"n"
"SZ79",0,0,0,1,1,1,1,"n"
"TM23",0,1,0,0,0,0,0,
"TQ30",0,0,0,0,1,1,0,"n"
"WV27",1,0,0,0,0,0,0,"n"
"WV38",1,0,1,0,1,0,1,"n"
"WV48",1,1,1,1,1,1,0,"n"
"WV54",1,0,0,0,0,0,0,
"WV64",1,0,0,0,0,0,0,"n"
