"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C21",0,0,0,0,0,0,1,
"C52",0,1,1,1,0,0,0,
"C62",0,0,0,1,1,0,1,
"J12",0,0,0,0,1,0,0,
"NG09",0,0,0,0,0,1,0,
"NH55",1,0,0,0,0,0,0,
"NH56",0,0,1,0,0,0,0,
"NH76",0,1,1,1,0,0,0,
"NM83",0,0,0,0,0,0,1,
"NM84",0,0,0,1,1,0,1,"n"
"NM94",0,0,0,1,1,0,1,"n"
"NS98",1,0,0,0,0,0,1,"n"
"NT27",0,0,0,0,1,0,0,
"NU21",1,0,1,0,0,0,0,"n"
"NX55",0,0,0,0,1,0,0,"n"
"NX64",0,0,0,0,1,0,0,"n"
"NX74",0,0,0,1,0,0,0,"n"
"NX95",0,0,0,0,1,0,0,"n"
"NY15",0,0,0,0,1,0,0,
"O23",0,1,1,1,0,0,0,"a"
"O24",0,0,0,0,0,0,1,
"S60",0,0,0,0,0,0,1,
"S80",0,0,0,0,1,0,0,
"S81",0,0,0,0,1,0,0,
"S90",0,0,0,0,1,0,0,
"SD09",0,0,0,1,0,0,0,"n"
"SD26",0,0,0,0,0,0,1,
"SD27",0,0,0,0,0,0,1,
"SD28",0,0,0,0,0,0,1,
"SD34",0,0,0,0,1,0,0,"n"
"SD37",0,0,0,0,0,0,1,
"SD48",0,0,0,0,0,1,0,
"SH53",0,0,0,0,0,1,0,
"SH61",0,0,1,1,0,0,0,"n"
"SH77",0,0,0,0,0,0,1,
"SH87",0,0,0,0,0,0,1,
"SH98",0,0,0,0,1,0,0,"n"
"SJ27",0,0,0,1,0,0,0,
"SN14",0,0,0,0,0,1,0,
"SN68",0,0,0,0,1,0,0,
"SN69",0,0,0,0,0,1,1,
"SO60",0,0,1,1,0,0,0,"n"
"SO86",1,1,1,0,0,0,0,"n"
"SS42",1,0,0,1,0,0,0,"n"
"SS43",0,0,1,1,0,0,0,"n"
"SS53",1,0,0,1,0,0,0,"n"
"SS58",0,0,0,0,0,1,0,
"SS84",0,0,0,0,1,1,0,"n"
"ST24",0,0,1,0,1,1,0,"n"
"ST25",1,0,0,1,1,0,0,"n"
"ST33",0,0,0,0,1,0,0,"n"
"ST34",0,0,0,0,1,0,0,"n"
"ST35",0,0,0,0,1,0,0,"n"
"ST36",0,0,1,0,1,1,0,"n"
"ST37",0,0,0,0,1,0,0,"n"
"ST38",0,0,0,0,1,0,0,"n"
"ST47",0,0,0,0,1,1,0,"n"
"ST48",0,0,0,1,0,0,0,"n"
"ST57",0,0,0,1,1,0,0,"n"
"ST58",0,0,0,1,0,0,0,"n"
"ST59",0,0,1,1,0,0,0,"n"
"ST69",0,0,0,1,0,0,1,"n"
"SU30",0,0,0,1,0,0,0,
"SU31",0,0,1,0,0,0,1,"n"
"SU40",1,0,1,0,1,1,1,"n"
"SU41",1,0,0,0,0,0,0,
"SU50",0,0,1,0,0,1,0,"n"
"SU60",0,1,0,1,1,1,0,"n"
"SU70",1,0,1,1,1,1,1,"n"
"SU80",0,0,1,1,0,1,0,"n"
"SX35",0,0,0,1,0,0,0,"n"
"SX45",0,0,0,1,1,0,0,"n"
"SX46",0,0,1,1,0,0,0,
"SX54",0,0,0,1,0,0,0,
"SX55",0,0,0,1,1,0,0,"n"
"SX64",0,0,0,1,1,0,0,"n"
"SX84",0,0,0,0,1,0,0,"n"
"SX85",0,0,0,1,1,0,1,"n"
"SX87",0,0,0,1,1,0,0,"n"
"SX97",0,0,1,1,1,0,1,"n"
"SX98",0,0,1,1,1,0,0,"n"
"SY08",0,0,1,1,1,0,0,"n"
"SY68",0,0,0,1,1,0,0,"n"
"SY98",0,1,1,1,0,1,1,"n"
"SY99",0,1,1,1,0,0,0,"n"
"SZ08",0,1,1,1,1,1,1,"n"
"SZ09",0,0,1,1,0,0,0,"n"
"SZ19",0,0,0,0,0,0,1,
"SZ38",1,0,0,0,1,1,0,
"SZ39",0,0,1,1,0,0,1,"n"
"SZ49",1,0,0,1,1,1,1,"n"
"SZ59",1,0,1,0,0,1,0,
"SZ68",1,0,1,0,0,1,0,"n"
"SZ69",0,0,0,0,1,1,1,"n"
"SZ79",0,0,1,1,1,0,0,"n"
"SZ89",0,0,1,1,0,1,1,"n"
"T02",0,0,0,0,1,0,0,
"TA18",0,0,0,0,1,0,0,"n"
"TF42",0,0,0,0,0,1,0,
"TF44",0,0,0,0,1,0,0,"n"
"TF49",0,0,1,0,0,0,0,
"TF52",0,0,0,1,0,0,0,"n"
"TF55",0,0,0,0,0,1,0,
"TF62",0,0,1,1,0,0,0,"n"
"TF63",0,0,1,0,0,0,0,"n"
"TF64",0,0,0,1,0,0,0,"n"
"TF74",0,0,1,1,0,0,1,"n"
"TF84",0,0,1,1,0,1,0,"n"
"TF94",0,0,0,1,1,0,1,"n"
"TG04",0,1,1,1,0,0,0,"n"
"TL80",0,0,0,1,1,0,0,"n"
"TL90",0,0,0,1,1,0,1,"n"
"TL91",0,0,1,1,1,1,0,"n"
"TM01",0,0,0,1,1,0,1,"n"
"TM11",0,0,0,0,0,1,1,
"TM13",0,0,1,1,1,1,0,"n"
"TM14",0,0,0,0,0,0,1,
"TM22",0,0,1,1,1,0,0,"n"
"TM23",0,1,1,0,0,1,0,"n"
"TM24",0,0,1,0,1,1,0,"n"
"TM34",0,0,0,0,1,0,1,
"TM35",0,0,0,0,0,0,1,
"TM45",0,0,1,0,1,1,1,"n"
"TM47",0,0,1,1,0,0,1,"n"
"TQ00",0,0,1,0,1,1,1,"n"
"TQ50",0,0,0,0,1,0,1,"n"
"TQ67",0,0,0,0,0,1,0,
"TQ87",0,1,0,0,0,0,0,
"TQ88",0,0,0,0,0,1,0,
"TQ91",0,0,1,0,0,1,0,
"TR06",0,1,0,0,0,0,0,"n"
"TR09",0,0,1,0,0,0,1,"n"
"TV59",0,0,1,0,0,0,1,
