"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NH31",0,0,1,0,0,0,0,"n"
"NH84",1,0,0,0,0,0,0,"n"
"NH94",1,0,1,0,1,1,1,"n"
"NJ03",0,0,0,0,0,1,1,"n"
"NJ04",1,0,0,0,0,1,1,"n"
"NJ05",1,1,1,0,1,1,1,"n"
"NJ06",0,0,1,0,0,0,0,"n"
"NJ13",0,0,1,0,0,1,1,"n"
"NJ24",1,1,1,1,1,1,1,"n"
"NJ25",0,0,0,1,1,1,1,"n"
"NJ26",0,1,1,0,0,0,0,"n"
"NJ33",0,0,1,1,0,1,0,"n"
"NJ34",1,0,1,0,1,0,0,"n"
"NJ35",0,0,1,1,1,1,1,"n"
"NJ36",1,1,1,0,1,1,1,"n"
"NJ44",1,0,0,0,0,1,1,"n"
"NJ54",1,0,0,0,0,0,0,"n"
"NJ64",1,0,0,0,0,0,1,"n"
"NJ65",1,0,0,0,0,0,0,"n"
"NJ90",0,0,1,0,0,0,0,"n"
"NM31",0,0,0,0,1,0,0,"n"
"NN54",0,0,1,0,0,0,0,"n"
"NN63",0,0,0,0,0,0,1,
"NN70",1,0,0,1,1,1,1,"n"
"NN72",0,0,1,1,1,0,1,"n"
"NN80",0,0,0,0,1,0,0,"n"
"NN81",0,0,1,1,1,1,1,"n"
"NN82",0,0,1,1,1,1,1,"n"
"NN84",1,0,1,1,1,1,1,"n"
"NN85",0,0,0,0,0,0,1,
"NN90",1,0,1,1,1,0,0,"n"
"NN91",0,0,0,1,1,1,1,"n"
"NN92",0,0,1,0,1,0,1,"n"
"NN94",0,0,1,0,1,1,1,"n"
"NN95",0,0,1,1,1,1,1,"n"
"NN96",0,0,0,0,0,0,1,"n"
"NO00",0,0,1,1,1,1,1,"n"
"NO01",0,0,1,1,1,1,1,"n"
"NO02",0,0,1,1,1,1,1,"n"
"NO03",0,0,1,1,1,1,1,"n"
"NO04",0,0,1,0,1,1,1,"n"
"NO10",0,0,0,1,1,0,1,"n"
"NO11",0,0,1,0,1,1,1,"n"
"NO12",1,0,1,1,1,1,1,"n"
"NO13",0,0,1,1,1,1,1,"n"
"NO14",0,0,1,1,1,1,1,"n"
"NO15",0,0,0,1,1,0,0,"n"
"NO17",0,0,0,0,0,1,0,
"NO22",1,0,0,0,0,0,0,"n"
"NO23",0,0,1,0,1,1,1,"n"
"NO24",0,0,0,1,1,1,1,"n"
"NO25",0,0,1,1,1,1,0,"n"
"NO30",0,0,0,0,1,0,0,"n"
"NO32",1,1,0,0,0,0,0,"n"
"NO36",0,0,0,1,1,1,0,"n"
"NO41",0,1,1,0,1,0,1,"n"
"NO43",0,0,1,0,1,0,0,"n"
"NO44",0,0,0,1,0,0,0,"n"
"NO45",0,0,1,0,1,1,1,"n"
"NO51",0,0,1,0,0,0,1,"n"
"NO55",0,0,1,0,1,1,1,"n"
"NO56",0,0,1,0,1,0,0,"n"
"NO65",0,0,1,1,1,1,1,"n"
"NO66",0,0,0,0,0,1,0,"n"
"NO67",0,0,0,1,0,1,1,"n"
"NO68",0,0,0,1,0,0,1,"n"
"NO69",0,0,1,0,0,0,0,"n"
"NO76",0,0,0,0,1,0,0,"n"
"NO77",0,0,1,0,1,1,1,"n"
"NO88",1,0,1,0,1,1,1,"n"
"NS16",0,0,1,1,1,0,1,"n"
"NS24",0,0,0,0,1,0,0,"n"
"NS25",0,0,0,0,1,0,0,"n"
"NS26",0,0,1,0,1,0,1,"n"
"NS27",0,0,1,0,1,1,1,"n"
"NS28",1,0,0,0,0,0,1,
"NS30",0,0,0,0,1,0,0,"n"
"NS31",0,0,1,0,1,0,0,"n"
"NS32",0,0,1,0,1,0,0,"n"
"NS34",0,0,0,0,1,0,1,"n"
"NS35",1,0,0,0,0,0,1,"n"
"NS36",0,0,1,0,1,0,0,"n"
"NS37",1,0,1,1,1,1,1,"n"
"NS38",1,0,0,1,1,0,1,"n"
"NS41",0,0,1,0,1,0,0,"n"
"NS45",0,0,0,0,1,0,0,"n"
"NS46",0,0,0,1,1,1,0,"n"
"NS47",0,0,1,1,1,1,0,"n"
"NS48",1,0,1,1,1,1,1,"n"
"NS52",0,0,0,1,1,0,1,"n"
"NS55",0,0,0,1,1,0,0,"n"
"NS56",0,0,0,1,1,0,1,"n"
"NS57",0,1,0,1,1,0,1,"n"
"NS58",0,0,1,0,1,1,1,"n"
"NS59",0,0,1,1,1,1,1,"n"
"NS65",0,0,1,1,1,1,1,"n"
"NS66",0,0,1,1,1,1,1,"n"
"NS67",0,0,1,1,1,1,1,"n"
"NS72",0,0,0,0,0,1,0,"n"
"NS74",0,0,1,0,0,1,1,"n"
"NS75",0,0,1,0,1,1,1,"n"
"NS76",1,0,0,0,0,0,0,"n"
"NS77",1,1,1,0,1,0,1,"n"
"NS78",0,0,0,1,1,1,0,"n"
"NS79",1,0,0,0,1,1,1,"n"
"NS80",0,0,1,0,1,1,1,"n"
"NS81",0,0,0,0,1,0,0,"n"
"NS84",0,0,1,0,1,1,1,"n"
"NS85",0,0,0,0,0,1,0,"n"
"NS86",0,0,0,0,0,0,1,"n"
"NS89",0,0,0,1,1,1,1,"n"
"NS97",1,0,0,0,1,0,0,"n"
"NS98",0,0,0,1,0,0,1,"n"
