"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B71",0,0,0,0,0,1,0,
"B72",0,0,0,0,1,0,0,"n"
"B81",0,0,0,0,0,0,1,
"B90",0,0,0,0,1,0,1,"n"
"B91",0,0,0,0,1,0,0,"n"
"C00",0,0,0,0,1,0,0,"n"
"C01",0,0,0,0,1,1,0,"n"
"C03",0,0,0,0,0,1,1,
"C04",0,0,0,0,0,0,1,
"C11",0,0,0,0,0,1,1,
"C12",0,0,0,0,0,0,1,
"C13",0,0,0,0,0,1,1,
"C14",0,0,0,0,0,1,0,
"C21",0,0,0,0,0,0,1,
"C22",0,0,0,0,0,1,1,
"C23",0,0,0,0,0,0,1,
"C24",0,0,0,0,1,0,1,"n"
"C30",0,0,0,1,0,1,0,
"C31",0,0,0,0,0,1,0,
"C32",0,0,0,0,1,1,0,"n"
"C33",0,0,0,0,1,1,0,"n"
"C34",0,0,0,0,1,0,1,"n"
"C40",0,0,0,1,1,0,0,"n"
"C41",0,0,0,0,1,0,1,"n"
"C42",0,0,0,0,1,1,0,"n"
"C43",0,0,0,0,1,1,1,"n"
"C45",0,0,0,0,1,0,0,"n"
"C50",0,0,0,0,1,1,1,"n"
"C51",0,0,0,0,1,1,1,"n"
"C52",0,0,0,0,1,0,1,
"C53",0,0,0,0,1,0,0,"n"
"C54",0,0,0,0,1,0,1,"n"
"C55",0,0,0,0,1,0,0,"n"
"C60",0,0,0,0,1,1,1,"n"
"C61",0,0,0,0,0,0,1,
"C62",0,0,0,0,0,0,1,
"C63",0,0,0,1,1,0,1,"n"
"C70",0,0,0,1,1,1,1,"n"
"C71",0,0,0,1,1,1,1,"n"
"C72",0,0,0,0,1,1,1,"n"
"C73",0,0,0,0,1,1,0,"n"
"C80",0,0,0,1,1,1,1,"n"
"C81",0,0,0,1,1,1,1,"n"
"C82",0,0,0,0,1,0,0,"n"
"C90",0,0,0,0,1,1,1,"n"
"C91",0,0,0,0,1,1,1,"n"
"C92",0,0,0,0,1,1,0,"n"
"C93",0,0,0,0,1,0,0,"n"
"C94",0,0,0,0,1,0,0,"n"
"D00",0,0,0,0,1,1,1,"n"
"D01",0,0,0,0,1,0,1,"n"
"D02",0,0,0,1,1,1,1,"n"
"D03",0,0,0,0,1,0,1,"n"
"D04",0,0,0,0,1,0,1,"n"
"D10",0,0,0,1,0,1,0,"n"
"D11",0,0,0,1,1,1,0,"n"
"D12",0,0,0,1,1,1,1,"n"
"D13",0,0,0,1,1,1,1,"n"
"D14",0,0,0,0,1,0,1,"n"
"D20",0,0,0,0,0,1,1,
"D21",1,0,0,0,1,1,1,"n"
"D22",1,0,0,0,1,1,1,"n"
"D23",0,0,0,0,1,1,1,"n"
"D24",0,0,0,0,1,0,1,"n"
"D30",0,0,0,0,0,1,0,
"F50",0,0,0,0,0,0,1,
"F61",0,0,0,0,0,0,1,
"F73",0,0,0,0,0,0,1,
"F80",0,0,0,0,0,0,1,
"F81",0,0,0,0,0,0,1,
"F82",0,0,0,0,0,0,1,
"F90",0,0,0,0,1,1,1,"n"
"F91",0,0,0,0,0,0,1,
"F92",0,0,0,0,0,1,1,
"G00",0,0,0,0,0,0,1,
"G02",0,0,0,0,0,0,1,
"G03",0,0,0,0,0,0,1,
"G04",0,0,0,0,1,0,1,"n"
"G10",0,0,0,0,0,0,1,
"G12",0,0,0,0,0,0,1,
"G13",0,0,0,0,0,0,1,
"G20",0,0,0,0,1,1,1,"n"
"G21",0,0,0,0,0,0,1,
"G22",0,0,0,0,1,1,1,"n"
"G23",0,0,0,0,1,0,0,"n"
"G30",0,0,0,0,1,0,1,"n"
"G31",0,0,0,0,0,1,1,
"G32",0,0,0,0,1,1,0,"n"
"G33",0,0,0,0,1,0,0,"n"
"G40",0,0,0,0,0,0,1,
"G41",0,0,0,0,1,0,0,"n"
"G42",0,0,0,0,1,0,0,"n"
"G43",0,0,0,0,1,0,1,"n"
"G48",0,0,0,0,1,0,0,"n"
"G50",0,0,0,0,0,0,1,
"G51",0,0,0,0,0,0,1,
"G52",0,0,0,0,1,1,0,"n"
"G55",0,0,0,0,0,1,0,
"G57",0,0,0,0,0,1,0,
"G60",0,0,0,0,1,1,1,"n"
"G61",0,0,0,0,1,0,1,"n"
"G62",0,0,0,0,0,0,1,
"G64",0,0,0,0,1,1,1,"n"
"G67",0,0,0,0,0,0,1,
"G68",0,0,0,0,1,1,1,"n"
"G69",0,0,0,0,0,0,1,
"G70",0,0,0,0,0,0,1,
"G71",0,0,0,0,1,0,1,"n"
"G72",0,0,0,0,0,0,1,
"G73",0,0,0,0,0,1,1,
"G74",0,0,0,0,0,1,1,
"G75",0,0,0,0,0,1,1,
"G76",0,0,0,0,0,0,1,
"G77",0,0,0,0,0,1,0,
"G78",0,0,0,0,1,1,0,"n"
"G79",0,0,0,0,0,1,0,
"G82",0,0,0,0,0,1,1,
"G83",0,0,0,0,0,0,1,
"G85",0,0,0,0,0,0,1,
"G86",0,0,0,0,1,1,1,"n"
"G87",0,0,0,0,1,0,1,"n"
"G88",0,0,0,0,1,1,0,"n"
"G91",0,0,0,0,0,0,1,
"G92",0,0,0,0,0,1,1,
"G93",0,0,0,0,0,1,0,
"G95",0,0,0,0,1,0,0,"n"
"G96",0,0,0,0,1,0,1,"n"
"G98",0,0,0,0,1,1,0,"n"
"H00",0,0,0,0,0,1,1,
"H01",0,0,0,0,0,0,1,
"H02",0,0,0,0,0,0,1,
"H03",0,0,0,0,1,0,1,"n"
"H04",0,0,0,0,0,1,1,
"H05",0,0,0,1,0,1,1,"n"
"H06",0,0,0,0,1,0,0,"n"
"H07",0,0,0,0,1,0,0,"n"
"H08",0,0,0,0,0,1,0,
"H09",0,0,0,0,1,0,0,"n"
"H10",0,0,0,0,1,1,0,"n"
"H11",0,0,0,1,0,1,1,
"H12",0,0,0,0,0,1,0,
"H13",0,0,0,0,0,0,1,
"H15",0,0,0,0,1,0,0,"n"
"H16",0,0,1,0,0,1,0,"n"
"H17",0,0,0,0,0,0,1,
"H18",0,0,0,0,0,0,1,
"H19",0,0,0,0,0,1,0,
"H20",0,0,0,0,0,1,0,
"H21",0,0,0,0,0,1,0,
"H22",0,0,0,0,1,1,0,"n"
"H24",0,0,0,0,0,0,1,
"H26",0,0,0,0,1,1,0,"n"
"H27",0,0,0,0,1,1,0,"n"
"H28",0,0,0,0,0,1,0,
"H30",0,0,0,0,0,1,1,
"H31",0,0,0,0,0,1,0,
"H32",0,0,0,0,1,0,0,"n"
"H35",0,0,0,0,0,1,1,
"H36",0,0,0,0,0,1,1,
"H37",0,0,0,0,0,1,0,
"H39",0,0,0,1,0,1,0,"n"
"H40",0,0,0,0,0,1,0,
"H41",0,0,0,0,0,1,0,
"H42",0,0,0,0,0,1,0,
"H43",0,0,0,0,0,0,1,
"H44",0,0,0,0,1,1,0,"n"
