"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B81",0,0,0,0,0,1,1,
"C01",0,0,0,1,1,1,1,"n"
"C03",0,0,0,0,0,1,0,
"C12",1,0,0,0,1,1,1,"n"
"C14",0,0,0,0,0,1,1,
"C22",0,0,0,0,1,0,0,"n"
"C24",0,0,0,0,0,1,1,
"C31",0,0,0,0,1,0,0,"n"
"C41",1,0,0,0,1,0,1,"n"
"C73",0,0,0,0,0,0,1,
"C80",1,0,0,0,1,0,1,"n"
"D00",0,0,0,0,0,1,0,
"D02",0,0,0,0,1,0,0,"n"
"D05",0,0,0,0,1,0,1,"n"
"D10",0,0,0,0,0,0,1,
"D14",0,0,0,1,1,0,0,"n"
"D15",0,0,0,0,1,0,0,"n"
"F63",0,0,0,0,1,0,0,
"G30",0,0,0,0,0,0,1,
"G50",0,0,0,0,1,0,0,"n"
"G52",0,0,0,0,1,0,0,"n"
"G61",0,0,0,0,0,0,1,
"G62",0,0,0,0,0,0,1,
"G69",0,0,0,0,0,1,0,
"G70",0,0,0,0,1,0,0,"n"
"G71",0,0,0,0,0,0,1,
"G74",0,0,0,0,1,0,0,"n"
"G75",1,0,0,0,0,0,0,"n"
"G77",1,0,0,0,1,0,0,"n"
"G83",0,0,0,0,0,0,1,
"G90",0,0,0,0,1,1,1,"n"
"G95",0,0,0,0,0,1,1,
"G96",0,0,0,0,0,0,1,
"G98",0,0,0,0,0,0,1,
"H00",0,0,0,0,1,1,1,"n"
"H01",0,0,0,0,0,0,1,
"H03",0,0,0,1,1,0,1,"n"
"H04",0,0,0,1,1,0,1,"n"
"H05",0,0,0,1,1,1,1,"n"
"H06",0,0,0,1,1,0,1,"n"
"H07",0,0,0,0,1,0,0,"n"
"H08",0,0,0,0,1,0,0,"n"
"H10",0,0,0,0,0,0,1,
"H11",0,0,0,0,0,1,1,
"H12",0,0,0,0,0,0,1,
"H13",1,0,0,0,1,0,0,"n"
"H14",0,0,0,0,1,0,1,"n"
"H15",0,0,0,1,1,1,1,"n"
"H16",0,0,0,1,1,0,1,"n"
"H19",0,0,0,0,1,0,0,"n"
"H20",0,0,0,0,0,0,1,
"H21",0,0,0,0,0,0,1,
"H22",0,0,0,0,1,0,0,"n"
"H23",0,0,1,1,1,1,1,"n"
"H24",0,1,0,1,1,0,1,"n"
"H25",0,0,0,0,1,1,1,"n"
"H26",0,0,0,1,1,0,1,"n"
"H30",0,0,0,0,1,1,1,"n"
"H31",1,0,1,1,1,1,1,"n"
"H32",0,1,0,1,1,1,1,"n"
"H33",0,0,1,1,1,1,1,"n"
"H34",0,0,0,0,1,0,1,"n"
"H36",0,0,0,0,1,0,0,"n"
"H37",0,0,0,0,1,0,0,"n"
"H40",1,0,0,0,0,0,1,"n"
"H41",0,0,0,0,1,1,1,"n"
"H42",0,0,0,1,1,1,1,"n"
"H43",0,1,0,0,1,0,1,"n"
"H44",0,0,1,0,0,0,0,
"H46",1,0,0,0,1,0,1,"n"
"H50",0,0,0,0,0,0,1,
"H51",1,0,0,0,1,0,1,"n"
"H52",0,0,0,0,1,1,0,"n"
"H53",0,0,0,0,1,0,1,"n"
"H54",0,0,0,0,1,0,0,"n"
"H55",0,0,0,0,1,1,0,"n"
"H57",0,0,0,0,1,0,0,"n"
"H60",0,0,0,0,0,0,1,
"H61",1,0,0,0,1,1,1,"n"
"H62",0,0,0,0,1,0,1,"n"
"H63",0,0,0,0,0,0,1,
"H64",0,0,0,0,0,0,1,
"H65",0,0,0,0,1,0,1,"n"
"H67",0,0,0,1,1,0,1,"n"
"H70",0,0,1,0,1,1,1,"n"
"H71",0,0,0,0,1,1,1,"n"
"H72",0,0,0,0,1,1,1,"n"
"H73",0,0,0,0,1,0,0,"n"
"H74",0,0,0,0,0,1,1,
"H75",0,0,0,0,1,1,1,"n"
"H76",1,0,0,0,1,1,1,"n"
"H77",0,0,0,0,0,1,0,
"H78",0,0,0,0,1,1,0,"n"
"H80",0,0,0,0,0,1,1,
"H81",0,0,0,0,1,1,1,"n"
"H82",0,0,0,1,1,0,1,"n"
"H83",0,0,0,0,1,0,1,"n"
"H85",0,0,1,0,1,1,0,"n"
"H86",0,0,0,1,1,1,1,"n"
"H88",1,0,0,1,0,0,0,"n"
"H90",0,0,0,0,1,0,0,"n"
"H91",0,0,0,0,1,0,1,"n"
"H93",0,0,0,1,1,1,1,"n"
"H94",0,0,0,1,1,0,0,"n"
"H96",0,0,0,0,1,0,0,"n"
"H97",0,0,0,0,1,0,0,
"H98",0,0,0,0,1,1,1,"n"
"H99",1,0,1,1,1,0,0,"n"
"HY22",1,0,0,0,0,0,0,"n"
"J02",0,0,0,0,1,0,0,"n"
"J03",0,0,0,1,0,0,0,"n"
"J04",1,0,0,0,0,1,0,"n"
"J05",1,0,0,1,1,1,0,"n"
"J06",1,0,0,1,1,0,0,"n"
"J08",0,0,0,0,0,0,1,
"J12",0,0,0,1,1,1,1,"n"
"J13",0,0,0,0,1,0,0,"n"
"J14",0,0,0,0,1,0,0,"n"
"J15",0,0,0,0,1,0,0,"n"
"J16",0,1,1,0,0,0,0,"n"
"J17",1,0,0,0,0,0,1,"n"
"J23",0,0,0,0,1,0,0,"n"
"J25",0,0,0,1,1,0,0,"n"
"J29",0,0,0,0,1,0,0,"n"
"J34",0,0,0,0,1,0,0,"n"
"J35",1,0,0,1,1,0,0,"n"
"J36",0,0,1,0,1,0,0,"n"
"J39",0,0,0,0,0,0,1,
"J44",0,0,0,0,1,0,1,"n"
"J45",1,0,0,0,1,0,1,"n"
"J46",1,0,0,1,1,1,0,"n"
"J47",1,0,1,0,1,0,0,"n"
"J54",0,0,1,0,0,0,0,"n"
"J55",0,0,0,0,1,0,1,"n"
"J57",0,0,0,0,0,1,0,
"J58",0,0,0,0,1,0,0,"n"
"J65",0,0,1,0,1,1,0,"n"
"J66",0,0,0,0,1,0,0,"n"
"L54",0,0,0,1,0,0,0,"n"
"L64",0,0,0,0,0,0,1,
"L73",0,0,1,1,0,1,1,"n"
"L76",0,0,0,0,1,0,0,
"L83",0,0,0,1,0,1,0,"n"
"L92",0,0,0,0,0,0,1,
"L94",0,0,0,0,0,1,1,
"L95",0,0,0,0,0,0,1,
"L97",0,0,0,0,0,0,1,
"L98",0,0,0,0,0,0,1,
"L99",0,0,0,0,1,0,1,"n"
"M05",0,0,0,0,0,0,1,
"M06",0,0,0,0,0,0,1,
"M08",0,0,0,0,0,1,1,
"M09",0,0,0,0,1,0,1,"n"
"M15",0,0,0,0,0,1,1,
"M18",0,0,0,0,0,1,1,
"M23",0,0,0,0,0,1,0,
"M33",0,0,0,0,0,1,0,
"M54",0,0,0,0,1,0,0,"n"
"M64",0,0,0,0,1,0,0,"n"
"M68",0,0,0,1,0,1,1,"n"
"M71",0,0,0,0,0,1,0,
"M80",0,0,0,0,0,0,1,
"M89",0,0,0,0,0,0,1,
"M91",0,0,0,0,0,0,1,
"M99",0,0,0,0,1,0,1,"n"
"N04",0,0,0,1,1,0,0,"n"
"N08",0,0,0,0,0,0,1,
"N09",0,0,0,0,0,1,1,
"N14",0,0,0,0,1,0,0,"n"
"N19",0,0,0,1,0,1,1,"n"
"N21",0,0,0,0,0,0,1,
"N28",0,0,0,1,0,0,1,"n"
"N29",0,0,0,1,0,1,1,"n"
"N34",0,0,0,0,0,0,1,
"N37",0,0,0,0,0,1,0,
"N38",0,0,0,0,0,1,1,
"N39",0,0,0,0,0,0,1,
"N44",0,0,0,0,0,1,1,
"N46",1,0,0,0,0,0,0,"n"
"N48",0,0,0,0,1,0,1,"n"
"N49",0,0,0,0,0,0,1,
"N56",0,0,0,0,0,1,1,
"N58",0,0,0,0,0,1,1,
"N59",0,0,0,0,0,1,1,
"N68",1,0,0,0,1,1,1,"n"
"N77",0,0,0,0,0,0,1,
"N78",1,0,0,0,0,0,1,"n"
"N79",1,0,0,0,1,0,0,"n"
"N89",0,0,0,1,1,1,1,"n"
"NB53",0,0,0,0,1,0,0,"n"
"NB56",0,0,0,0,1,1,1,"n"
"NC01",0,0,0,0,0,1,0,
"NC50",0,0,0,0,1,1,0,"n"
"NC60",0,0,0,1,1,0,0,"n"
"ND04",0,0,0,1,0,0,0,
"ND05",0,0,0,1,0,0,0,
"ND06",0,0,0,0,0,1,0,
"ND25",0,0,0,1,0,0,0,
"NH33",0,0,0,0,1,0,0,"n"
"NH45",0,0,0,1,1,1,1,"n"
"NH53",0,0,0,1,1,0,0,"n"
"NH54",0,0,0,0,1,0,0,"n"
"NH55",0,0,0,1,1,1,1,"n"
"NH62",0,0,0,0,0,0,1,
"NH63",0,0,0,1,1,1,0,"n"
"NH64",0,0,0,0,1,0,0,"n"
"NH65",0,0,0,0,0,1,0,
"NH67",0,0,1,1,1,1,1,"n"
"NH68",0,0,0,0,1,0,0,"n"
"NH70",1,0,0,1,1,0,1,"n"
"NH76",0,0,0,0,1,0,0,"n"
"NH77",0,0,0,0,1,1,0,"n"
"NH78",0,0,0,1,1,0,0,"n"
"NH80",0,0,0,1,1,1,1,"n"
"NH81",0,0,1,0,0,0,0,"n"
"NH85",0,1,1,1,1,1,1,"n"
"NH90",0,0,0,1,0,0,0,"n"
"NH93",0,0,0,0,1,0,0,"n"
"NH94",0,0,0,1,0,0,0,"n"
"NH95",0,1,0,1,1,0,0,"n"
"NJ02",0,0,0,0,0,1,0,
"NJ05",0,0,1,0,1,0,0,"n"
"NJ16",0,0,0,0,0,1,0,
"NJ25",0,0,0,1,1,0,1,"n"
"NJ26",0,0,1,1,1,1,1,"n"
"NJ34",0,0,0,1,1,0,0,"n"
"NJ35",0,0,0,0,0,1,0,
"NJ40",1,0,0,1,1,1,0,"n"
"NJ41",0,0,0,1,0,0,0,"n"
"NJ45",0,0,0,1,0,0,0,"n"
"NJ46",1,0,1,1,0,0,0,"n"
"NJ56",0,0,0,1,0,0,0,"n"
"NJ70",0,0,0,1,0,1,0,"n"
"NJ71",0,0,0,0,0,1,0,
"NJ80",0,0,0,1,1,0,0,"n"
"NJ81",0,0,0,1,0,1,0,"n"
"NJ82",0,0,0,1,0,0,0,"n"
"NJ83",1,0,0,1,0,0,0,"n"
"NJ85",0,0,0,0,1,1,0,"n"
"NJ90",0,0,0,1,1,1,0,"n"
"NJ91",0,0,0,1,1,1,1,"n"
"NJ92",0,0,0,1,0,0,0,"n"
"NJ93",0,0,0,1,1,0,0,"n"
"NJ94",1,0,0,1,0,0,0,"n"
"NJ95",0,0,0,1,0,0,0,"n"
"NK02",1,0,0,1,0,0,0,"n"
"NK03",0,0,0,0,1,0,0,"n"
"NK05",0,0,0,1,1,0,1,"n"
"NK06",0,0,0,0,1,0,0,"n"
"NK14",0,0,0,1,0,0,0,"n"
"NM04",0,0,0,0,1,0,0,
"NM69",0,0,0,1,0,0,0,"n"
"NM70",0,0,0,0,1,0,0,"n"
"NM71",0,0,0,0,1,0,0,"n"
