"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B61",1,1,0,1,0,1,0,"n"
"C45",0,0,0,0,0,1,0,
"C83",1,0,0,0,0,1,0,"n"
"C84",1,0,0,0,0,0,1,"n"
"C94",1,0,1,1,0,0,0,"n"
"D04",0,0,0,1,0,0,0,"n"
"D05",1,0,0,1,0,0,1,"n"
"D14",1,0,0,1,1,0,1,"n"
"D15",1,1,0,1,0,0,1,"n"
"D21",0,0,0,1,0,0,0,"n"
"D22",0,0,0,1,0,0,0,"n"
"D24",0,0,0,1,0,0,0,"n"
"D40",1,0,0,1,0,0,1,"n"
"F50",0,0,0,0,0,0,1,
"G48",0,0,0,0,1,0,0,"n"
"G57",0,0,0,0,1,0,0,"n"
"HP40",0,0,0,0,1,0,0,"n"
"HP50",0,0,0,0,0,0,1,
"HP60",1,0,0,0,0,0,1,"n"
"HP61",0,0,0,0,0,0,1,
"HT93",0,0,0,0,1,0,0,"n"
"HU14",0,0,0,0,0,0,1,
"HU16",0,0,1,0,1,0,0,"n"
"HU24",0,0,0,0,1,0,0,"n"
"HU25",0,0,1,0,1,1,1,"n"
"HU26",0,0,0,0,1,0,0,"n"
"HU27",0,0,1,0,0,0,0,"n"
"HU28",0,0,1,0,1,0,0,"n"
"HU31",0,0,1,0,1,0,0,"n"
"HU32",0,0,0,0,1,0,0,"n"
"HU33",0,0,1,0,1,0,0,"n"
"HU34",1,0,0,0,0,0,0,"n"
"HU35",0,0,1,0,1,0,0,"n"
"HU36",1,0,1,0,1,0,1,"n"
"HU37",0,0,1,0,1,0,1,"n"
"HU38",1,0,1,0,0,1,1,"n"
"HU39",0,0,0,1,0,0,1,"n"
"HU41",0,0,0,0,1,0,0,"n"
"HU42",0,0,1,0,1,0,0,"n"
"HU43",0,0,1,0,0,0,0,"n"
"HU44",0,0,1,0,0,0,0,"n"
"HU47",1,0,0,0,0,0,0,"n"
"HU48",0,0,0,0,1,0,0,"n"
"HU49",1,0,0,0,0,0,0,"n"
"HU54",0,0,1,0,1,0,0,"n"
"HU58",0,0,0,1,0,0,0,"n"
"HU59",0,0,0,1,0,0,0,"n"
"HU67",0,0,0,1,0,0,1,"n"
"HU68",0,0,0,0,1,0,0,"n"
"HU69",1,0,0,0,0,0,0,"n"
"HY20",0,1,0,0,0,0,0,
"HY33",0,0,0,0,1,0,0,
"HY43",0,0,0,1,1,1,0,"n"
"HY44",0,0,1,0,0,1,0,"n"
"HY45",0,0,1,0,1,0,0,"n"
"HY55",0,0,0,0,1,0,0,
