"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HP50",0,0,0,0,0,0,1,
"HP61",0,0,0,0,0,0,1,
"HU31",0,0,0,0,0,0,1,
"HU32",0,0,0,0,0,0,1,
"HU33",0,0,0,0,0,0,1,
"HU44",0,0,0,0,0,0,1,
"HU46",0,0,0,0,0,0,1,
"HU47",0,0,0,0,0,0,1,
"HU48",0,0,0,0,0,0,1,
"HU49",0,0,0,0,0,0,1,
"HU57",0,0,0,0,0,0,1,
"HU69",0,0,0,0,0,0,1,
"HY20",1,0,0,0,0,0,0,"a"
"HY31",0,0,0,0,1,0,0,"a"
"HY42",0,0,0,0,1,0,0,
"HY75",0,0,0,0,0,1,1,
"NB53",0,0,0,0,0,0,1,
"NC40",0,0,0,0,0,0,1,
"NC42",0,0,0,0,0,0,1,
"NC50",0,0,0,0,0,0,1,
"NC51",0,0,0,0,0,0,1,
"NC60",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC71",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC83",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"NC91",0,0,0,0,0,0,1,
"NC92",0,0,0,0,0,0,1,
"NC96",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"ND05",0,0,0,0,0,0,1,
"ND16",0,0,0,0,0,0,1,
"ND27",0,0,0,0,0,0,1,
"ND35",0,0,0,0,0,0,1,
"NG75",0,0,0,0,0,0,1,
"NG77",0,0,0,0,0,0,1,
"NG85",0,0,0,0,0,0,1,
"NG87",0,0,0,0,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NH45",0,0,1,1,0,1,0,"a"
"NH55",0,0,1,0,0,1,0,"a"
"NH56",0,0,0,0,0,1,1,
"NH59",0,0,0,0,0,0,1,
"NH65",0,0,0,0,0,1,0,
"NH66",0,0,0,0,0,1,0,
"NH68",0,0,0,0,0,1,1,
"NH69",0,0,0,0,0,0,1,
"NH70",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,1,1,
"NH79",0,0,0,0,0,0,1,
"NH80",0,0,0,0,0,1,1,
"NH88",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NH91",0,0,0,0,1,0,0,"a"
"NH92",0,0,0,1,0,0,0,"a"
"NH94",0,0,1,0,0,0,0,"a"
"NH95",0,0,0,0,1,0,0,"a"
"NJ02",0,0,0,1,0,0,1,"a"
"NJ04",0,0,1,0,0,0,0,
"NJ13",0,0,0,0,1,1,1,"a"
"NJ17",0,0,0,0,1,0,0,"a"
"NJ26",0,0,0,0,1,0,0,"a"
"NJ43",0,0,0,1,0,0,0,"a"
"NJ54",0,0,0,0,0,1,0,
"NJ95",0,0,0,0,0,1,0,
"NM57",0,0,0,0,0,1,0,
"NM80",0,0,0,0,1,0,0,"a"
"NM81",0,0,0,0,1,0,0,"a"
"NM83",0,0,0,0,1,0,0,"a"
"NM91",0,0,0,0,1,0,0,"a"
"NN59",0,0,0,0,0,1,0,
"NN70",0,0,0,0,0,0,1,
"NN72",0,0,0,0,0,0,1,
"NN95",0,0,0,0,0,1,1,
"NO01",0,0,0,0,0,1,0,
"NO03",0,0,0,0,1,1,0,
"NO04",0,0,0,0,0,1,0,
"NO06",0,0,0,0,1,0,0,"a"
"NO16",0,0,1,0,0,0,0,"a"
"NO30",0,0,0,0,0,1,0,
"NO35",0,0,0,0,0,1,0,
"NO36",0,0,1,0,0,0,0,"a"
"NO43",0,0,0,1,0,0,0,"a"
"NO44",1,0,0,0,0,0,0,"a"
"NO47",0,0,0,0,0,0,1,
"NO55",0,0,0,1,0,0,0,"a"
"NO57",0,0,0,0,1,0,0,"a"
"NO65",1,0,0,0,0,0,0,"a"
"NO75",1,0,0,0,0,0,0,"a"
"NO78",0,0,0,0,0,1,0,
"NO79",0,0,0,0,0,0,1,
"NR83",0,0,0,0,0,0,1,
"NS31",0,0,0,0,1,0,0,"a"
"NS35",0,0,0,1,1,0,0,"a"
"NS46",0,0,0,0,1,0,0,"a"
"NS49",1,0,0,0,0,0,0,
"NS54",0,0,0,0,0,1,0,
"NS56",0,0,0,0,1,0,0,"a"
"NS77",0,0,0,0,1,0,0,"a"
"NS81",0,0,0,0,0,1,0,
"NS83",0,0,0,0,1,1,0,"a"
"NS85",0,0,0,0,1,0,0,"a"
"NS86",0,0,0,0,1,0,0,"a"
"NS95",0,0,0,0,1,0,0,
"NT16",0,0,1,0,0,0,1,
"NT17",1,0,0,0,0,0,0,"a"
"NT25",0,0,0,0,0,0,1,
"NT26",1,0,0,0,0,0,0,
"NT27",0,0,1,0,0,0,0,
"NT35",0,0,0,0,0,0,1,
"NT36",0,0,1,0,0,0,0,
"NT37",1,0,0,0,0,0,0,
"NT39",0,0,1,0,0,0,0,"a"
"NT46",0,0,1,0,0,0,0,"a"
"NT47",0,0,0,1,1,0,0,"a"
"NT48",0,0,0,0,1,1,0,"a"
"NT51",0,0,0,0,0,0,1,
"NT57",0,0,1,0,0,0,0,"a"
"NT58",1,0,1,0,0,0,0,"a"
"NT63",0,0,0,0,0,0,1,
"NT77",0,0,0,0,0,1,0,
"NT90",0,0,0,0,1,0,0,"a"
"NU05",0,0,0,0,1,0,0,"a"
"NU11",0,0,0,0,0,0,1,
"NX17",0,0,0,1,1,0,0,"a"
"NX18",0,0,0,0,0,0,1,
"NX35",0,0,0,0,1,0,0,"a"
"NX36",0,0,0,0,1,1,0,"a"
"NX67",0,0,0,0,1,0,0,"a"
"NY44",0,0,0,0,1,0,0,"a"
"NY45",0,0,0,0,0,0,1,
"NY53",0,0,0,0,0,0,1,
"NY62",0,0,0,0,0,1,0,
"NY92",0,0,0,0,0,1,0,
"NY96",0,0,0,0,0,1,0,
"NZ03",0,0,0,0,1,1,0,
"NZ06",0,0,0,0,0,1,0,
"NZ09",0,0,0,0,0,1,0,
"NZ11",0,0,0,0,0,0,1,
"NZ14",0,0,0,0,0,0,1,
"NZ15",0,0,0,0,0,1,1,
"NZ16",0,0,0,0,0,1,1,
"NZ25",0,0,0,0,0,1,1,
"NZ30",0,0,0,0,0,0,1,
"NZ34",0,0,0,0,0,1,0,
"NZ36",0,0,0,0,0,0,1,
"NZ44",0,0,0,1,0,0,1,
"NZ62",0,0,0,0,0,0,1,
"NZ71",0,0,0,0,0,1,0,
"SC37",0,0,0,0,1,0,0,
"SC39",0,0,0,0,1,0,0,
"SD29",0,0,0,0,1,0,0,"a"
"SD31",0,0,0,0,0,1,1,
"SD32",0,0,0,0,0,1,1,
"SD37",0,0,0,0,1,1,1,"a"
"SD52",0,0,0,0,1,0,1,"a"
