"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NB00",0,0,0,0,1,0,0,"a"
"NF77",0,0,0,0,0,1,0,"a"
"NG25",0,0,0,0,0,0,1,"a"
"NH53",0,0,0,1,0,0,0,"a"
"NJ23",0,0,0,0,1,0,0,"a"
"NL79",0,0,0,0,1,0,0,
"NS65",0,0,0,1,0,0,0,"a"
"NS66",0,0,0,0,1,0,0,"a"
"NS86",0,0,0,0,0,1,0,"a"
"NS97",0,0,0,0,1,0,0,"a"
"NT13",0,0,0,1,0,0,0,"a"
"NT22",0,0,0,0,1,0,0,"a"
"NT24",0,0,0,1,0,0,0,"a"
"NT31",0,0,0,0,1,0,0,"a"
"NT32",0,0,0,0,1,0,0,"a"
"NY30",0,0,0,1,1,0,0,"a"
"NY59",0,0,0,1,0,0,0,"a"
"NY82",0,0,0,0,0,1,0,"a"
"NZ03",0,0,0,1,0,0,0,"a"
"NZ06",0,0,0,1,0,0,0,"a"
"SC17",0,0,0,0,1,0,0,"a"
"SC47",0,0,0,0,1,0,0,"a"
"SO10",0,0,0,1,1,0,0,"a"
"SO17",0,0,0,1,0,0,0,"a"
"SO20",0,0,0,0,1,0,0,"a"
"SP11",0,0,0,1,0,0,0,"a"
"SS83",0,0,0,1,0,0,0,"a"
"SS93",0,0,0,0,1,0,0,"a"
"ST19",0,0,0,1,0,0,0,"a"
"ST29",0,0,0,1,1,0,0,"a"
"ST48",0,0,0,1,0,0,0,"a"
