"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NM04",0,0,0,0,0,0,1,
"NR25",0,0,0,0,0,0,1,
"NS28",0,0,0,0,0,0,1,
"NS60",0,0,0,0,0,0,1,
"NT22",0,0,0,0,0,0,1,
"NY00",0,0,0,0,0,0,1,
"NY45",0,0,0,0,0,0,1,
"NZ23",0,0,0,0,0,0,1,
"SJ58",0,0,0,0,0,1,1,
"SJ84",0,0,0,0,0,0,1,
"SN03",0,0,0,0,0,0,1,
"SN24",0,0,0,0,1,0,0,
"SN25",0,0,0,0,1,0,0,
"SN45",0,0,0,0,1,0,0,
"SN57",0,0,0,0,1,0,0,
"SN58",0,0,0,0,1,0,0,
"SN66",0,0,0,0,1,0,0,
"SN69",0,0,0,0,1,0,0,
"SN76",0,0,0,0,1,1,0,
"SN78",0,0,0,0,1,1,0,
"SS09",0,0,0,0,0,0,1,
"ST57",0,0,0,0,0,0,1,
"SU24",0,0,0,0,0,0,1,
"TF01",0,0,0,0,0,0,1,
