"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B70",0,0,0,0,0,0,1,
"B71",0,0,0,0,0,1,0,
"B80",0,0,0,0,1,0,1,"n"
"B81",0,0,0,0,0,0,1,
"B83",0,0,0,0,1,0,0,"n"
"B90",0,0,0,0,0,0,1,
"B91",0,0,0,0,0,0,1,
"B92",0,0,0,0,0,0,1,
"B93",0,0,0,0,0,0,1,
"C00",0,0,0,0,0,0,1,
"C01",0,0,0,0,0,0,1,
"C02",0,0,0,0,0,0,1,
"C03",0,0,0,0,0,0,1,
"C04",0,0,0,0,0,0,1,
"C10",0,0,0,0,0,0,1,
"C12",0,0,0,0,0,0,1,
"C14",0,0,0,0,0,0,1,
"C20",0,0,0,0,0,0,1,
"C21",0,0,0,0,0,0,1,
"C23",0,0,0,0,0,0,1,
"C24",0,0,0,0,0,0,1,
"C31",0,0,0,0,1,0,1,"n"
"C32",0,0,0,0,0,1,0,
"C33",0,0,0,0,0,0,1,
"C34",0,0,0,0,0,0,1,
"C41",0,0,0,0,1,0,1,"n"
"C42",0,0,0,0,1,0,1,"n"
"C44",0,0,0,0,1,0,1,"n"
"C45",0,0,0,0,0,0,1,
"C51",0,0,0,0,1,0,1,"n"
"C52",0,0,0,0,1,0,1,"n"
"C53",0,0,0,0,0,0,1,
"C54",0,0,0,0,0,0,1,
"C55",0,0,0,0,0,0,1,
"C60",0,0,0,0,0,0,1,
"C61",0,0,0,0,0,1,1,
"C62",0,0,0,0,1,1,1,"n"
"C63",0,0,0,0,1,0,1,"n"
"C64",0,0,0,0,0,0,1,
"C70",0,0,0,0,0,0,1,
"C71",0,0,0,0,0,0,1,
"C72",0,0,0,0,0,0,1,
"C73",0,0,0,0,1,1,1,
"C80",0,0,0,0,0,0,1,
"C81",0,0,0,0,1,0,1,"n"
"C82",1,0,0,0,1,1,1,"n"
"C83",0,0,0,0,0,1,1,
"C90",0,0,0,0,0,1,0,
"C91",0,0,0,0,0,0,1,
"C92",0,0,0,0,0,0,1,
"C93",0,0,0,0,0,0,1,
"C94",0,0,0,0,0,1,1,
"D00",0,0,0,0,0,1,1,
"D02",0,0,0,0,0,1,1,
