"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B61",0,0,0,0,0,1,1,
"B71",0,0,1,0,1,0,1,"n"
"B72",0,0,0,0,1,0,0,"n"
"B80",0,0,0,0,1,0,0,"n"
"B81",0,0,0,0,0,0,1,
"B82",0,0,0,0,1,0,0,"n"
"B83",0,0,0,0,1,1,0,"n"
"B84",1,0,0,0,0,1,0,"n"
"B91",0,0,0,0,1,0,0,"n"
"C01",0,0,0,0,1,0,0,"n"
"C02",0,0,0,0,0,1,0,
"C03",0,0,1,0,1,0,1,"n"
"C10",0,0,0,0,1,0,0,"n"
"C13",0,0,0,0,1,0,0,"n"
"C14",0,0,0,0,1,0,0,"n"
"C24",0,0,0,0,1,0,1,"n"
"C32",0,0,0,0,1,0,0,"n"
"C33",0,0,0,0,1,0,0,"n"
"C34",0,0,0,0,1,0,1,"n"
"C45",0,0,0,0,0,0,1,
"C46",0,0,0,0,0,0,1,
"C53",0,0,0,0,1,0,0,"n"
"C63",0,1,0,0,0,0,0,"n"
"C73",0,0,0,1,0,0,0,"n"
"C80",0,0,0,0,1,0,0,"n"
"C83",0,0,0,0,0,0,1,
"C90",0,0,0,0,1,0,0,"n"
"D05",0,0,0,0,1,0,0,"n"
"D22",0,0,0,0,0,1,0,
"D30",0,0,0,0,0,1,0,
"D40",0,0,0,0,0,1,0,
"F50",0,0,0,0,1,0,0,"n"
"F52",1,0,0,0,0,0,0,"n"
"F61",0,0,0,0,0,0,1,
"F62",0,0,0,0,1,0,0,"n"
"F63",0,0,0,0,1,0,1,"n"
"F64",0,0,0,0,0,0,1,
"F71",0,0,0,0,1,0,0,"n"
"F73",0,0,0,0,0,0,1,
"F74",0,0,0,0,1,0,1,"n"
"F80",0,0,0,0,1,0,0,"n"
"F84",0,0,0,0,0,0,1,
"F91",0,0,1,0,0,0,0,"n"
"F94",0,0,0,0,1,0,1,"n"
"G02",0,0,0,0,1,0,0,"n"
"G04",0,0,0,0,0,0,1,
"G11",0,0,0,0,1,0,0,"n"
"G14",0,0,0,0,1,0,0,"n"
"G20",0,0,0,1,1,0,1,"n"
"G21",0,0,0,0,0,1,0,
"G31",0,0,0,0,0,1,1,
"G47",0,0,0,0,1,0,0,"n"
"G50",0,0,0,0,1,0,0,"n"
"G53",0,0,0,0,0,1,1,
"G54",0,0,0,0,1,1,0,"n"
"G61",0,0,0,0,0,0,1,
"G62",0,0,1,0,0,0,0,"n"
"G64",0,0,0,0,0,0,1,
"G65",0,0,0,0,0,1,0,
"G69",0,0,0,0,1,0,1,"n"
"G70",0,0,0,0,0,0,1,
"G71",0,0,0,0,0,0,1,
"G73",0,0,1,0,0,0,0,"n"
"G77",0,0,0,0,1,0,0,"n"
"G78",0,0,0,0,1,0,0,"n"
"G79",1,0,1,0,0,1,0,"n"
"G81",0,0,1,0,0,0,0,"n"
"G83",0,0,1,0,0,0,0,"n"
"G84",0,0,0,1,0,0,0,
"G85",0,0,0,0,0,0,1,
"G87",0,0,0,0,1,0,0,"n"
"G89",0,0,0,0,0,1,0,
"G92",0,0,0,0,1,1,0,"n"
"G95",0,1,0,1,1,1,0,"n"
"G96",0,1,0,1,0,0,0,"n"
"G98",1,1,0,0,1,0,0,"n"
"G99",0,0,0,0,0,1,0,
"H03",0,1,1,1,0,0,0,"n"
"H05",0,1,0,0,0,1,0,"n"
"H06",0,0,0,1,1,0,0,"n"
"H14",0,1,0,1,0,0,0,"n"
"H16",0,1,0,0,1,0,0,"n"
"H23",0,0,0,0,0,1,0,
"H24",1,0,0,0,0,0,0,"n"
"H28",0,0,1,0,0,0,0,
"H32",1,1,1,0,1,0,0,"n"
"H33",0,0,1,0,0,0,0,"n"
"H49",0,0,1,0,0,0,0,
"H50",0,0,0,0,1,0,0,"n"
"H54",0,1,0,0,0,0,0,"n"
"H65",0,0,1,0,0,0,0,
"H75",0,0,1,0,0,0,0,
"H77",0,0,0,0,1,0,0,"n"
"H88",0,0,0,0,0,0,1,
"H90",0,0,0,1,1,0,0,"n"
"H91",0,0,0,0,1,0,0,"n"
"H96",0,0,0,1,1,1,0,"n"
"H97",0,0,0,1,1,0,0,"n"
"H98",1,1,0,1,0,0,0,"n"
"H99",1,1,1,1,1,0,0,"n"
"HP40",0,0,0,1,0,0,0,"n"
"HP50",0,0,0,0,1,1,1,"n"
"HP60",0,0,0,1,0,1,1,"n"
"HT94",0,0,0,1,0,0,0,"n"
"HU15",0,0,0,1,0,0,0,"n"
"HU16",0,0,0,1,0,0,1,"n"
"HU24",0,0,0,1,0,0,0,"n"
"HU25",0,0,0,0,1,1,0,"n"
"HU28",0,0,0,0,1,1,0,"n"
"HU30",0,0,0,0,0,1,0,
"HU31",1,0,0,0,0,0,0,"n"
"HU33",1,0,0,0,0,0,0,"n"
"HU34",1,0,0,0,0,0,0,"n"
"HU35",0,0,0,1,0,0,0,"n"
"HU37",0,0,0,1,0,0,0,"n"
"HU38",0,0,0,0,0,0,1,
"HU41",0,0,0,1,0,0,1,"n"
"HU43",0,0,0,0,1,0,0,"n"
"HU45",1,0,0,0,0,0,0,"n"
"HU46",0,0,0,0,1,0,0,"n"
"HU49",0,0,0,1,0,0,1,"n"
"HU54",1,0,0,0,0,1,1,"n"
"HU56",0,0,0,1,0,0,0,"n"
"HU57",0,0,0,0,1,0,0,"n"
"HU58",1,0,0,0,0,0,1,"n"
"HU59",0,0,0,0,0,0,1,
"HU66",0,0,0,1,0,0,1,"n"
"HU67",0,0,0,1,0,0,1,"n"
"HU68",0,0,0,1,0,0,0,"n"
"HY10",0,0,0,0,0,0,1,
"HY20",0,0,1,0,1,0,0,"n"
"HY21",1,0,0,0,0,0,1,"n"
"HY22",0,0,1,0,1,0,1,"n"
"HY30",1,0,0,0,0,0,1,"n"
"HY31",0,0,0,1,0,0,0,"n"
"HY32",1,0,0,0,0,0,1,"n"
"HY33",0,0,0,1,0,0,1,
"HY34",0,0,0,0,0,0,1,
"HY40",0,0,0,0,1,0,0,"n"
"HY41",0,0,0,0,1,0,1,
"HY43",0,0,0,0,1,0,0,"n"
"HY44",0,0,0,0,0,0,1,
"HY45",0,0,0,0,0,0,1,
"HY50",0,0,0,0,0,0,1,
"HY53",0,0,0,0,0,1,1,
"HY55",0,0,0,0,0,0,1,
"HY62",0,0,0,0,1,0,1,"n"
"HY63",1,0,1,0,1,0,0,"n"
"HY64",0,0,0,0,0,0,1,
"HY74",1,0,1,0,0,0,0,"n"
"HY75",0,0,0,0,1,0,1,"n"
"HZ16",0,0,0,0,1,0,0,"n"
"HZ17",0,0,0,0,1,0,0,"n"
"HZ26",0,0,0,0,1,0,0,"n"
"HZ27",0,0,0,0,1,0,1,"n"
"J00",0,0,0,0,1,0,0,"n"
"J02",0,0,1,0,0,0,0,"n"
"J06",1,0,0,1,0,0,0,"n"
"J07",0,0,0,1,0,0,0,"n"
"J08",1,0,0,1,1,0,0,"n"
"J10",0,0,0,0,1,0,0,"n"
"J11",0,0,0,0,1,0,0,"n"
"J12",0,0,0,0,0,0,1,
"J17",1,0,1,0,0,0,0,"n"
"J20",0,0,0,0,1,0,0,"n"
"J21",0,0,0,0,1,0,0,"n"
"J22",0,0,0,0,0,1,1,
"J23",0,0,0,0,1,1,0,"n"
"J26",1,0,0,0,0,0,0,"n"
"J28",1,0,0,0,0,0,0,"n"
"J29",1,0,0,0,0,0,0,"n"
"J32",0,0,0,0,0,0,1,
"J33",0,0,0,0,1,0,0,"n"
"J37",1,0,0,0,0,0,0,"n"
"J44",1,0,0,0,0,0,0,"n"
"J45",1,0,0,1,1,0,0,"n"
