"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NT17",0,0,0,0,0,0,1,
"NT47",0,0,0,0,1,0,0,"a"
"NT56",0,0,0,0,1,0,0,"a"
"NT96",0,0,0,0,0,0,1,
"NY45",0,0,0,0,0,1,1,
"NZ40",0,0,0,0,0,1,0,
"NZ51",0,0,0,0,1,1,0,
"SC39",0,0,0,0,1,0,0,"a"
"SC49",0,0,0,1,1,0,0,"a"
"SD31",0,0,0,0,0,1,0,
"SE23",0,0,0,0,1,0,0,
"SE67",0,0,0,0,0,1,1,
"SJ39",0,0,0,0,0,0,1,
"SJ52",0,0,0,0,0,1,0,
"SJ73",0,0,0,0,0,1,0,
"SJ89",0,0,0,0,1,1,0,"a"
"SK53",0,0,0,0,0,1,0,
"SO12",0,0,0,0,0,0,1,
"SO13",0,0,0,0,0,0,1,
"SO51",0,0,0,0,1,0,0,"a"
"SO74",0,0,0,0,0,1,0,
"SO84",0,0,0,1,1,1,1,"a"
"SO85",0,0,0,0,0,1,0,
"SO87",0,0,0,1,0,1,0,
"SO97",0,0,0,0,0,0,1,
"SP12",0,0,0,0,0,1,0,
"SP17",0,0,0,0,1,0,0,"a"
"SP62",0,0,1,0,1,0,0,"a"
"SP81",0,0,0,0,1,0,0,"a"
"SP83",0,0,0,0,0,0,1,
"ST65",0,0,0,0,0,1,0,
"SU21",0,0,0,0,0,1,0,
"SU32",0,0,0,0,0,0,1,
"SU39",0,0,0,0,1,0,0,"a"
"SU41",0,0,0,0,0,1,1,
"SU46",0,0,0,1,0,0,0,"a"
"SU56",0,0,1,0,0,0,0,"a"
"SU66",0,0,0,0,0,1,0,
"SU68",0,0,0,0,0,0,1,
"SU69",0,0,0,0,1,0,0,
"SU73",0,0,0,0,0,1,0,
"SU82",0,0,0,0,0,1,0,
"SU93",0,0,0,1,0,0,0,"a"
"SU94",0,0,0,1,1,1,0,"a"
"SU95",0,0,0,1,1,0,1,"a"
"SY79",0,0,0,0,1,0,0,"a"
"SZ39",0,0,0,0,0,0,1,
"SZ48",0,0,0,0,0,1,0,
"SZ57",0,0,0,0,0,1,0,
"SZ69",0,0,0,0,0,1,0,
"TL94",0,0,0,0,1,0,0,
"TM13",0,0,0,1,0,0,0,"a"
"TM38",0,0,0,0,1,0,0,"a"
"TM46",0,0,0,0,0,0,1,
"TQ04",0,0,0,1,1,0,0,"a"
"TQ05",0,0,0,1,1,1,1,"a"
"TQ06",0,0,1,0,1,0,0,"a"
"TQ14",0,0,0,0,1,0,0,"a"
"TQ15",0,0,0,0,1,0,1,"a"
"TQ16",0,0,0,0,0,1,0,
"TQ17",0,0,0,0,0,0,1,
"TQ23",0,0,0,0,0,0,1,
"TQ25",0,0,0,0,1,0,0,"a"
"TQ30",0,0,0,0,0,0,1,
"TQ36",0,0,0,0,1,0,0,"a"
"TQ38",0,0,0,0,0,1,0,
"TQ42",0,0,0,0,0,1,0,
"TQ46",1,0,0,0,0,0,0,"a"
"TQ57",0,0,0,1,0,0,0,"a"
"TQ60",0,0,0,0,0,1,0,
