"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C71",0,0,0,0,0,1,0,
"C82",0,0,0,0,0,1,0,
"D22",0,1,0,0,0,0,0,"a"
"J12",0,0,0,0,1,0,0,"a"
"J26",0,0,0,0,1,0,0,
"J27",0,0,0,0,0,1,0,
"J33",0,0,1,0,0,1,0,
"J37",0,0,0,0,1,1,1,"a"
"J44",0,0,0,0,0,0,1,
"J49",0,0,0,1,1,0,0,"a"
"J55",0,0,0,0,0,0,1,
"J66",0,0,0,0,0,0,1,
"L98",0,0,0,0,0,0,1,
"M29",0,0,0,0,0,0,1,
"N32",0,0,0,0,0,1,0,
"N57",0,0,0,0,0,0,1,
"N61",0,0,0,0,0,0,1,
"N64",0,0,0,0,0,0,1,
"N72",0,0,0,0,0,0,1,
"N73",0,0,0,0,0,0,1,
"N75",0,0,0,0,0,0,1,
"N77",0,0,0,0,0,0,1,
"N81",0,0,0,0,0,0,1,
"N82",0,0,0,0,0,0,1,
"N84",0,0,0,0,0,0,1,
"N85",0,0,0,0,0,0,1,
"N86",0,0,0,0,0,0,1,
"N92",0,0,0,0,0,0,1,
"N93",0,0,0,0,1,0,1,"a"
"NC50",0,0,0,0,0,0,1,
"ND05",0,0,0,0,0,0,1,
"NF70",0,1,0,0,0,0,0,
"NF71",0,1,0,0,0,0,0,
"NF73",0,0,0,0,0,0,1,
"NF86",0,0,0,0,1,0,0,
"NG97",0,0,0,0,0,1,0,
"NG98",0,0,0,0,0,1,0,
"NM56",0,0,0,0,1,0,0,
"NM66",0,0,1,0,0,0,0,
"NM70",0,0,0,0,1,0,0,
"NM80",0,0,0,1,0,0,0,
"NM81",0,0,1,0,0,0,0,
"NM94",0,0,0,0,1,0,0,
"NN11",0,0,0,0,1,0,0,
"NO31",0,0,0,0,0,0,1,
"NR27",0,0,0,0,1,0,0,
"NR35",0,0,0,0,0,0,1,
"NR36",0,1,0,0,0,0,0,
"NR56",0,1,0,0,0,0,0,
"NR61",0,0,0,0,1,0,0,
"NR62",0,0,0,0,1,0,0,
"NR67",0,0,0,0,1,0,0,
"NR70",0,0,0,0,1,0,0,
"NR72",0,0,0,0,1,0,0,
"NR87",0,0,0,0,1,0,0,
"NR88",0,0,0,0,1,0,0,
"NR99",0,0,0,0,1,0,0,
"NS28",0,0,0,1,1,0,0,
"NS37",1,0,0,0,0,0,0,
"NS38",0,0,0,1,1,0,0,
"NS46",0,0,0,1,1,0,0,
"NS56",0,0,0,1,0,0,0,
"NS57",0,0,0,0,0,0,1,
"NS89",0,0,0,0,1,1,0,
"NS98",0,0,0,0,0,0,1,
"NT07",0,0,0,0,0,0,1,
"NT08",0,0,0,0,0,1,0,
