"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"F70",0,0,0,0,0,0,1,
"J56",0,0,0,0,0,0,1,
"NH64",0,0,0,0,0,0,1,
"NH87",0,0,0,0,0,1,1,
"NH88",0,0,0,0,0,1,1,
"NJ02",0,0,0,0,1,0,0,"a"
"NJ06",0,0,0,0,0,0,1,
"NJ16",0,0,0,0,1,0,1,"a"
"NJ26",0,0,0,0,1,1,1,"a"
"NJ36",0,0,0,0,0,1,0,
"NJ45",0,0,0,0,1,0,0,"a"
"NJ46",0,0,0,0,0,1,0,
"NJ56",0,0,0,0,1,1,0,"a"
"NJ66",0,0,0,0,0,1,0,
"NO20",0,0,0,0,1,0,0,"a"
"NO60",0,0,0,0,0,1,0,
"NS98",0,0,0,0,1,0,0,"a"
"NT27",0,0,0,0,1,0,0,"a"
"NT37",0,0,0,0,0,1,0,
"NX33",0,0,0,0,0,0,1,
"NY42",0,0,0,0,0,0,1,
"NY51",0,0,0,0,0,1,0,
"NZ16",0,0,0,0,0,1,0,
"NZ26",0,0,0,0,0,1,0,
"NZ36",0,0,0,0,0,0,1,
"NZ37",0,0,0,0,0,1,1,
"NZ42",0,0,0,0,0,1,0,
"NZ43",0,0,0,0,1,1,1,"a"
"NZ52",0,0,0,0,1,1,0,
"S70",0,0,0,0,0,0,1,
"S83",0,0,0,0,0,0,1,
"S90",0,0,0,0,0,0,1,
"S91",0,0,0,0,0,0,1,
"SD30",0,0,0,0,0,1,0,
"SD33",0,0,0,0,0,1,0,
"SD76",0,0,0,0,0,0,1,
"SD86",0,0,0,0,0,0,1,
"SE04",0,0,0,0,1,0,0,"a"
"SE13",0,0,0,0,1,0,0,
"SE23",0,0,0,0,1,0,0,
"SE26",0,0,0,0,0,1,0,
"SE32",0,0,0,0,0,0,1,
"SE33",0,0,0,0,0,0,1,
"SE52",0,0,0,0,0,0,1,
"SH45",0,0,0,0,1,0,0,"a"
"SH47",0,0,0,0,1,0,0,"a"
"SH78",0,0,0,0,1,0,0,"a"
"SH88",0,0,0,0,1,0,0,"a"
"SH98",0,0,0,0,1,0,0,"a"
"SJ08",0,0,0,0,1,0,1,"a"
"SJ18",0,0,0,0,1,1,0,"a"
"SJ27",0,0,0,0,0,0,1,
"SJ28",0,0,0,0,1,1,0,"a"
"SJ29",0,0,0,0,0,1,0,
"SJ38",0,0,0,0,1,1,0,"a"
"SJ47",0,0,0,0,0,1,0,
"SJ48",0,0,0,0,0,1,0,
"SK22",0,0,0,0,0,1,0,
"SK44",0,0,0,0,0,0,1,
"SK49",0,0,0,0,0,0,1,
"SK52",0,0,0,0,0,1,0,
"SK55",0,0,0,0,0,1,1,
"SK56",0,0,0,0,0,1,0,
"SK63",0,0,0,0,0,1,1,
"SK64",0,0,0,0,0,1,0,
"SK66",0,0,0,0,1,1,0,"a"
"SK69",0,0,0,0,1,1,0,"a"
"SK75",0,0,0,0,0,0,1,
"SK76",0,0,0,0,0,0,1,
"SK85",0,0,0,0,1,1,0,"a"
"SK94",0,0,0,0,0,0,1,
"SK98",0,0,0,0,0,0,1,
"SN56",0,0,0,0,1,0,0,"a"
"SO74",0,0,0,0,0,1,1,
"SO75",0,0,0,0,0,1,0,
"SO87",0,0,0,0,0,1,0,
"SO88",0,0,0,0,1,1,0,
"SO89",0,0,0,0,1,0,0,
"SO94",0,0,0,0,0,1,0,
"SO96",0,0,0,0,0,0,1,
"SO99",0,0,0,0,0,1,0,
