"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J55",0,0,0,0,0,0,1,
"J65",0,0,0,0,1,0,0,
"NC50",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC71",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"NC91",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"NG77",0,0,0,0,0,0,1,
"NG83",0,0,0,0,0,0,1,
"NG85",0,0,0,0,0,0,1,
"NH30",0,0,0,0,0,0,1,
"NH68",0,0,0,0,0,0,1,
"NH69",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NH79",0,0,0,0,0,0,1,
"NH81",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NJ26",0,0,0,0,0,0,1,
"NJ35",0,0,0,0,1,0,0,"a"
"NN07",0,0,0,0,0,0,1,
"NN18",0,0,0,0,0,0,1,
"NS38",0,0,0,1,1,0,0,"a"
"NT27",0,0,0,0,0,0,1,
"NT37",0,0,0,0,0,0,1,
"NX40",0,0,0,0,1,0,0,"a"
"NY44",0,0,0,0,0,1,0,
"NZ22",0,0,0,0,0,1,0,
"NZ41",0,0,0,0,0,0,1,
"S60",0,0,0,0,0,0,1,
"S61",0,0,0,0,0,1,0,
"SC16",0,0,0,0,1,0,0,"a"
"SC17",0,0,0,0,1,0,0,"a"
"SC26",0,0,0,0,1,1,0,"a"
"SC37",0,0,0,1,0,0,0,"a"
"SC39",0,0,0,0,1,0,0,"a"
"SC49",0,0,0,0,1,0,0,"a"
"SD27",0,0,0,0,0,1,0,
"SD30",0,0,0,0,0,1,0,
"SD31",0,0,0,0,0,1,1,
"SD32",0,0,0,0,1,1,1,
"SD40",0,0,0,0,0,1,1,
"SD41",0,0,0,0,0,1,0,
"SD42",0,0,0,0,0,0,1,
"SD46",0,0,0,0,0,0,1,
"SD49",0,0,0,0,1,0,0,
"SD52",0,0,0,0,0,0,1,
"SD60",0,0,0,0,0,0,1,
"SD63",0,0,0,0,0,0,1,
"SD72",0,0,0,0,0,1,1,
"SD73",0,0,0,0,0,1,0,
"SE03",0,0,0,0,0,0,1,
"SE13",0,0,0,0,1,0,0,"a"
"SE21",0,0,0,0,0,1,0,
"SE23",0,0,0,0,1,0,0,"a"
"SE48",0,0,0,0,0,1,0,
"SE56",0,0,0,0,0,1,0,
"SH49",0,0,0,0,1,0,0,"a"
"SH76",0,0,0,0,0,0,1,
"SH77",0,0,0,0,1,0,0,"a"
"SJ08",0,0,0,0,1,0,0,"a"
"SJ38",0,0,0,0,0,1,0,
"SJ39",0,0,0,0,0,1,1,
"SJ58",0,0,0,0,0,1,0,
"SJ79",0,0,0,0,0,0,1,
"SJ84",0,0,0,0,0,1,0,
"SJ89",0,0,0,0,0,1,0,
"SK00",0,0,0,0,0,1,1,
"SK10",0,0,0,0,0,0,1,
"SK11",0,0,0,0,0,1,0,
"SK26",0,0,0,0,0,0,1,
"SK28",0,0,0,0,0,1,0,
"SK36",0,0,0,0,0,0,1,
"SK37",0,0,0,0,0,0,1,
"SK39",0,0,0,0,0,1,0,
"SK51",0,0,0,0,0,0,1,
"SK54",0,0,0,0,1,1,0,"a"
"SK55",0,0,0,0,0,1,0,
"SK59",0,0,0,0,0,1,0,
"SN40",0,0,0,0,0,1,0,
"SO24",0,0,0,0,0,1,0,
"SO89",0,0,0,0,0,1,0,
"SO98",0,0,0,0,0,1,1,
"SP08",0,0,0,0,0,1,1,"a"
"SP09",0,0,0,0,0,1,0,
"SP15",0,0,0,0,0,0,1,
