"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NM25",0,0,0,0,0,1,0,
"NM32",0,0,0,0,0,0,1,
"NS77",1,0,0,0,0,0,0,"a"
"NX40",0,0,0,1,0,0,0,"a"
"NZ14",0,0,0,0,0,1,0,
"NZ21",0,0,0,1,0,0,0,"a"
"NZ31",0,0,0,1,0,0,0,"a"
"NZ50",0,0,0,0,0,1,0,
"R55",1,0,0,0,0,0,0,
"SD21",0,1,0,0,0,0,0,
"SD31",0,1,0,0,0,1,0,
"SD33",1,0,1,0,0,0,0,"a"
"SE13",0,0,0,0,1,0,0,"a"
"SE32",0,0,0,0,0,0,1,
"SE80",0,0,0,0,0,0,1,
"SJ36",0,0,0,0,0,0,1,
"SJ79",0,0,0,1,0,0,0,
"SK22",0,0,0,0,0,1,0,
"SK24",0,0,0,0,0,1,0,
"SK52",0,0,0,0,1,0,0,"a"
"SK53",0,0,1,0,0,1,0,
"SK56",0,0,0,0,0,0,1,
"SK85",0,0,1,1,0,0,0,
"SK86",0,0,0,0,0,0,1,
"SN34",0,0,0,0,0,0,1,
"SN40",0,0,0,0,1,0,0,"a"
"SN61",0,0,0,0,0,0,1,
"SO20",0,0,0,0,0,0,1,
"SO72",0,0,0,0,0,0,1,
"SO73",0,0,0,0,0,1,0,
"SO76",0,0,0,0,0,0,1,
"SO87",0,0,0,0,1,0,0,"a"
"SP04",0,0,0,0,0,1,0,
"SP05",0,0,0,0,1,0,0,"a"
"SP40",0,0,0,1,0,0,1,"a"
"SP50",0,0,0,1,0,0,1,"a"
"SP71",0,0,0,0,1,0,0,
"SP72",0,0,0,0,0,1,0,
"SP80",0,0,0,0,1,0,0,
"SP81",0,0,0,0,1,0,0,"a"
"SP92",0,0,0,1,0,0,0,"a"
"SP93",0,0,0,1,0,0,0,
"SS94",0,0,0,0,0,0,1,
"ST32",0,0,0,0,1,0,0,"a"
"ST36",0,0,0,1,0,0,0,"a"
"ST38",0,0,0,1,0,1,0,"a"
"ST43",0,0,0,0,1,0,0,"a"
"ST46",0,0,0,0,0,0,1,
"ST47",0,0,0,0,1,0,0,
"ST57",0,0,0,0,1,0,0,"a"
"ST61",1,0,1,0,0,0,0,"a"
"ST62",0,0,0,0,1,0,0,"a"
"ST63",0,0,0,0,1,0,0,"a"
"SU10",0,0,0,0,0,0,1,
"SU29",0,0,0,0,0,0,1,
"SU39",0,0,0,0,0,0,1,
"SU41",0,0,0,0,0,1,0,
"SU44",0,0,0,0,0,0,1,
"SU46",0,0,0,0,0,0,1,
"SU48",0,0,0,0,0,0,1,
"SU56",0,0,0,0,0,0,1,
"SU58",0,0,0,0,0,0,1,
"SU60",0,0,0,0,0,1,0,
"SU68",0,0,1,1,0,0,0,"a"
"SU69",0,0,0,1,0,0,0,"a"
"SU73",0,0,0,1,0,0,0,
"SU76",0,0,0,0,1,0,0,"a"
"SU77",0,0,0,0,0,0,1,
"SU86",0,0,0,0,0,0,1,
"SU87",0,0,0,0,0,0,1,
"SU88",0,0,0,0,0,0,1,
"SU89",0,0,0,0,1,1,0,
"SU96",0,0,0,0,0,1,1,
"SU97",0,0,0,0,0,0,1,
"SU98",0,0,0,1,0,0,0,"a"
"SV91",0,0,0,0,1,0,0,"a"
"SW61",0,0,0,0,0,1,0,
"SW73",0,0,0,0,0,0,1,
"SW74",1,0,0,1,0,0,0,"a"
"SW85",1,0,0,1,0,0,0,"a"
"SX05",0,0,0,0,0,0,1,
"SX48",0,0,0,0,0,1,0,
"SY29",0,0,0,0,0,1,0,
"SY68",1,0,0,0,1,0,0,"a"
"SY88",0,0,0,0,1,0,0,"a"
"SZ08",0,0,0,0,0,1,0,
"SZ09",1,0,0,0,1,1,0,"a"
"SZ39",0,0,0,0,0,0,1,
"TA03",0,0,0,0,0,1,0,
"TA21",0,0,0,0,0,0,1,
"TF11",0,0,0,0,0,0,1,
"TF13",0,0,0,0,1,0,0,"a"
"TG20",0,0,0,1,0,0,0,"a"
"TL02",0,0,0,1,0,0,0,"a"
"TL05",0,0,0,1,0,0,0,"a"
"TL10",0,0,0,1,0,0,1,"a"
"TL11",0,0,0,1,0,0,0,"a"
"TL12",0,0,0,1,0,0,0,"a"
"TL13",0,0,0,1,0,0,0,"a"
"TL20",0,0,0,1,0,0,1,"a"
"TL21",0,0,0,1,0,0,0,"a"
"TL31",0,0,0,1,1,0,0,"a"
"TL34",0,0,0,0,0,0,1,
"TL39",0,0,0,0,0,0,1,
"TL41",0,0,0,1,0,0,0,"a"
"TL49",0,0,0,0,0,1,1,
"TL52",0,0,0,0,0,1,0,
"TL77",0,0,0,1,0,0,0,"a"
"TL84",0,0,0,0,1,0,0,"a"
"TL88",0,0,0,0,0,0,1,
"TM14",0,0,0,1,0,0,0,
"TM15",0,0,0,1,0,0,0,"a"
"TM17",0,0,0,0,0,0,1,
"TM23",0,0,0,1,0,0,0,"a"
"TM34",0,0,0,1,1,0,0,"a"
"TM38",0,0,0,0,0,1,0,
"TM48",0,0,0,0,0,1,0,
"TQ06",0,0,0,1,0,0,1,"a"
"TQ07",0,0,0,1,0,1,1,"a"
"TQ08",1,0,1,1,0,1,1,"a"
"TQ14",0,0,0,0,1,1,0,"a"
"TQ15",0,0,0,0,0,1,0,
"TQ16",0,0,0,0,0,0,1,
"TQ17",0,0,0,0,0,0,1,
"TQ19",1,0,0,0,0,0,1,"a"
"TQ23",0,0,0,0,0,0,1,
"TQ24",0,0,0,0,0,1,0,
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,1,1,
"TQ28",0,0,0,0,0,0,1,
"TQ29",0,0,0,0,0,0,1,
"TQ32",0,0,0,0,0,1,0,
"TQ35",0,0,0,0,0,0,1,
"TQ36",0,0,0,0,0,0,1,
"TQ37",0,0,0,1,0,0,1,"a"
"TQ38",0,0,0,0,0,1,1,
"TQ39",0,0,0,0,0,0,1,
"TQ45",0,0,0,0,0,1,0,
"TQ46",0,0,0,0,0,1,0,
"TQ47",0,0,0,0,0,0,1,
"TQ48",0,0,0,1,0,1,1,"a"
"TQ49",0,0,0,0,0,0,1,
"TQ55",0,0,0,0,0,0,1,
"TQ57",0,0,0,1,1,1,0,"a"
"TQ58",0,0,0,0,0,1,0,
"TQ67",0,0,0,0,1,0,1,"a"
"TQ68",0,0,0,0,0,0,1,
"TQ95",0,0,0,0,0,1,0,
"TR01",0,0,0,0,0,0,1,
"TR04",0,0,0,0,0,0,1,
"TR06",0,0,0,0,0,0,1,
"V59",0,0,0,0,0,0,1,
"WA50",0,0,0,1,0,0,0,"a"
