"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NH68",0,0,0,0,0,1,1,"n"
"NH75",0,0,1,1,1,1,1,"n"
"NH76",0,0,1,0,1,1,1,"n"
"NH86",0,0,0,0,1,0,0,"n"
"NM60",0,0,1,0,0,0,0,"n"
"NM61",0,0,0,0,1,0,0,"n"
"NM73",0,0,1,0,1,0,0,"n"
"NM81",0,0,1,0,1,0,0,"n"
"NM83",0,0,1,1,1,1,1,"n"
"NM84",0,0,0,0,1,0,0,"n"
"NN15",1,0,1,0,0,0,0,"n"
"NN22",0,1,0,0,0,0,0,"n"
"NO32",1,0,0,0,0,0,0,"n"
"NO33",1,0,0,0,0,0,0,"n"
"NO42",1,0,0,0,0,0,0,"n"
"NO43",0,1,1,0,0,0,0,"n"
"NO64",1,0,1,0,0,0,0,"n"
"NS68",0,0,1,1,1,0,1,"n"
"NS84",1,0,0,0,0,0,0,"n"
"NT18",1,0,1,1,0,0,0,"n"
"NT27",1,0,1,1,1,1,1,"n"
"NT28",1,0,1,0,1,0,0,"n"
"NT29",1,0,1,0,1,0,0,"n"
"NT37",1,0,0,0,0,0,1,"n"
"NT47",1,0,1,1,1,1,1,"n"
"NT48",0,0,1,0,0,0,0,"n"
"NT57",1,0,1,0,1,0,1,"n"
"NT58",0,0,0,1,1,0,0,"n"
"NT67",1,0,0,0,0,0,0,"n"
"NT77",0,0,1,0,0,0,0,"n"
"NT96",1,0,0,0,0,0,0,"n"
"NU13",1,0,1,1,1,0,0,"n"
"NY51",0,0,0,1,1,1,1,"n"
"NY60",0,0,0,1,1,1,1,"n"
"NY61",0,0,0,1,1,1,0,"n"
"NY70",0,0,0,1,1,0,0,"n"
"NY71",0,0,0,1,0,0,0,"n"
"NY92",1,0,0,0,0,0,0,"n"
"NZ16",0,0,0,0,0,0,1,"n"
"NZ43",0,0,1,1,1,1,1,"n"
"SD37",1,0,1,1,1,1,1,"n"
"SD47",1,1,1,1,1,1,1,"n"
"SD48",1,0,0,1,1,1,1,"n"
"SD57",1,0,1,1,1,1,1,"n"
"SD63",1,0,0,0,0,0,0,"n"
"SD76",0,0,1,1,1,0,1,"n"
"SD77",0,0,0,1,1,0,0,"n"
"SD86",1,0,1,0,1,0,1,"n"
"SD88",1,0,0,0,0,0,0,"n"
"SD96",1,1,1,0,1,0,1,"n"
"SD97",0,0,0,0,1,0,0,"n"
"SD98",1,0,0,0,1,0,0,"n"
"SE06",1,0,1,0,0,0,0,"n"
"SE28",0,0,0,0,1,0,0,
"SE41",1,0,1,0,0,0,0,"n"
"SE42",0,0,1,1,1,0,0,"n"
"SE50",0,0,0,0,0,1,1,
"SE51",1,0,1,0,1,1,1,"n"
"SE56",1,0,0,0,0,0,0,"n"
"SE58",1,0,1,0,0,0,0,"n"
"SE67",1,0,0,0,0,0,0,"n"
"SE87",0,0,0,1,0,0,0,"n"
"SE98",0,0,0,0,1,0,0,"n"
"SH58",0,0,0,1,1,1,1,"n"
"SH77",0,0,0,0,1,1,1,"n"
"SH78",1,0,1,1,1,1,1,"n"
"SH87",1,0,1,1,1,1,1,"n"
"SH88",0,0,1,1,1,1,1,"n"
"SH97",0,0,1,1,1,0,1,"n"
"SJ06",0,0,1,0,0,0,0,"n"
"SJ07",0,0,1,1,1,1,0,"n"
"SJ08",0,0,1,1,1,0,0,"n"
"SJ16",0,0,0,0,1,0,0,"n"
"SJ22",0,0,1,1,1,1,1,"n"
"SJ24",0,0,0,0,1,0,0,"n"
"SJ50",1,0,0,0,0,0,0,"n"
"SK04",0,0,0,1,1,1,1,"n"
"SK05",0,1,1,1,1,1,1,"n"
"SK06",0,0,0,1,1,0,0,"n"
"SK07",0,0,1,1,1,1,1,"n"
"SK15",1,1,1,1,1,1,1,"n"
"SK16",0,0,1,1,1,1,1,"n"
"SK17",1,0,1,1,1,1,1,"n"
"SK18",0,0,1,0,1,1,1,"n"
"SK25",0,0,0,0,1,0,1,"n"
"SK26",0,0,1,0,1,0,0,"n"
"SK27",1,1,1,1,1,1,1,"n"
"SK35",0,0,0,0,1,0,0,"n"
"SK38",0,0,0,0,0,1,0,"a"
"SK57",1,1,1,0,0,0,0,"n"
"SK59",0,0,0,0,0,1,0,
"SK94",1,0,1,1,0,0,0,"n"
"SO36",0,0,0,0,1,0,0,"n"
"SO47",1,0,0,0,0,0,0,"n"
"SO51",0,0,0,0,1,0,0,"n"
"SO53",1,0,1,1,1,1,1,"n"
"SO54",1,0,1,0,0,0,0,"n"
"SO57",1,0,0,0,0,0,0,"n"
"SO63",1,1,1,0,1,1,0,"n"
"SO73",1,1,1,1,1,1,1,"n"
"SO74",1,1,1,1,0,0,0,"n"
"SP50",0,0,0,0,0,0,1,
"SS48",1,0,1,1,1,0,1,"n"
"SS58",1,0,0,1,1,1,1,"n"
"ST25",1,0,0,0,0,0,0,"n"
"ST29",1,0,0,0,0,0,0,"n"
"ST35",1,0,1,1,1,1,1,"n"
"ST36",1,0,0,0,0,0,0,"n"
"ST45",1,1,1,1,1,1,1,"n"
"ST46",0,0,1,1,1,1,1,"n"
"ST47",1,0,0,1,1,1,0,"n"
"ST53",0,0,0,0,0,0,1,"a"
"ST54",1,0,0,1,1,1,1,"n"
"ST55",0,0,0,0,1,0,0,"n"
"ST56",1,0,1,1,1,1,1,"n"
"ST57",1,1,1,1,1,1,1,"n"
"ST64",0,0,0,0,1,0,0,"n"
"ST66",0,0,0,0,0,0,1,"n"
"ST77",1,0,0,0,0,0,0,"n"
