"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B71",0,0,0,0,0,1,0,
"C03",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"NS28",0,0,0,0,1,0,0,"a"
"NS38",0,0,0,0,1,0,0,"a"
"NT96",0,0,0,0,0,1,0,
"NU22",0,0,0,0,0,0,1,
"NX40",0,0,0,1,0,0,0,
"NZ24",0,0,0,0,0,1,0,
"NZ35",0,0,0,0,0,1,0,
"S60",0,0,0,0,0,1,0,
"S80",0,0,0,0,1,0,0,"a"
"S81",0,0,0,0,0,0,1,
"S90",0,0,0,0,1,0,0,"a"
"SC16",0,0,0,0,1,0,0,"a"
"SC17",0,0,0,0,1,0,0,"a"
"SC26",0,0,0,0,1,1,0,"a"
"SC27",0,0,0,0,1,0,0,"a"
"SC28",0,0,0,0,1,0,0,"a"
"SC37",0,0,0,0,1,0,0,"a"
"SC47",0,0,0,0,1,0,0,"a"
"SD80",0,0,0,0,0,1,0,
"SJ36",0,0,0,0,0,0,1,
"SN31",0,0,0,0,0,0,1,
"SS69",0,0,0,0,0,1,0,
"ST54",0,0,0,0,1,0,0,"a"
"SV81",0,0,0,0,1,1,0,"a"
"SV91",1,1,0,0,1,0,0,"a"
"SW32",0,0,0,1,0,1,0,
"SW63",0,0,0,0,1,0,0,
"SW75",0,0,0,1,0,0,0,"a"
"SW84",0,0,0,0,1,0,0,
"T10",0,0,0,0,1,0,0,"a"
"T26",0,0,0,0,1,0,0,"a"
"TM11",0,0,0,0,1,0,0,"a"
"TM21",0,0,0,0,1,0,0,"a"
"TM23",0,0,0,1,0,0,0,"a"
"TM33",0,0,1,1,1,0,0,"a"
"TM46",0,0,0,1,0,0,0,
"TQ07",0,0,0,0,0,0,1,
"TQ28",0,0,0,0,0,0,1,
"TQ57",0,0,0,0,0,1,0,
"V37",1,0,0,0,0,0,0,"a"
"WV27",0,1,0,1,0,0,0,
"WV37",0,1,0,0,0,0,0,
"WV38",0,1,0,0,0,0,0,
"WV47",0,1,1,0,0,0,0,
