"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J47",0,0,1,0,0,0,0,
"NC56",0,0,0,0,1,0,0,
"NG52",0,0,0,0,0,0,1,
"NG53",0,0,1,0,0,0,0,
"NG87",0,0,1,0,0,0,0,
"NH23",0,0,0,1,0,0,0,
"NH43",0,0,0,0,1,0,0,
"NH90",0,0,0,1,0,0,0,
"NH91",0,0,0,0,0,0,1,
"NH94",0,0,1,0,0,0,0,
"NJ04",0,0,0,0,0,1,0,
"NM48",0,0,0,0,0,1,0,
"NN79",0,0,0,0,0,0,1,
"NN96",0,0,0,0,0,1,0,
"NO16",0,0,0,0,0,0,1,
"NO47",0,0,0,0,0,0,1,
"NS57",0,0,0,0,0,0,1,
"NY60",0,0,0,0,0,0,1,
"NY61",0,0,0,0,1,1,0,
"NY67",0,0,0,0,0,1,1,
"NY81",0,0,0,0,0,1,0,
"NY90",0,0,0,0,0,0,1,
"SD77",0,0,0,0,0,0,1,
"SW71",0,0,0,1,0,0,1,
"SZ29",0,0,0,0,0,0,1,
"TQ43",0,0,0,0,0,1,1,
