"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C42",0,0,0,0,1,0,0,
"J37",0,0,0,0,1,0,0,"n"
"NZ36",1,0,0,0,0,0,0,
"NZ44",1,0,0,0,0,0,0,
"NZ45",1,0,0,0,0,0,1,
"NZ52",0,0,0,0,0,1,0,
"NZ53",1,0,0,0,0,0,0,
"SD20",0,0,0,0,1,0,0,"n"
"SH61",0,0,0,0,0,0,1,
"SM80",0,0,0,0,1,0,0,"n"
"SN10",0,0,0,0,0,1,0,
"SN21",0,0,0,0,0,0,1,
"SN30",0,0,0,0,0,0,1,
"SN40",0,0,0,0,0,1,1,
"SN41",0,0,0,0,1,0,0,"n"
"SN50",0,0,0,0,1,1,0,"n"
"SN61",0,0,0,0,0,1,0,
"SS48",0,0,0,0,0,0,1,
"SS49",0,0,0,0,0,1,1,
"SS59",0,0,0,0,0,1,1,
"SS78",0,0,0,0,0,0,1,
"SS79",0,0,0,0,0,0,1,
"SS88",0,0,0,0,0,0,1,
"ST24",1,0,0,0,0,0,0,"n"
"ST36",0,0,0,0,1,0,0,"n"
"SV91",0,0,0,0,0,1,0,
"SY08",0,0,0,0,1,0,0,
"SY67",0,0,0,0,0,0,1,
"SY98",0,0,0,0,1,1,0,"n"
"SY99",0,0,0,0,1,0,0,"n"
"SZ08",0,0,0,0,1,1,0,"n"
"SZ09",0,0,0,0,1,0,0,"n"
"SZ48",0,0,0,0,0,1,0,
"SZ49",0,0,0,0,0,1,0,
"SZ57",0,0,0,0,0,0,1,
"SZ59",0,0,0,0,0,0,1,
"SZ68",0,0,0,0,1,1,0,
"SZ69",0,0,0,0,0,1,0,
"SZ89",1,0,0,0,0,1,0,"n"
"TA31",0,0,0,0,1,0,0,"n"
"TA32",0,0,0,0,1,0,0,"n"
"TA41",0,0,0,0,1,0,0,"n"
"TF62",0,1,0,0,0,0,0,"n"
"TF64",0,1,0,0,0,1,0,"n"
"TF84",0,0,0,1,1,0,0,"n"
"TG04",0,0,0,0,0,1,0,
"TG50",0,0,1,0,0,0,0,"n"
"TM00",0,0,0,1,0,0,0,"n"
"TM23",0,0,0,1,0,0,0,
"TM34",0,0,0,0,1,0,0,
"TM45",0,0,0,0,1,0,0,"n"
"TM46",0,0,0,0,1,0,0,"n"
"TM47",0,0,0,0,1,0,0,"n"
"TM57",0,0,0,0,1,0,0,"n"
"TQ67",0,0,0,0,1,0,0,"n"
"TQ82",0,0,0,0,0,1,0,
"WV38",0,0,0,1,0,0,0,"n"
