"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NZ61",0,0,0,0,0,1,0,
"SE32",0,0,0,0,0,0,1,
"SE52",0,0,0,0,0,0,1,
"SH78",0,0,0,0,0,1,1,
"SJ29",0,0,0,0,0,0,1,
"SJ68",0,0,0,0,0,1,0,
"SJ84",0,0,0,0,0,0,1,
"SK83",0,0,0,0,0,0,1,
"SK85",0,0,0,0,0,1,0,
"SK90",0,0,0,0,0,0,1,
"SO13",0,0,0,0,1,0,0,"a"
"SO93",0,0,0,0,0,1,1,
"SO98",0,0,0,0,0,1,0,
"SO99",0,0,0,0,0,1,0,
"SP04",0,0,0,0,0,1,1,
"SP48",0,0,0,0,0,0,1,
"SP59",0,0,0,0,0,0,1,
"SS59",0,0,0,0,1,0,0,
"SS73",0,0,0,0,0,1,0,
"ST04",0,0,0,0,0,0,1,
"ST12",0,0,0,0,1,0,0,"a"
"ST22",0,0,0,0,0,1,0,
"ST23",0,0,0,0,0,0,1,
"ST31",0,0,0,0,1,0,0,"a"
"ST36",0,0,0,0,1,1,1,"a"
"ST41",0,0,0,0,1,0,0,"a"
"ST42",0,0,0,0,1,0,0,"a"
"ST53",0,0,0,0,0,0,1,
"ST57",0,0,0,0,0,0,1,
"ST66",0,0,0,0,0,0,1,
"ST76",0,0,0,0,0,0,1,
"SU41",0,0,0,0,0,0,1,
"SU72",0,0,0,0,0,0,1,
"SU82",0,0,0,0,0,0,1,
"SU83",0,0,0,0,0,0,1,
"SU91",0,0,0,0,0,0,1,
"SW74",0,0,0,0,0,1,0,
"SX05",0,0,0,0,0,0,1,
"SX15",0,0,0,0,0,1,1,
"SX25",0,0,0,0,0,0,1,
"SX45",0,0,0,0,0,0,1,"a"
"SY18",0,0,0,0,1,0,0,"a"
"SZ08",0,0,0,0,0,1,0,"a"
"SZ49",0,0,0,0,0,0,1,
"TF02",0,0,0,0,0,0,1,
"TL45",0,0,0,0,0,0,1,
"TL55",0,0,0,0,0,0,1,
"TL83",0,0,0,0,0,0,1,
"TM03",0,0,0,0,0,0,1,
"TM24",0,0,0,0,0,1,0,
"TM49",0,0,0,0,0,1,0,
"TM57",0,0,0,0,0,1,0,
"TQ00",0,0,0,0,0,1,0,
"TQ05",0,0,0,0,0,1,0,"a"
"TQ09",0,0,0,0,1,0,0,"a"
"TQ10",0,0,0,0,0,1,0,
"TQ16",0,0,0,0,0,0,1,
"TQ21",0,0,0,0,0,1,0,
"TQ24",0,0,0,0,0,0,1,
"TQ25",0,0,0,0,1,1,1,"a"
"TQ26",0,0,0,0,1,1,1,"a"
"TQ27",0,0,0,0,0,0,1,"a"
"TQ30",0,0,0,0,0,1,0,
"TQ37",0,0,0,0,0,0,1,"a"
"TQ57",0,0,0,0,0,0,1,
"TQ58",0,0,0,0,0,1,1,
"TQ60",0,0,0,0,0,0,1,"a"
"TQ65",0,0,0,0,0,0,1,
"TQ67",0,0,0,0,0,0,1,
"TQ68",0,0,0,0,0,0,1,
"TQ69",0,0,0,0,0,0,1,
"TQ91",0,0,0,0,0,0,1,
"TR06",0,0,0,0,0,0,1,
"TR16",0,0,0,0,0,0,1,
"TR34",0,0,0,0,0,0,1,
"TV59",0,0,0,0,0,0,1,
"WV75",0,0,0,0,0,0,1,
