"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B81",0,0,0,0,0,0,1,
"D04",0,0,0,0,0,1,0,
"G00",1,0,0,0,0,0,0,"a"
"G90",0,0,0,0,0,0,1,
"H40",0,0,0,0,1,0,0,"a"
"H56",0,0,0,0,1,0,0,
"H81",0,0,0,0,0,0,1,
"H87",0,0,0,0,0,1,0,
"H95",0,0,0,1,0,0,1,"a"
"HU34",0,0,0,0,1,0,0,"a"
"HU42",0,0,0,1,0,0,0,"a"
"HU44",0,0,0,0,1,0,0,"a"
"HY20",0,1,0,0,0,0,0,"a"
"HY21",1,0,0,0,0,0,0,"a"
"HY30",0,0,0,0,0,1,0,
"HY40",1,0,0,0,0,0,0,"a"
"HZ27",0,0,0,0,1,0,0,"a"
"J01",0,0,0,0,1,0,0,"a"
"J03",0,0,0,0,0,0,1,
"J26",0,0,0,0,0,1,0,
"J36",0,0,0,0,0,0,1,
"J37",1,0,0,0,0,0,0,"a"
"J43",0,0,0,0,0,1,0,
"J47",1,1,0,0,0,0,1,"a"
"J48",0,0,0,0,0,0,1,
"J68",0,0,0,0,1,0,0,"a"
"L98",1,0,0,0,0,0,0,"a"
"L99",1,0,0,0,0,0,0,"a"
"M55",0,0,0,0,0,0,1,
"M99",0,0,0,0,0,0,1,
"N64",0,0,0,0,0,0,1,
"N73",1,1,0,0,0,0,0,"a"
"N82",1,0,0,0,0,0,0,"a"
"N85",1,0,0,0,0,0,0,"a"
"N93",0,0,0,0,1,0,0,"a"
"N98",0,0,0,0,0,0,1,
"N99",0,0,0,0,0,0,1,
"NC02",0,0,0,0,1,0,0,"a"
"NC03",0,0,0,0,0,0,1,
"NC53",0,0,0,1,0,0,0,"a"
"NF76",0,0,0,0,0,0,1,
"NF85",0,0,1,0,0,0,0,"a"
"NH53",0,0,0,1,0,0,0,"a"
"NH64",0,0,1,1,0,0,0,"a"
"NH74",0,0,0,1,0,0,0,"a"
"NH75",0,0,1,0,1,0,0,"a"
"NH79",0,0,0,0,0,0,1,
"NH81",0,0,0,0,0,0,1,
"NH84",0,0,1,0,0,0,0,"a"
"NH85",0,0,1,0,0,0,0,"a"
"NH86",0,0,0,1,0,0,0,"a"
"NH89",1,0,0,0,0,0,1,"a"
"NH95",0,0,1,1,0,0,1,"a"
"NH96",0,0,0,0,0,0,1,
"NJ02",0,0,1,0,1,0,0,"a"
"NJ05",0,0,1,1,1,1,0,"a"
"NJ06",0,0,0,0,0,1,0,
"NJ11",0,0,1,0,0,0,0,"a"
"NJ26",0,0,1,1,0,1,1,"a"
"NJ35",0,0,0,1,0,0,1,
"NJ40",0,0,0,0,1,0,0,"a"
"NJ70",0,0,0,0,1,0,0,"a"
"NJ71",0,0,0,0,0,0,1,
"NL94",0,0,0,0,0,1,0,
"NM64",0,0,0,1,0,0,0,"a"
"NM72",0,0,0,0,1,0,0,"a"
"NN17",0,0,1,0,0,0,1,"a"
"NN52",0,0,0,1,0,0,0,"a"
"NN53",0,0,0,1,0,0,0,"a"
"NN70",0,0,0,0,0,0,1,
"NN76",0,0,0,0,0,1,0,
"NN80",0,0,1,0,0,0,0,"a"
"NN81",0,0,1,0,0,0,0,"a"
"NN82",0,0,0,0,0,1,0,
"NN91",0,0,0,1,1,0,1,"a"
"NN95",0,0,0,0,0,1,0,
"NO02",0,0,0,0,1,0,1,"a"
"NO10",0,0,0,0,1,0,0,"a"
"NO12",0,0,0,0,0,1,0,
"NO32",0,1,0,1,0,0,1,"a"
"NO40",1,1,0,0,0,0,0,"a"
"NO50",1,1,0,0,0,0,0,"a"
"NO56",0,0,1,0,0,0,0,"a"
"NO61",0,0,0,0,1,0,0,"a"
"NO63",0,0,0,0,1,0,0,
"NO66",0,0,0,0,1,0,0,"a"
"NO75",0,0,1,0,0,0,0,"a"
"NR15",0,0,0,0,0,0,1,
"NR25",0,1,1,0,0,0,0,"a"
"NR26",0,1,1,0,0,0,0,"a"
"NR34",0,1,1,0,0,0,0,"a"
"NR36",0,1,1,0,0,0,0,"a"
"NR37",0,1,1,0,0,0,0,"a"
"NR39",1,0,0,1,0,0,0,
"NR49",0,0,0,1,0,0,0,
"NR56",0,1,1,0,0,0,0,"a"
"NR57",0,1,1,0,0,0,0,"a"
"NR61",0,0,1,1,0,0,0,"a"
"NR62",0,0,1,1,0,0,0,"a"
"NR70",0,0,0,0,0,1,0,
"NR71",0,0,1,0,0,0,0,"a"
"NR72",0,1,1,0,0,0,1,"a"
"NR84",0,0,1,1,0,0,0,"a"
"NR85",0,0,0,0,0,0,1,
"NR86",0,0,0,0,0,0,1,
"NR95",0,0,0,0,1,0,0,"a"
"NS03",0,0,0,0,0,0,1,
"NS05",0,0,0,0,0,0,1,
"NS06",0,0,0,0,0,0,1,
"NS15",0,0,0,1,0,0,0,
"NS16",0,0,0,0,0,1,0,
"NS28",0,0,0,1,1,0,1,"a"
"NS31",1,0,0,0,0,0,0,"a"
"NS32",0,0,0,1,0,0,0,"a"
"NS33",0,0,0,0,0,0,1,
"NS34",0,0,0,0,0,0,1,
"NS37",1,0,0,1,1,0,0,"a"
"NS38",0,0,0,0,1,0,1,"a"
"NS47",1,0,0,1,1,0,1,"a"
"NS52",0,0,0,0,0,0,1,
"NS55",0,0,0,0,1,0,0,"a"
"NS56",0,0,0,1,1,1,1,"a"
"NS57",0,0,0,0,0,0,1,
"NS59",0,0,0,0,1,0,0,"a"
"NS60",0,0,0,0,1,0,0,
"NS65",0,0,0,0,1,0,0,"a"
"NS66",0,0,0,0,0,0,1,
"NS67",0,0,0,0,1,0,0,"a"
"NS69",0,0,0,0,1,0,1,"a"
"NS70",1,0,0,0,0,0,0,"a"
"NS74",0,0,0,0,0,1,0,
"NS75",0,0,0,0,0,0,1,
"NS76",0,0,0,0,1,0,1,"a"
"NS77",0,0,0,0,0,0,1,
"NS79",0,0,0,0,0,0,1,
"NS83",0,0,0,0,1,0,0,"a"
"NS84",0,0,0,0,0,0,1,
"NS85",0,0,0,0,0,0,1,
"NS87",0,0,0,0,0,1,0,
"NS88",0,0,0,0,1,1,0,"a"
"NS89",0,0,0,0,0,1,1,
"NS92",0,0,1,0,0,0,0,"a"
"NS93",0,0,0,0,0,0,1,
"NS96",0,0,0,0,1,0,0,"a"
"NS97",1,0,0,0,0,0,1,"a"
"NS98",1,0,0,0,1,0,1,"a"
"NT00",0,0,1,0,0,0,0,"a"
"NT03",0,0,0,0,0,0,1,
"NT04",0,0,0,0,0,1,0,
"NT07",1,0,0,0,1,0,1,"a"
"NT08",1,1,0,1,0,0,0,"a"
"NT16",1,0,0,1,0,0,0,"a"
"NT17",1,0,1,1,0,0,1,"a"
"NT18",1,1,0,0,1,0,0,"a"
"NT24",0,0,0,0,0,0,1,
"NT26",1,0,0,0,0,0,1,"a"
"NT27",0,0,1,0,1,0,1,"a"
"NT28",1,0,0,0,0,0,0,"a"
"NT29",0,0,1,0,0,0,0,"a"
"NT33",0,0,0,0,0,0,1,
"NT36",0,0,1,0,1,0,1,"a"
"NT37",1,0,0,1,0,0,1,"a"
"NT43",0,0,0,0,1,0,0,"a"
"NT44",0,0,0,0,1,0,0,
"NT45",0,0,1,0,0,0,1,"a"
"NT47",1,0,0,1,1,1,1,"a"
"NT48",0,0,0,0,0,1,1,
"NT51",0,0,0,1,1,0,0,"a"
"NT52",0,0,0,1,0,1,0,
"NT53",0,0,0,1,1,1,1,"a"
"NT54",0,0,1,0,1,0,0,"a"
"NT55",0,0,1,0,0,0,0,"a"
"NT57",1,0,0,0,0,0,1,"a"
"NT58",1,0,0,1,0,1,0,"a"
"NT61",0,0,0,0,1,0,0,"a"
"NT62",0,0,0,0,1,0,0,"a"
"NT63",0,0,0,0,0,1,0,
"NT64",0,0,0,0,1,1,0,"a"
"NT66",0,0,0,0,1,0,0,"a"
"NT67",0,0,1,0,1,0,0,"a"
"NT70",0,0,0,1,0,0,0,"a"
"NT73",1,0,0,0,0,0,0,"a"
"NT74",0,0,0,0,1,1,0,"a"
"NT83",0,0,0,1,1,1,0,"a"
"NT84",1,0,1,1,1,1,0,"a"
"NT85",0,0,0,0,1,1,1,"a"
"NT86",0,0,0,1,1,0,0,"a"
"NT90",0,0,0,0,0,0,1,
"NT92",1,0,1,0,0,0,0,"a"
"NT93",0,0,0,0,0,1,0,
"NT94",0,0,1,0,1,0,0,"a"
"NT95",0,0,0,1,1,0,0,"a"
"NT96",0,0,1,1,1,0,1,"a"
"NU00",0,0,0,0,0,0,1,
"NU02",0,0,0,1,0,0,0,"a"
"NU03",0,0,0,1,0,0,1,"a"
"NU04",1,0,1,0,1,0,0,"a"
"NU11",1,0,0,0,0,0,1,"a"
"NU12",1,0,1,0,0,0,1,"a"
