"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NO04",1,0,1,0,1,0,0,
"NO14",1,0,0,0,0,0,0,
"NT09",1,0,0,0,0,0,0,
"NT27",1,0,0,0,0,0,0,
"NT52",1,0,1,0,0,0,0,
"NT63",1,0,1,0,0,0,0,
"NT73",1,0,0,0,0,0,0,
"NU03",1,0,0,0,0,0,0,
"NY21",1,0,0,0,0,0,0,
"NY22",1,0,0,0,0,0,0,
"NY31",1,0,0,0,0,0,0,
"SH54",0,0,0,0,0,1,0,
"SH56",0,0,0,1,0,0,0,
"SH65",0,0,0,0,1,0,0,
"SH71",1,0,0,0,0,0,0,
"SH72",1,0,1,0,0,0,0,
"SH75",0,0,0,1,0,0,0,
"SH76",1,0,0,1,0,0,0,
"SH77",1,0,0,0,0,0,0,
"SS84",1,0,0,0,0,0,0,
