"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HP50",1,0,0,0,0,0,0,"a"
"L68",1,0,0,0,0,0,0,"a"
"NM49",1,0,1,0,0,0,0,
"NO79",0,0,1,0,0,0,0,
"NS65",1,0,0,0,0,0,0,"a"
"NS75",1,0,0,0,0,0,0,"a"
"NS84",0,0,0,1,0,0,0,"a"
"NS97",0,0,0,0,0,0,1,
"NT07",0,0,0,0,1,0,0,"a"
"NT53",1,0,1,0,0,0,0,"a"
"NU11",1,0,0,0,0,0,0,"a"
"NX74",0,0,0,0,1,0,0,
"NZ21",0,0,0,0,1,0,1,
"NZ33",1,0,0,0,0,0,0,
"R55",0,0,0,0,0,0,1,
"SD29",0,0,0,1,1,0,0,"a"
"SD47",0,0,0,1,1,1,1,"a"
"SD48",0,0,0,0,0,1,0,
"SD49",0,0,0,0,0,0,1,
"SE19",1,0,0,0,0,0,0,"a"
"SE27",0,0,0,0,0,1,0,
"SE50",0,0,0,0,0,0,1,
"SE81",0,0,0,0,0,1,0,
"SJ24",0,1,0,0,0,0,0,"a"
"SJ31",0,0,0,0,1,0,0,"a"
"SJ51",0,0,1,0,0,0,0,
"SJ84",0,0,0,0,0,0,1,
"SJ85",1,0,0,0,0,0,0,
"SJ98",0,0,0,0,1,0,0,"a"
"SK38",0,0,0,0,0,1,0,
"SN31",0,0,0,0,1,0,0,"a"
"SN34",0,1,0,0,1,0,1,"a"
"SO23",0,0,0,0,0,1,1,
"SO71",0,0,0,1,0,0,0,"a"
"SO75",0,0,0,1,0,0,0,"a"
"SO78",1,0,0,0,1,0,0,"a"
"SO79",0,0,0,0,0,0,1,
"SO96",0,0,0,1,0,0,0,"a"
"SP50",1,0,1,0,0,0,0,"a"
"SP63",0,0,0,0,1,0,0,
"SP70",0,0,0,0,1,0,0,"a"
"SP80",0,0,0,0,1,0,0,"a"
"SP81",0,0,1,1,0,0,0,"a"
"SP85",0,0,0,0,1,0,0,
"SP93",1,0,0,0,0,0,0,"a"
"ST36",0,0,0,0,1,0,0,
"ST41",0,0,0,0,1,0,0,"a"
"ST63",0,0,0,0,1,0,0,"a"
"ST74",0,0,0,0,1,0,1,"a"
"ST91",0,0,0,0,1,0,0,"a"
"SU06",1,0,0,1,1,0,0,"a"
"SU26",0,0,0,0,0,1,0,
"SU28",0,0,0,0,0,0,1,
"SU38",0,1,0,0,0,0,0,"a"
"SU57",0,0,1,0,1,0,0,"a"
"SU77",0,0,1,0,0,0,0,"a"
"SU80",0,0,0,0,1,1,1,"a"
"SU91",0,0,0,0,1,0,0,"a"
"SU96",0,0,0,0,0,0,1,
"SW63",1,0,0,0,0,0,0,
"SW84",0,0,0,0,0,0,1,
"SX66",0,0,0,0,0,0,1,
"SY69",0,0,0,0,1,0,0,"a"
"T13",0,0,1,0,0,0,0,"a"
"TA01",0,0,0,1,0,0,0,
"TF00",1,0,0,0,0,0,0,"a"
"TF22",1,0,0,0,0,0,0,
"TL02",1,0,1,0,0,0,0,"a"
"TL03",1,0,1,0,0,0,0,"a"
"TL19",0,0,0,0,0,0,1,
"TL46",1,0,0,0,0,0,0,"a"
"TQ10",0,0,0,0,1,1,0,"a"
"TQ15",0,0,1,0,0,0,0,"a"
"TQ38",0,0,0,0,1,0,0,"a"
"TQ45",0,0,0,0,0,0,1,
"TQ55",0,0,0,1,1,0,1,"a"
"TQ71",0,0,0,0,1,0,0,"a"
"TR04",1,0,0,0,0,0,0,"a"
