"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J33",0,0,0,0,0,0,1,
"NG60",0,0,0,0,0,1,0,
"NN95",0,0,0,0,1,0,0,"a"
"NT27",0,0,0,1,0,0,0,
"NX86",0,0,0,0,0,0,1,
"SD32",0,0,0,0,0,0,1,
"SD33",0,0,0,0,0,0,1,
"SD48",0,0,0,0,0,1,0,
"SD61",0,0,1,0,0,0,0,
"SD62",0,0,0,1,1,1,1,"a"
"SK50",0,0,0,0,0,1,0,
"SK55",0,0,0,0,0,1,0,
"SK65",0,0,0,0,1,0,1,"a"
"SO17",0,0,0,0,0,1,0,
"SP10",0,0,0,0,1,0,0,"a"
"SP31",0,0,1,0,0,0,0,
"ST12",0,0,0,0,1,1,0,"a"
"ST27",0,0,0,0,0,0,1,
"ST61",0,0,0,0,0,0,1,
"TA08",0,0,0,0,0,1,0,
"TL02",0,0,0,1,0,0,0,
"TL31",0,0,0,0,1,0,0,"a"
"TL84",1,1,0,1,0,0,0,"a"
"TQ28",0,0,0,0,0,0,1,
"TQ57",0,0,0,0,0,1,0,
"TQ75",0,0,0,1,0,0,0,"a"
