"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"SD70",0,0,0,0,0,0,1,
"SE22",0,0,0,0,0,0,1,
"SE24",0,0,0,0,0,0,1,
"SE32",0,0,0,0,0,0,1,
"SE33",0,0,0,0,0,0,1,
"SE42",0,0,0,0,0,0,1,
"SE54",0,0,0,0,0,0,1,
"SJ41",0,0,0,0,0,0,1,
"SJ84",0,0,0,0,0,0,1,
"SK53",0,0,0,0,0,0,1,
"SO68",0,0,0,0,0,0,1,
"SO78",0,0,0,0,0,0,1,
"SP51",0,0,0,0,0,0,1,
"SU44",0,0,0,0,0,0,1,
"TA01",0,0,0,0,0,0,1,
"TF11",0,0,0,0,0,0,1,
"TL20",0,0,0,0,0,0,1,
"TL22",0,0,0,0,0,0,1,
"TL23",0,0,0,0,0,1,0,
"TL27",0,0,0,0,0,0,1,
"TL30",0,0,0,0,0,0,1,
"TL45",0,0,0,0,0,0,1,
"TL46",0,0,0,0,0,0,1,
"TL47",0,0,0,0,0,0,1,
"TL50",0,0,0,0,0,0,1,
"TL58",0,0,0,0,0,0,1,
"TL62",0,0,0,0,0,0,1,
"TL63",0,0,0,0,0,0,1,
"TL72",0,0,0,0,0,0,1,
"TL83",0,0,0,0,0,0,1,
"TM13",0,0,0,0,0,0,1,
"TQ09",0,0,0,0,0,0,1,
"TQ36",0,0,0,0,0,0,1,
"TQ45",0,0,0,0,0,0,1,
"TQ55",0,0,0,0,0,0,1,
"TQ57",0,0,0,0,0,0,1,
"TQ59",0,0,0,0,0,0,1,
"TQ68",0,0,0,0,0,0,1,
"TQ69",0,0,0,0,0,0,1,
"TQ84",0,0,0,0,0,0,1,
"TQ89",0,0,0,0,0,0,1,
"TQ93",0,0,0,0,0,0,1,
"TQ98",0,0,0,0,0,0,1,
"TQ99",0,0,0,0,0,0,1,
"TR09",0,0,0,0,0,0,1,
"TR16",0,0,0,0,0,0,1,
"TR24",0,0,0,0,0,0,1,
