"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HY21",1,0,0,0,0,0,0,
"HY31",1,0,0,0,0,0,0,
"ND49",0,1,0,0,0,0,0,
"NG44",0,1,0,0,0,0,0,
"NH52",0,1,0,0,0,0,0,
"NN74",0,1,0,0,0,0,0,
"NO01",1,0,0,0,0,0,0,
"NO56",0,1,0,0,0,0,0,
"NT27",1,0,0,0,0,0,0,
"NT39",0,0,1,0,0,0,0,
"NY30",0,1,0,0,0,0,0,
"NZ26",1,0,0,0,0,0,0,
"NZ32",0,0,0,0,0,1,0,
"NZ41",0,0,0,0,1,0,0,
"NZ53",0,0,0,0,1,0,0,
"NZ61",0,0,0,0,1,0,0,
"SE10",0,0,0,0,1,0,0,
"SE32",0,0,0,0,0,0,1,
"SE43",0,0,0,0,1,0,1,
"SE44",0,0,0,0,0,1,0,
"SJ34",1,1,0,0,0,0,0,
"SK83",1,0,0,0,0,0,0,
"SO46",0,0,0,0,0,0,1,
"SO51",0,0,1,0,0,0,0,
"SO82",1,0,0,0,0,0,0,
"SO91",1,1,0,0,0,0,0,
"SO92",0,1,0,0,0,0,0,
"SO94",0,1,0,0,0,0,0,
"SP06",0,0,1,0,0,0,0,
"SP08",0,0,1,0,0,0,0,
"SP12",0,0,1,0,0,0,0,
"SP16",0,0,1,0,0,0,0,
"SP31",0,1,0,0,0,0,0,
"SP36",0,1,0,0,0,0,0,
"SP40",1,0,0,0,0,0,0,
"SP41",1,1,0,0,0,0,0,
"SP52",1,0,0,0,0,0,0,
"SS21",0,0,0,0,0,0,1,
"SS43",0,1,0,0,0,0,0,
"ST16",1,0,0,0,0,0,0,
"ST33",0,0,0,0,0,1,0,
"ST43",0,1,0,0,0,0,0,
"ST57",1,0,0,0,0,0,0,
"ST59",0,0,0,0,0,1,0,
"ST69",0,1,0,0,0,0,0,
"ST76",1,0,1,0,0,0,0,
"ST95",0,0,1,0,0,0,0,
"SU04",0,0,1,0,0,0,0,
"SU05",0,1,1,0,0,0,0,
"SU06",0,0,1,0,0,0,0,
"SU16",0,0,1,0,0,0,0,
"SU31",0,0,0,1,0,0,0,
"SU43",0,1,0,0,0,0,0,
"SU52",0,0,0,0,0,1,0,
"SU58",0,0,0,0,0,1,0,
"SU66",0,0,0,0,0,1,0,
"SU75",1,0,0,0,0,0,0,
"SU78",1,0,0,0,0,0,0,
"SU85",1,0,1,1,0,0,0,
"SU86",1,0,0,0,0,0,0,
"SW64",0,0,0,0,1,0,0,
"SX97",1,0,0,0,0,0,0,
"SY08",1,0,0,0,0,0,0,
"SZ38",1,0,0,0,0,0,0,
"TA03",0,0,0,0,1,0,0,
"TF63",0,1,0,0,0,0,0,
"TF64",1,1,0,0,0,0,0,
"TL40",0,0,0,0,0,0,1,
"TL45",1,0,0,0,0,0,0,
"TL54",1,0,0,0,0,0,0,
"TL65",1,0,0,0,0,0,0,
"TL72",0,0,0,0,0,0,1,
"TL74",0,0,0,0,0,0,1,
"TL90",0,0,0,0,1,1,0,
"TM57",0,0,1,0,0,0,0,
"TQ06",1,1,0,0,0,0,0,
"TQ16",1,0,0,0,0,0,0,
"TQ17",1,0,0,0,0,0,0,
"TQ25",1,1,1,0,0,0,0,
"TQ26",1,0,0,0,0,0,0,
"TQ27",1,0,0,0,0,0,0,
"TQ28",1,0,0,0,0,0,0,
"TQ29",1,0,0,0,0,0,0,
"TQ30",0,0,0,0,0,1,1,
"TQ35",1,1,0,0,0,0,0,
"TQ37",1,0,0,0,0,0,0,
"TQ46",0,1,0,0,0,0,0,
"TQ47",1,0,0,0,0,0,0,
"TQ48",0,0,0,0,0,0,1,
"TQ59",0,0,0,0,0,0,1,
"TQ66",1,0,0,0,0,0,0,
"TQ75",0,0,1,0,0,0,0,
"TQ86",0,0,1,0,0,0,0,
"TQ98",0,0,0,0,0,0,1,
"TR35",0,0,1,0,0,0,0,
"TR36",0,1,0,0,0,0,0,
"WA50",1,1,1,0,1,0,0,
"WA60",0,1,0,0,1,0,0,
"WV38",1,1,1,0,0,0,0,
"WV47",1,1,0,0,0,0,0,
"WV54",0,1,0,0,0,0,0,
"WV55",1,0,0,0,0,0,0,
"WV64",1,0,0,0,0,0,0,
"WV65",1,0,0,0,0,0,0,
