"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"G60",0,0,0,0,0,0,1,"a"
"H74",0,0,0,0,1,0,0,"a"
"HP50",0,0,0,0,0,0,1,"a"
"HU31",0,0,0,0,0,0,1,"a"
"HU48",0,0,0,0,0,0,1,"a"
"HU69",0,0,0,0,0,0,1,"a"
"HY20",1,0,0,0,0,0,0,"a"
"HY22",0,0,0,0,0,0,1,"a"
"M12",0,0,0,0,0,0,1,"a"
"M15",1,0,0,1,1,1,1,"n"
"M16",1,0,0,1,1,0,0,"n"
"M22",0,0,0,0,0,1,1,"a"
"N00",0,0,0,0,0,1,0,"a"
"NG62",0,0,0,0,0,0,1,"a"
"NG89",0,0,0,0,0,0,1,"a"
"NH41",0,0,0,0,0,0,1,"a"
"NH64",0,0,0,0,0,0,1,"a"
"NH65",0,0,0,0,0,1,0,"a"
"NH76",0,0,0,0,0,0,1,"a"
"NH87",0,0,0,0,0,1,1,"a"
"NH90",1,0,0,0,0,0,0,"a"
"NJ03",0,0,0,0,0,0,1,"a"
"NJ12",1,0,0,0,0,0,0,
"NJ26",0,1,1,0,0,1,1,"a"
"NJ35",0,0,0,0,0,0,1,"a"
"NJ36",0,0,1,0,1,0,0,"a"
"NM54",1,0,1,0,0,0,0,"a"
"NN28",0,0,0,0,0,0,1,"a"
"NO00",0,0,0,1,0,0,1,"a"
"NO03",0,0,0,0,0,0,1,"a"
"NO12",0,0,0,1,1,0,0,"a"
"NO14",0,0,0,0,0,1,0,"a"
"NO19",1,0,0,0,0,0,0,"a"
"NO32",0,0,1,0,0,0,0,"a"
"NO33",0,0,0,0,0,0,1,"a"
"NO43",0,0,0,0,1,0,0,"a"
"NO53",0,0,0,0,0,0,1,"a"
"NR77",0,0,0,0,0,0,1,"a"
"NS04",1,0,0,0,0,0,0,"a"
"NS28",0,0,0,0,1,0,1,"a"
"NS37",0,0,0,1,1,0,0,"a"
"NS39",1,0,1,1,1,0,0,"a"
"NS43",0,0,0,0,0,0,1,"a"
"NS47",0,0,0,0,0,0,1,"a"
"NS52",0,0,0,0,0,0,1,"a"
"NS56",0,0,0,1,1,0,1,"a"
"NS57",0,0,0,1,1,0,1,"a"
"NS65",0,0,0,0,1,0,0,"a"
"NS66",0,0,0,0,1,0,1,"a"
"NS74",0,0,0,0,0,0,1,"a"
"NS76",0,0,0,0,1,0,0,"a"
"NS79",1,0,0,0,0,0,0,"a"
"NS84",0,0,0,0,0,0,1,"a"
"NS89",0,0,0,0,0,0,1,"a"
"NT04",0,0,0,0,0,1,0,"a"
"NT06",0,0,0,0,1,0,0,"a"
"NT16",1,0,0,0,0,0,1,"a"
"NT17",0,0,0,0,0,0,1,"a"
"NT18",1,0,0,0,0,0,0,"a"
"NT26",1,0,0,0,0,0,0,"a"
"NT27",0,0,0,0,0,0,1,"a"
"NT37",1,0,1,0,0,0,0,"a"
"NT51",0,0,0,0,1,0,0,"a"
"NT87",1,0,0,0,0,0,0,"a"
"NU13",1,0,1,1,1,1,1,"a,n"
"NX08",0,0,1,0,0,0,0,"a"
"NX18",0,0,1,0,0,0,0,"a"
"NX40",0,0,0,0,1,0,0,"a"
"NX85",1,0,1,0,0,0,1,"n"
"NX97",0,0,0,0,0,0,1,"a"
"NY03",0,0,0,0,0,0,1,"a"
"NY05",0,0,0,1,1,0,0,"a"
"NY15",0,0,0,0,0,0,1,"a"
"NY18",0,0,0,0,1,0,0,"a"
"NY24",1,0,0,0,0,0,0,"a"
"NY36",0,0,0,0,0,1,0,"a"
"NY45",0,0,0,1,0,0,0,"a"
"NY47",0,0,0,0,0,1,0,"a"
"NY51",0,0,0,1,1,0,1,"a"
"NY52",0,0,0,0,0,0,1,"a"
"NY66",1,0,1,1,1,1,1,"n"
"NY76",1,0,1,0,0,1,0,"n"
"NY82",1,0,0,0,0,0,0,"n"
"NY87",0,0,0,1,0,0,0,"a"
"NY93",0,0,0,0,0,1,0,"a"
