"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C63",0,0,0,0,0,0,1,
"D14",1,0,1,0,0,0,0,"a"
"D31",0,0,0,0,0,0,1,
"G41",0,0,0,0,0,1,0,
"G54",0,0,0,0,0,1,0,
"G63",0,0,0,0,0,1,0,
"H39",0,0,0,0,0,1,0,
"H61",0,0,0,0,0,1,0,
"H77",0,0,0,0,0,1,0,
"H84",0,0,0,0,0,0,1,
"H85",0,0,0,0,0,0,1,
"H87",0,0,0,0,1,1,0,"a"
"H94",0,0,0,0,0,1,0,
"HP50",0,0,0,0,0,0,1,
"HP61",0,0,0,0,0,0,1,
"HU27",0,0,0,0,0,0,1,
"HY50",0,0,0,1,0,0,0,
"J15",0,0,0,1,0,0,0,"a"
"J21",0,0,0,0,0,0,1,
"J31",0,0,0,0,0,1,1,
"J33",0,0,0,1,0,0,1,"a"
"J37",0,0,0,0,1,0,0,"a"
"J43",0,0,0,1,0,0,0,"a"
"J48",0,0,0,1,0,0,1,"a"
"J53",1,0,0,1,0,1,0,"a"
"J57",0,0,0,0,0,1,0,
"J58",0,0,1,1,0,0,0,"a"
"L56",0,0,0,0,0,0,1,
"L99",0,0,0,0,0,0,1,
"M21",0,0,0,0,0,0,1,
"M23",0,0,0,0,0,0,1,
"N00",0,0,0,0,0,0,1,
"N10",0,0,0,0,0,0,1,
"N35",0,0,0,0,0,0,1,
"N40",1,0,0,0,0,0,0,"a"
"N73",0,0,0,0,0,0,1,
"N80",0,0,0,0,0,0,1,
"N85",0,0,0,0,0,0,1,
"N90",0,0,0,0,0,1,0,
"N92",0,0,0,0,0,0,1,
"NA91",0,0,0,0,0,0,1,
"NC52",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"ND48",0,0,0,0,0,0,1,
"NG82",0,0,1,0,0,0,0,"a"
"NG85",0,0,0,0,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NH30",0,0,1,0,0,0,0,"a"
"NH54",0,0,0,0,0,0,1,
"NH55",1,0,0,0,1,0,0,"a"
"NH59",0,0,0,0,0,0,1,
"NH77",0,0,1,1,1,0,0,"a"
"NH78",0,0,0,0,0,0,1,
"NH79",0,0,0,0,0,0,1,
"NH85",0,0,0,0,0,0,1,
"NH87",0,0,0,0,0,1,1,
"NH89",0,0,0,0,0,0,1,
"NH95",0,1,0,1,0,0,1,"a"
"NH98",0,0,0,0,0,1,0,
"NJ05",1,0,0,0,0,0,1,
"NJ14",0,1,0,0,0,0,0,
"NJ15",0,0,0,0,0,0,1,
"NJ16",0,0,0,0,1,0,1,"a"
"NJ25",0,0,0,0,0,0,1,
"NJ26",1,1,0,0,1,1,1,"a"
"NJ30",0,0,0,0,0,0,1,
"NJ34",0,0,0,1,0,0,0,
"NJ35",0,0,0,0,0,0,1,
"NJ36",0,1,0,0,0,1,1,
"NJ46",1,0,0,0,0,0,0,
"NJ65",1,0,0,0,0,0,0,
"NJ82",0,0,0,0,1,0,0,
"NJ83",1,0,0,0,0,0,0,
"NK14",0,0,0,1,0,0,0,"a"
"NL69",0,0,0,0,0,1,0,
"NL93",0,0,0,0,0,1,0,
"NM04",0,0,0,0,0,1,1,
"NM15",0,0,0,0,1,0,1,"a"
"NM22",0,0,0,0,1,0,0,"a"
"NM25",0,0,1,0,1,0,0,"a"
"NN06",1,0,0,0,0,0,0,"a"
"NO20",1,1,0,0,0,0,1,"a"
"NO22",0,0,0,0,0,0,1,
"NO30",0,0,0,0,1,1,0,"a"
"NO31",0,0,0,0,1,0,0,"a"
"NO35",0,0,0,1,0,0,0,"a"
"NO41",0,0,1,0,0,0,0,"a"
"NO42",0,0,0,0,1,0,1,"a"
"NO43",0,0,0,0,1,0,0,"a"
"NO50",1,0,0,0,0,0,1,"a"
"NO51",0,1,0,0,0,0,1,"a"
"NO60",0,0,0,0,1,1,0,"a"
"NO64",0,0,0,0,0,0,1,
"NR36",0,0,0,0,0,0,1,
"NR38",0,0,0,0,0,0,1,
"NR62",0,1,0,0,0,0,0,"a"
"NR92",0,0,0,0,0,1,1,
"NS02",0,0,0,0,1,1,0,"a"
"NS03",0,0,0,1,1,0,0,"a"
"NS06",1,0,0,0,0,0,0,
"NS15",0,0,1,0,0,0,1,"a"
"NS28",0,0,0,0,1,0,0,"a"
"NS37",0,0,0,1,1,0,0,"a"
"NS38",0,0,0,1,0,0,1,
"NS45",0,0,0,0,1,0,0,"a"
"NS47",1,0,0,0,1,0,0,"a"
"NS55",0,0,0,1,0,0,0,
"NS56",0,0,0,0,1,1,1,"a"
"NS57",0,0,0,1,0,0,0,"a"
"NS65",0,0,0,1,0,0,0,"a"
"NS66",0,0,0,1,1,0,1,"a"
"NS74",1,0,0,0,0,0,0,"a"
"NS75",0,0,0,0,0,0,1,
"NS84",0,0,0,0,0,0,1,
