"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"SO90",1,1,1,1,1,1,1,"n"
"SP00",1,1,1,1,1,1,1,"n"
"SP01",1,1,1,1,1,1,0,"n"
"SP02",0,0,1,1,1,0,0,"n"
"SP10",1,1,1,1,1,0,1,"n"
"SP11",1,0,1,0,0,0,0,"n"
"SP21",1,0,1,1,1,1,1,"n"
"SP51",1,1,1,1,1,1,1,"n"
"ST44",1,0,0,0,0,0,0,"n"
"ST45",0,0,0,0,0,1,0,"n"
"SU09",1,1,1,1,1,1,1,"n"
"SU19",1,1,0,1,1,1,0,"n"
"SU67",0,0,0,1,1,1,1,"n"
"TQ06",1,1,1,1,1,1,0,"n"
"TQ07",1,0,0,0,1,1,1,"n"
"TQ17",1,0,0,0,0,0,0,"n"
"TQ68",0,0,0,0,0,0,1,"n"
