"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NC40",0,0,0,0,0,0,1,
"NC50",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"ND35",0,0,0,0,0,0,1,
"NG85",0,0,0,0,0,0,1,
"NH30",0,0,0,0,0,0,1,
"NH36",0,0,0,0,0,0,1,
"NH55",0,0,0,0,0,1,0,
"NH69",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NH79",0,0,0,0,0,0,1,
"NH87",0,0,0,0,0,1,0,
"NH89",0,0,0,0,0,0,1,
"NH95",0,0,0,0,1,1,0,"a"
"NJ02",0,0,0,0,0,1,0,
"NJ04",0,0,0,0,0,0,1,
"NJ06",0,0,0,0,1,1,0,"a"
"NJ26",0,0,0,0,1,0,1,
"NJ56",0,0,0,0,0,1,0,
"NN95",0,0,0,0,0,0,1,
"NO19",0,0,0,0,0,0,1,
"NO41",0,0,0,0,1,0,0,"a"
"NS75",0,0,0,0,0,1,0,
"NS85",0,0,0,0,1,0,0,
"NT29",0,0,0,0,1,0,0,"a"
"NT85",0,0,0,0,0,0,1,
"NX74",0,0,0,0,1,0,1,
"NY25",0,0,0,0,0,0,1,
"NY42",0,0,0,1,1,0,0,"a"
"NY43",0,0,0,1,1,0,0,"a"
"NY44",0,0,0,1,1,0,0,"a"
"NY45",0,0,0,0,0,1,0,
"NY46",0,0,0,0,1,1,0,
"NY47",0,0,0,1,0,0,0,"a"
"NY51",0,0,0,0,0,1,0,
"NY52",0,0,0,0,0,1,1,
"NY53",0,0,0,1,1,0,0,"a"
"NY55",0,0,0,0,1,0,1,"a"
"NY62",0,0,0,1,0,0,0,"a"
"NY96",0,0,0,0,1,0,0,"a"
"NZ25",0,0,0,0,0,1,0,
"NZ31",0,0,0,0,1,0,0,"a"
"SC49",0,0,0,0,0,1,0,
"SD31",0,0,0,0,0,1,0,
"SD47",0,0,0,1,1,0,1,"a"
"SD59",0,0,0,0,0,0,1,
"SD67",0,0,0,1,1,0,0,"a"
"SD76",0,0,0,0,0,0,1,
"SE13",0,0,0,0,1,0,0,"a"
"SE24",0,0,0,0,0,1,1,
"SE26",0,0,0,0,0,0,1,
"SE32",0,0,0,0,0,0,1,
"SE69",0,0,0,0,0,0,1,
